state,state_code,district,district_key,census_state_code,census_district_code
Andaman And Nicobar Islands,35,Nicobars,nicobars,35,1
Andaman And Nicobar Islands,35,North & Middle Andaman,north and middle andaman,35,2
Andaman And Nicobar Islands,35,South Andaman,south andaman,35,3
Andhra Pradesh,28,Adilabad,adilabad,28,1
Andhra Pradesh,28,Anantapur,anantapur,28,22
Andhra Pradesh,28,Chittoor,chittoor,28,23
Andhra Pradesh,28,East Godavari,east godavari,28,14
Andhra Pradesh,28,Guntur,guntur,28,17
Andhra Pradesh,28,Hyderabad,hyderabad,28,5
Andhra Pradesh,28,Karimnagar,karimnagar,28,3
Andhra Pradesh,28,Khammam,khammam,28,10
Andhra Pradesh,28,Krishna,krishna,28,16
Andhra Pradesh,28,Kurnool,kurnool,28,21
Andhra Pradesh,28,Mahbubnagar,mahbubnagar,28,7
Andhra Pradesh,28,Medak,medak,28,4
Andhra Pradesh,28,Nalgonda,nalgonda,28,8
Andhra Pradesh,28,Nizamabad,nizamabad,28,2
Andhra Pradesh,28,Prakasam,prakasam,28,18
Andhra Pradesh,28,Rangareddy,rangareddy,28,6
Andhra Pradesh,28,Sri Potti Sriramulu Nellore,sri potti sriramulu nellore,28,19
Andhra Pradesh,28,Srikakulam,srikakulam,28,11
Andhra Pradesh,28,Visakhapatnam,visakhapatnam,28,13
Andhra Pradesh,28,Vizianagaram,vizianagaram,28,12
Andhra Pradesh,28,Warangal,warangal,28,9
Andhra Pradesh,28,West Godavari,west godavari,28,15
Andhra Pradesh,28,Y.S.R.,y.s.r.,28,20
Arunachal Pradesh,12,Anjaw,anjaw,12,16
Arunachal Pradesh,12,Changlang,changlang,12,9
Arunachal Pradesh,12,Dibang Valley,dibang valley,12,13
Arunachal Pradesh,12,East Kameng,east kameng,12,3
Arunachal Pradesh,12,East Siang,east siang,12,7
Arunachal Pradesh,12,Kurung Kumey,kurung kumey,12,12
Arunachal Pradesh,12,Lohit,lohit,12,15
Arunachal Pradesh,12,Lower Dibang Valley,lower dibang valley,12,14
Arunachal Pradesh,12,Lower Subansiri,lower subansiri,12,11
Arunachal Pradesh,12,Papum Pare,papum pare,12,4
Arunachal Pradesh,12,Tawang,tawang,12,1
Arunachal Pradesh,12,Tirap,tirap,12,10
Arunachal Pradesh,12,Upper Siang,upper siang,12,8
Arunachal Pradesh,12,Upper Subansiri,upper subansiri,12,5
Arunachal Pradesh,12,West Kameng,west kameng,12,2
Arunachal Pradesh,12,West Siang,west siang,12,6
Assam,18,Baksa,baksa,18,25
Assam,18,Barpeta,barpeta,18,4
Assam,18,Bongaigaon,bongaigaon,18,20
Assam,18,Cachar,cachar,18,17
Assam,18,Chirang,chirang,18,21
Assam,18,Darrang,darrang,18,26
Assam,18,Dhemaji,dhemaji,18,9
Assam,18,Dhubri,dhubri,18,2
Assam,18,Dibrugarh,dibrugarh,18,11
Assam,18,Dima Hasao,dima hasao,18,16
Assam,18,Goalpara,goalpara,18,3
Assam,18,Golaghat,golaghat,18,14
Assam,18,Hailakandi,hailakandi,18,19
Assam,18,Jorhat,jorhat,18,13
