village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km,nearest_toll_plaza,dist_toll_plaza_km
John Lawrance (FC),SOUTH ANDAMANS,640,645541,village,4,26.38,Acharya Jagadish Chandra Bose Flyover,1242.53,Paradip,1122.81,Paradeep,1123.26,Paradip Port,1116.57,ICD Bhubaneswar,1173.54,Zorinpui ICP,1190.47,Biju Patnaik International Airport (BBI),1172.93,MMLP Visakhapatnam,1213.01,Paradip Terminal,1116.57,FCI Depot Bhubaneswar,1176.72,Pipili Toll Gate,1162.87
R.M.Point (FC),SOUTH ANDAMANS,640,645540,village,4,19.33,Acharya Jagadish Chandra Bose Flyover,1297.93,Paradip,1162.29,Paradeep,1162.69,Paradip Port,1156.43,ICD Bhubaneswar,1208.87,Zorinpui ICP,1266.28,Biju Patnaik International Airport (BBI),1208.02,MMLP Visakhapatnam,1221.8,Paradip Terminal,1156.43,FCI Depot Bhubaneswar,1212.08,Srikakulam Toll Plaza,1191.43
Krishna Nagar (RV),SOUTH ANDAMANS,640,645520,village,4,27.69,Acharya Jagadish Chandra Bose Flyover,1251.19,Paradip,1129.27,Paradeep,1129.71,Paradip Port,1123.08,ICD Bhubaneswar,1179.43,Zorinpui ICP,1201.77,Biju Patnaik International Airport (BBI),1178.79,MMLP Visakhapatnam,1215.17,Paradip Terminal,1123.08,FCI Depot Bhubaneswar,1182.62,Pipili Toll Gate,1168.67
Radha Nagar (RV),SOUTH ANDAMANS,640,645521,village,4,26.42,Acharya Jagadish Chandra Bose Flyover,1250.95,Paradip,1128.45,Paradeep,1128.89,Paradip Port,1122.27,ICD Bhubaneswar,1178.49,Zorinpui ICP,1202.52,Biju Patnaik International Airport (BBI),1177.84,MMLP Visakhapatnam,1213.53,Paradip Terminal,1122.27,FCI Depot Bhubaneswar,1181.68,Pipili Toll Gate,1167.71
Lakshmanpur (RV),SOUTH ANDAMANS,640,645525,village,4,36.38,Acharya Jagadish Chandra Bose Flyover,1269.59,Paradip,1146.54,Paradeep,1146.97,Paradip Port,1140.38,ICD Bhubaneswar,1196.3,Zorinpui ICP,1219.83,Biju Patnaik International Airport (BBI),1195.63,MMLP Visakhapatnam,1228.65,Paradip Terminal,1140.38,FCI Depot Bhubaneswar,1199.49,Pipili Toll Gate,1185.48
Neil Kendra (RV),SOUTH ANDAMANS,640,645524,village,4,37.35,Acharya Jagadish Chandra Bose Flyover,1270.88,Paradip,1148.04,Paradeep,1148.48,Paradip Port,1141.88,ICD Bhubaneswar,1197.84,Zorinpui ICP,1220.6,Biju Patnaik International Airport (BBI),1197.18,MMLP Visakhapatnam,1230.33,Paradip Terminal,1141.88,FCI Depot Bhubaneswar,1201.03,Pipili Toll Gate,1187.02
Bharatpur (RV),SOUTH ANDAMANS,640,645359,village,4,38.81,Acharya Jagadish Chandra Bose Flyover,1271.03,Paradip,1148.52,Paradeep,1148.96,Paradip Port,1142.35,ICD Bhubaneswar,1198.4,Zorinpui ICP,1220.17,Biju Patnaik International Airport (BBI),1197.73,MMLP Visakhapatnam,1231.29,Paradip Terminal,1142.35,FCI Depot Bhubaneswar,1201.58,Pipili Toll Gate,1187.59
Ram Nagar (RV),SOUTH ANDAMANS,640,645526,village,4,37.88,Acharya Jagadish Chandra Bose Flyover,1272.68,Paradip,1149.94,Paradeep,1150.38,Paradip Port,1143.78,ICD Bhubaneswar,1199.75,Zorinpui ICP,1222.01,Biju Patnaik International Airport (BBI),1199.08,MMLP Visakhapatnam,1232.18,Paradip Terminal,1143.78,FCI Depot Bhubaneswar,1202.94,Pipili Toll Gate,1188.93
Sitapur (RV),SOUTH ANDAMANS,640,645353,village,4,39.67,Acharya Jagadish Chandra Bose Flyover,1272.32,Paradip,1149.99,Paradeep,1150.43,Paradip Port,1143.82,ICD Bhubaneswar,1199.9,Zorinpui ICP,1221.01,Biju Patnaik International Airport (BBI),1199.24,MMLP Visakhapatnam,1232.89,Paradip Terminal,1143.82,FCI Depot Bhubaneswar,1203.09,Pipili Toll Gate,1189.09
Pahargaon part (RV),SOUTH ANDAMANS,640,645527,village,4,0.7,Acharya Jagadish Chandra Bose Flyover,1278.83,Paradip,1146.9,Paradeep,1147.31,Paradip Port,1140.94,ICD Bhubaneswar,1194.52,Zorinpui ICP,1243.04,Biju Patnaik International Airport (BBI),1193.73,MMLP Visakhapatnam,1214.38,Paradip Terminal,1140.94,FCI Depot Bhubaneswar,1197.73,Srikakulam Toll Plaza,1180.95
Garacharma (CT),SOUTH ANDAMANS,640,645551,village,4,0.76,Acharya Jagadish Chandra Bose Flyover,1279.83,Paradip,1147.45,Paradeep,1147.86,Paradip Port,1141.5,ICD Bhubaneswar,1194.95,Zorinpui ICP,1244.69,Biju Patnaik International Airport (BBI),1194.16,MMLP Visakhapatnam,1214.11,Paradip Terminal,1141.5,FCI Depot Bhubaneswar,1198.16,Srikakulam Toll Plaza,1180.98
Brookshabad part (RV),SOUTH ANDAMANS,640,645531,village,4,3.41,Acharya Jagadish Chandra Bose Flyover,1282.28,Paradip,1150.76,Paradeep,1151.18,Paradip Port,1144.8,ICD Bhubaneswar,1198.46,Zorinpui ICP,1245.38,Biju Patnaik International Airport (BBI),1197.67,MMLP Visakhapatnam,1218.5,Paradip Terminal,1144.8,FCI Depot Bhubaneswar,1201.66,Srikakulam Toll Plaza,1185.04
Prothrapur (CT),SOUTH ANDAMANS,640,645550,village,4,0.98,Acharya Jagadish Chandra Bose Flyover,1281.39,Paradip,1149.35,Paradeep,1149.76,Paradip Port,1143.39,ICD Bhubaneswar,1196.92,Zorinpui ICP,1245.51,Biju Patnaik International Airport (BBI),1196.13,MMLP Visakhapatnam,1216.35,Paradip Terminal,1143.39,FCI Depot Bhubaneswar,1200.13,Srikakulam Toll Plaza,1183.13
Calicut (CT),SOUTH ANDAMANS,640,645536,village,4,2.38,Acharya Jagadish Chandra Bose Flyover,1283.17,Paradip,1150.79,Paradeep,1151.21,Paradip Port,1144.85,ICD Bhubaneswar,1198.27,Zorinpui ICP,1247.63,Biju Patnaik International Airport (BBI),1197.48,MMLP Visakhapatnam,1217.08,Paradip Terminal,1144.85,FCI Depot Bhubaneswar,1201.48,Srikakulam Toll Plaza,1184.14
