district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,toll_plaza_median_km,toll_plaza_mean_km,toll_plaza_within_10km_pct,toll_plaza_within_25km_pct,toll_plaza_within_50km_pct,census2011_population
Alluri Sitharama Raju,3428,8.96,11.25,54.78413068844807,88.44807467911319,100.0,563.37,549.5,0.0,0.0,0.0,37.405,36.72,12.485414235705951,31.70945157526254,73.97899649941657,127.89,128.97,0.0,0.0,0.0,93.32,103.3,0.0,0.0,0.6417736289381564,356.96,352.61,0.0,0.0,0.0,848.5699999999999,864.08,0.0,0.0,0.0,92.19,102.31,0.0,0.0,1.3418903150525088,93.32,97.65,0.0,0.0,0.6417736289381564,258.135,242.92,0.0,0.0,0.0,93.32,97.65,0.0,0.0,0.6417736289381564,33.34,32.18,5.396732788798133,33.459743290548424,91.07351225204201,3661007.0
Anakapalli,736,12.73,12.46,39.40217391304348,96.05978260869566,100.0,575.095,573.15,0.0,0.0,0.0,14.66,15.71,35.59782608695652,79.8913043478261,100.0,166.22,167.18,0.0,0.0,0.0,43.195,45.63,0.2717391304347826,13.722826086956522,61.95652173913043,402.115,404.41,0.0,0.0,0.0,847.755,850.85,0.0,0.0,0.0,42.285,46.1,0.5434782608695652,12.907608695652172,61.277173913043484,43.195,45.63,0.2717391304347826,13.722826086956522,61.95652173913043,266.355,263.36,0.0,0.0,0.0,43.195,45.63,0.2717391304347826,13.722826086956522,61.95652173913043,20.950000000000003,20.13,15.489130434782608,68.34239130434783,100.0,1552458.0
Ananthapuramu,512,7.355,11.15,60.7421875,86.5234375,100.0,151.75,150.67,0.0,0.0,0.0,10.74,14.2,47.65625,82.6171875,99.8046875,161.64999999999998,156.79,0.0,0.0,0.0,285.43,284.11,0.0,0.0,0.0,210.82,208.13,0.0,0.0,0.0,1477.91,1482.94,0.0,0.0,0.0,186.94,184.84,0.0,0.0,0.0,45.1,44.65,5.078125,19.140625,60.7421875,368.96500000000003,374.46,0.0,0.0,0.0,155.655,152.47,0.0,0.0,0.0,15.940000000000001,16.76,25.0,83.203125,100.0,2233808.0
Annamayya,543,6.18,7.65,68.32412523020258,99.4475138121547,100.0,94.05,92.89,0.0,0.0,0.0,14.11,16.42,37.01657458563536,77.71639042357275,100.0,150.54,145.97,0.0,0.0,0.0,150.54,146.56,0.0,0.0,0.0,116.25,117.31,0.0,0.0,0.0,1446.71,1442.69,0.0,0.0,0.0,139.64,135.26,0.0,0.0,0.0,134.79,133.38,0.0,0.0,0.0,340.3,339.44,0.0,0.0,0.0,80.11,78.78,0.0,0.5524861878453038,8.655616942909761,29.5,30.76,9.023941068139964,40.147329650092075,88.58195211786372,1458898.0
Bapatla,286,5.25,6.3,78.32167832167832,99.65034965034964,100.0,293.28999999999996,292.71,0.0,0.0,0.0,9.265,11.63,53.4965034965035,88.81118881118881,100.0,108.855,107.73,0.0,0.0,0.0,193.52499999999998,193.28,0.0,0.0,0.0,266.115,262.29,0.0,0.0,0.0,1166.605,1164.9,0.0,0.0,0.0,255.43,251.75,0.0,0.0,0.0,68.36500000000001,70.3,0.0,0.0,21.678321678321677,66.845,67.84,0.0,0.0,21.678321678321677,48.65,49.93,0.0,3.146853146853147,54.1958041958042,12.285,12.42,33.91608391608392,99.65034965034964,100.0,1792828.0
Chittoor,847,4.32,5.1,87.2491145218418,100.0,100.0,31.09,39.77,27.036599763872495,46.51711924439197,60.68476977567887,13.25,14.85,37.89846517119244,83.82526564344747,100.0,138.62,139.13,0.0,0.0,0.0,147.89,153.59,0.0,0.0,0.0,62.17,61.27,0.11806375442739078,6.8476977567886665,42.14876033057851,1489.17,1499.99,0.0,0.0,0.0,100.72,101.81,0.0,0.0,0.0,103.04,97.26,0.0,0.47225501770956313,6.375442739079102,382.85,385.31,0.0,0.0,0.0,63.78,62.65,0.0,1.6528925619834711,28.689492325855966,17.33,16.59,21.133412042502954,89.49232585596222,100.0,1900506.0
Dr. B.R. Ambedkar Konaseema,326,5.29,6.43,76.99386503067484,100.0,100.0,432.49,430.99,0.0,0.0,0.0,22.27,22.79,11.65644171779141,57.97546012269939,100.0,199.71,200.74,0.0,0.0,0.0,171.475,172.17,0.0,0.0,0.0,379.065,379.68,0.0,0.0,0.0,991.7650000000001,993.18,0.0,0.0,0.0,174.435,175.11,0.0,0.0,0.0,141.245,141.27,0.0,0.0,0.0,141.405,142.76,0.0,0.0,0.0,141.245,141.27,0.0,0.0,0.0,15.934999999999999,15.85,17.791411042944784,90.79754601226993,100.0,1172319.0
East Godavari,271,5.91,6.68,77.49077490774908,100.0,100.0,449.15,449.14,0.0,0.0,0.0,9.87,11.57,50.92250922509225,91.14391143911439,100.0,171.29,173.7,0.0,0.0,0.0,175.24,172.13,0.0,0.0,0.0,346.17,346.97,0.0,0.0,0.0,984.47,983.96,0.0,0.0,0.0,177.17,174.31,0.0,0.0,0.0,124.89,127.32,0.0,0.0,0.0,124.89,128.74,0.0,0.0,0.0,124.89,127.32,0.0,0.0,0.0,13.18,13.95,33.579335793357934,91.14391143911439,100.0,1694071.0
Eluru,674,8.05,9.43,62.01780415430267,95.99406528189911,100.0,392.895,395.23,0.0,0.0,0.0,18.505,22.59,34.56973293768546,57.12166172106825,93.47181008902076,120.065,117.76,0.0,0.0,0.0,234.255,231.51,0.0,0.0,0.0,294.28,291.54,0.0,0.0,0.0,1036.4,1034.23,0.0,0.0,0.0,236.12,232.33,0.0,0.0,0.0,73.295,77.09,0.0,2.225519287833828,15.281899109792285,72.985,76.15,0.0,2.225519287833828,15.281899109792285,73.295,77.09,0.0,2.225519287833828,15.281899109792285,23.895000000000003,24.41,7.121661721068249,54.154302670623146,100.0,2533959.0
Guntur,201,8.9,8.74,56.71641791044776,100.0,100.0,313.86,314.2,0.0,0.0,0.0,5.67,7.31,73.13432835820896,100.0,100.0,82.4,79.01,0.0,0.0,0.0,227.58,225.94,0.0,0.0,0.0,247.58,246.88,0.0,0.0,0.0,1137.82,1136.78,0.0,0.0,0.0,239.03,239.36,0.0,0.0,0.0,34.15,34.98,1.4925373134328357,28.855721393034827,81.59203980099502,30.18,30.65,12.437810945273633,36.81592039800995,88.05970149253731,18.48,18.84,10.44776119402985,78.60696517412936,100.0,16.3,16.49,19.900497512437813,87.06467661691542,100.0,1074025.0
