district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,toll_plaza_median_km,toll_plaza_mean_km,toll_plaza_within_10km_pct,toll_plaza_within_25km_pct,toll_plaza_within_50km_pct,census2011_population
ANJAW,162,1.49,4.54,81.48148148148148,96.91358024691358,100.0,1000.95,1007.26,0.0,0.0,0.0,121.32,126.85,0.0,0.0,0.0,466.695,471.21,0.0,0.0,0.0,1013.505,1019.79,0.0,0.0,0.0,521.565,528.36,0.0,0.0,0.0,467.52,471.3,0.0,0.0,0.0,533.33,540.15,0.0,0.0,0.0,514.425,519.88,0.0,0.0,0.0,95.57,102.39,0.0,0.0,0.0,176.41,183.38,0.0,0.0,0.0,288.88,295.71,0.0,0.0,0.0,18748.0
BICHOM,63,8.78,11.88,53.96825396825397,80.95238095238095,100.0,668.28,669.73,0.0,0.0,0.0,65.27,67.76,0.0,0.0,0.0,152.01,153.2,0.0,0.0,0.0,681.46,682.94,0.0,0.0,0.0,165.19,167.65,0.0,0.0,0.0,108.72,111.82,0.0,0.0,0.0,177.38,179.57,0.0,0.0,0.0,246.95,242.79,0.0,0.0,0.0,87.18,87.24,0.0,0.0,0.0,100.83,99.19,0.0,0.0,0.0,96.91,97.15,0.0,0.0,0.0,26947.0
CHANGLANG,161,5.29,7.52,72.67080745341616,94.40993788819875,99.37888198757764,897.48,900.6,0.0,0.0,0.0,29.03,32.3,3.7267080745341614,38.50931677018634,88.19875776397515,354.9,358.74,0.0,0.0,0.0,909.83,912.97,0.0,0.0,0.0,432.2,434.54,0.0,0.0,0.0,362.52,365.63,0.0,0.0,0.0,443.41,445.78,0.0,0.0,0.0,405.71,409.23,0.0,0.0,0.0,71.88,71.5,0.0,0.0,3.1055900621118013,103.46,106.49,0.0,0.0,0.0,203.37,207.16,0.0,0.0,0.0,144249.0
DIBANG VALLEY,99,7.92,10.84,54.54545454545454,88.88888888888889,100.0,994.53,989.79,0.0,0.0,0.0,146.59,143.06,0.0,0.0,0.0,487.14,481.26,0.0,0.0,0.0,1007.45,1002.71,0.0,0.0,0.0,498.99,494.0,0.0,0.0,0.0,442.24,437.34,0.0,0.0,0.0,511.24,506.23,0.0,0.0,0.0,527.7,521.81,0.0,0.0,0.0,105.15,101.99,0.0,0.0,0.0,172.88,167.1,0.0,0.0,0.0,272.76,267.59,0.0,0.0,0.0,7871.0
EAST KAMENG,232,25.09,22.16,22.413793103448278,49.56896551724138,100.0,700.635,701.64,0.0,0.0,0.0,85.63499999999999,86.58,0.0,0.0,0.0,184.775,185.43,0.0,0.0,0.0,713.805,714.82,0.0,0.0,0.0,197.73000000000002,198.76,0.0,0.0,0.0,140.46,141.6,0.0,0.0,0.0,209.97,210.92,0.0,0.0,0.0,279.18,278.51,0.0,0.0,0.0,91.80000000000001,90.66,0.0,0.0,0.0,79.94,77.9,0.0,0.0,0.0,96.05,94.46,0.0,0.0,0.0,44539.0
EAST SIANG,17,0.27,4.64,76.47058823529412,100.0,100.0,894.21,899.38,0.0,0.0,0.0,56.06,59.16,0.0,0.0,23.52941176470588,387.7,391.5,0.0,0.0,0.0,907.05,912.22,0.0,0.0,0.0,403.64,408.17,0.0,0.0,0.0,348.36,352.66,0.0,0.0,0.0,415.71,420.27,0.0,0.0,0.0,423.66,428.05,0.0,0.0,0.0,43.5,41.92,0.0,5.88235294117647,88.23529411764706,68.9,73.35,0.0,0.0,0.0,172.14,177.38,0.0,0.0,0.0,41837.0
KAMLE,25,5.49,5.44,76.0,100.0,100.0,789.59,792.79,0.0,0.0,0.0,91.84,89.42,0.0,0.0,0.0,277.86,282.29,0.0,0.0,0.0,802.66,805.83,0.0,0.0,0.0,289.31,293.21,0.0,0.0,0.0,231.98,236.17,0.0,0.0,0.0,301.61,305.49,0.0,0.0,0.0,347.25,348.26,0.0,0.0,0.0,92.95,90.54,0.0,0.0,0.0,82.36,83.32,0.0,0.0,0.0,81.87,83.38,0.0,0.0,0.0,51100.0
KEYI PANYOR,24,0.9650000000000001,2.87,95.83333333333334,100.0,100.0,739.8050000000001,744.22,0.0,0.0,0.0,91.07,89.88,0.0,0.0,0.0,232.385,235.55,0.0,0.0,0.0,752.8399999999999,757.25,0.0,0.0,0.0,242.08499999999998,245.78,0.0,0.0,0.0,185.93,189.21,0.0,0.0,0.0,254.29,258.02,0.0,0.0,0.0,300.23,302.61,0.0,0.0,0.0,85.93,85.1,0.0,0.0,0.0,43.7,45.19,0.0,0.0,79.16666666666666,44.69,44.49,0.0,0.0,75.0,42310.0
KRA DAADI,137,24.34,19.59,35.03649635036496,51.82481751824818,100.0,782.39,777.8,0.0,0.0,0.0,128.48,128.03,0.0,0.0,0.0,266.8,262.74,0.0,0.0,0.0,795.56,790.94,0.0,0.0,0.0,279.88,275.3,0.0,0.0,0.0,222.4,217.82,0.0,0.0,0.0,292.08,287.56,0.0,0.0,0.0,354.84,349.7,0.0,0.0,0.0,124.11,126.73,0.0,0.0,0.0,98.1,95.24,0.0,0.0,0.0,96.87,96.02,0.0,0.0,0.0,31538.0
KURUNG KUMEY,335,13.1,12.41,41.19402985074627,92.83582089552239,99.70149253731343,753.82,754.36,0.0,0.0,0.0,134.58,135.89,0.0,0.0,0.0,237.99,238.16,0.0,0.0,0.0,766.96,767.53,0.0,0.0,0.0,251.13,251.52,0.0,0.0,0.0,193.65,194.31,0.0,0.0,0.0,263.4,263.69,0.0,0.0,0.0,329.16,328.77,0.0,0.0,0.0,129.37,130.4,0.0,0.0,0.0,92.49,92.68,0.0,0.0,0.0,100.53,100.3,0.0,0.0,0.0,62189.0
LEPA RADA,25,5.67,8.21,60.0,100.0,100.0,846.63,845.85,0.0,0.0,0.0,59.21,56.77,0.0,0.0,40.0,342.47,339.78,0.0,0.0,0.0,859.52,858.8,0.0,0.0,0.0,352.55,349.79,0.0,0.0,0.0,296.08,293.41,0.0,0.0,0.0,364.74,362.0,0.0,0.0,0.0,386.71,386.82,0.0,0.0,0.0,60.02,57.67,0.0,0.0,40.0,60.02,57.67,0.0,0.0,40.0,124.79,125.09,0.0,0.0,0.0,10341.0
LOHIT,11,0.09,1.38,90.9090909090909,100.0,100.0,958.79,955.16,0.0,0.0,0.0,79.01,76.2,0.0,0.0,0.0,425.62,422.86,0.0,0.0,0.0,971.28,967.73,0.0,0.0,0.0,479.73,475.81,0.0,0.0,0.0,426.24,421.68,0.0,0.0,0.0,491.53,487.58,0.0,0.0,0.0,472.23,469.53,0.0,0.0,0.0,53.69,51.7,0.0,9.090909090909092,45.45454545454545,134.45,131.08,0.0,0.0,0.0,246.96,243.28,0.0,0.0,0.0,93174.0
LONGDING,65,4.76,7.04,70.76923076923077,100.0,100.0,827.91,827.03,0.0,0.0,0.0,28.95,29.28,0.0,36.92307692307693,100.0,287.02,287.56,0.0,0.0,0.0,840.27,839.39,0.0,0.0,0.0,365.27,365.59,0.0,0.0,0.0,304.66,303.15,0.0,0.0,0.0,375.94,376.5,0.0,0.0,0.0,336.68,336.13,0.0,0.0,0.0,66.72,67.23,0.0,0.0,7.6923076923076925,75.89,76.06,0.0,0.0,0.0,140.59,140.28,0.0,0.0,0.0,48699.0
