village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
ANJAW,ANJAW,,260.0,district_centroid,Ledo,138.59,Khongsang,481.15,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1033.72,ICD Amingaon,545.29,Moreh ICP,482.68,Lokpriya Gopinath Bordoloi International Airport (GAU),557.0,MMLP Silchar,531.64,Oriumghat (Sadiya) Terminal,120.32,FCI Depot Dibrugarh,200.46
BICHOM,BICHOM,,788.0,district_centroid,RANGAPARA NORTH,83.75,Baihata,160.76,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,689.96,ICD Amingaon,176.22,Darranga ICP,121.91,Lokpriya Gopinath Bordoloi International Airport (GAU),187.85,MMLP Jogighopa,244.43,Tezpur Terminal,105.84,FCI Depot Itanagar,113.77
CHANGLANG,CHANGLANG,,253.0,district_centroid,Ledo,32.5,Khongsang,365.62,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,921.35,ICD Amingaon,443.77,Moreh ICP,370.3,Lokpriya Gopinath Bordoloi International Airport (GAU),455.0,MMLP Silchar,416.93,Oriumghat (Sadiya) Terminal,72.29,FCI Depot Dibrugarh,113.62
DIBANG VALLEY,DIBANG VALLEY,,257.0,district_centroid,Tingrai,160.23,Baihata,496.34,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,1017.15,ICD Amingaon,507.07,Darranga ICP,450.15,Lokpriya Gopinath Bordoloi International Airport (GAU),519.34,MMLP Silchar,538.02,Oriumghat (Sadiya) Terminal,118.72,FCI Depot Dibrugarh,183.21
EAST KAMENG,EAST KAMENG,,247.0,district_centroid,RANGAPARA NORTH,88.14,Baihata,188.39,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,717.86,ICD Amingaon,201.6,Darranga ICP,144.23,Lokpriya Gopinath Bordoloi International Airport (GAU),213.79,MMLP Jogighopa,282.1,Biswanath Ghat Terminal,89.97,FCI Depot Itanagar,73.57
EAST SIANG,EAST SIANG,,251.0,district_centroid,Makum Junction,64.16,Khongsang,399.66,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,922.08,ICD Amingaon,418.24,Darranga ICP,362.72,Lokpriya Gopinath Bordoloi International Airport (GAU),430.34,MMLP Silchar,436.99,Oriumghat (Sadiya) Terminal,35.47,FCI Depot Dibrugarh,81.83
KAMLE,KAMLE,,733.0,district_centroid,DIBRUGARH TOWN,80.04,Baihata,280.5,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,801.94,ICD Amingaon,290.84,Darranga ICP,234.16,Lokpriya Gopinath Bordoloi International Airport (GAU),303.09,MMLP Silchar,339.98,Dibrugarh Terminal,81.15,FCI Depot Dibrugarh,81.15
KEYI PANYOR,KEYI PANYOR,,789.0,district_centroid,Rangaliting,95.25,Baihata,233.48,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,756.46,ICD Amingaon,244.05,Darranga ICP,187.19,Lokpriya Gopinath Bordoloi International Airport (GAU),256.31,MMLP Silchar,304.45,Neamati Terminal,89.75,FCI Depot Itanagar,47.01
KRA DAADI,KRA DAADI,,721.0,district_centroid,DIBRUGARH TOWN,121.03,Baihata,269.19,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,797.08,ICD Amingaon,281.55,Darranga ICP,224.02,Lokpriya Gopinath Bordoloi International Airport (GAU),293.83,MMLP Silchar,353.89,Dibrugarh Terminal,122.15,FCI Depot Itanagar,96.87
KURUNG KUMEY,KURUNG KUMEY,,256.0,district_centroid,RANGAPARA NORTH,134.72,Baihata,229.28,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,759.39,ICD Amingaon,243.68,Darranga ICP,187.15,Lokpriya Gopinath Bordoloi International Airport (GAU),255.67,MMLP Jogighopa,315.87,Biswanath Ghat Terminal,135.88,FCI Depot Itanagar,106.57
LEPA RADA,LEPA RADA,,729.0,district_centroid,DIBRUGARH TOWN,51.49,Baihata,340.59,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,858.72,ICD Amingaon,350.4,Darranga ICP,294.16,Lokpriya Gopinath Bordoloi International Airport (GAU),362.59,MMLP Silchar,385.01,Dibrugarh Terminal,52.39,FCI Depot Dibrugarh,52.39
LOHIT,LOHIT,,259.0,district_centroid,Tingrai,84.33,Khongsang,431.9,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,974.74,ICD Amingaon,480.55,Darranga ICP,426.75,Lokpriya Gopinath Bordoloi International Airport (GAU),492.39,MMLP Silchar,477.75,Oriumghat (Sadiya) Terminal,53.47,FCI Depot Dibrugarh,135.22
LONGDING,LONGDING,,680.0,district_centroid,SAPEKHATI,29.23,Khongsang,285.73,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,837.52,ICD Amingaon,363.65,Moreh ICP,302.11,Lokpriya Gopinath Bordoloi International Airport (GAU),374.56,MMLP Silchar,334.21,Bogibeel Terminal,66.85,FCI Depot Dibrugarh,75.51
LOWER DIBANG VALLEY,LOWER DIBANG VALLEY,,258.0,district_centroid,Tingrai,88.68,Khongsang,436.08,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,966.93,ICD Amingaon,465.22,Darranga ICP,409.95,Lokpriya Gopinath Bordoloi International Airport (GAU),477.28,MMLP Silchar,477.17,Oriumghat (Sadiya) Terminal,47.42,FCI Depot Dibrugarh,124.18
LOWER SIANG,LOWER SIANG,,723.0,district_centroid,DIBRUGARH TOWN,48.21,Baihata,322.29,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,839.96,ICD Amingaon,331.93,Darranga ICP,275.84,Lokpriya Gopinath Bordoloi International Airport (GAU),344.11,MMLP Silchar,367.23,Dibrugarh Terminal,49.3,FCI Depot Dibrugarh,49.3
LOWER SUBANSIRI,LOWER SUBANSIRI,,255.0,district_centroid,MELENG,93.7,Baihata,252.34,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,774.03,ICD Amingaon,262.63,Darranga ICP,205.97,Lokpriya Gopinath Bordoloi International Airport (GAU),274.88,MMLP Silchar,316.41,Neamati Terminal,88.0,FCI Depot Itanagar,59.13
NAMSAI,NAMSAI,,724.0,district_centroid,Digboi,52.3,Khongsang,398.56,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,944.14,ICD Amingaon,454.05,Darranga ICP,401.32,Lokpriya Gopinath Bordoloi International Airport (GAU),465.74,MMLP Silchar,445.28,Oriumghat (Sadiya) Terminal,36.69,FCI Depot Dibrugarh,109.89
PAKKE KESSANG,PAKKE KESSANG,,726.0,district_centroid,RANGAPARA NORTH,58.37,Baihata,168.27,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,691.87,ICD Amingaon,178.68,Darranga ICP,121.9,Lokpriya Gopinath Bordoloi International Airport (GAU),190.95,MMLP Silchar,255.14,Biswanath Ghat Terminal,46.01,FCI Depot Itanagar,44.94
PAPUMPARE,PAPUMPARE,,248.0,district_centroid,Badulipar,73.95,Baihata,214.24,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,733.73,ICD Amingaon,223.74,Darranga ICP,167.78,Lokpriya Gopinath Bordoloi International Airport (GAU),235.92,MMLP Silchar,278.68,Sengajan (Panbari) Terminal,72.79,FCI Depot Itanagar,21.68
SHI YOMI,SHI YOMI,,730.0,district_centroid,DIBRUGARH TOWN,151.89,Baihata,357.37,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,887.18,ICD Amingaon,370.9,Darranga ICP,313.57,Lokpriya Gopinath Bordoloi International Airport (GAU),383.07,MMLP Jogighopa,445.52,Dibrugarh Terminal,152.84,FCI Depot Dibrugarh,152.84
SIANG,SIANG,,722.0,district_centroid,DIBRUGARH TOWN,109.93,Baihata,383.86,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,908.85,ICD Amingaon,395.39,Darranga ICP,338.06,Lokpriya Gopinath Bordoloi International Airport (GAU),407.69,MMLP Silchar,444.66,Oriumghat (Sadiya) Terminal,107.72,FCI Depot Dibrugarh,110.58
TAWANG,TAWANG,,245.0,district_centroid,UDALGURI,101.44,Baihata,145.05,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,658.69,ICD Amingaon,162.73,Darranga ICP,122.38,Lokpriya Gopinath Bordoloi International Airport (GAU),172.15,MMLP Jogighopa,202.49,Tezpur Terminal,141.57,FCI Depot Guwahati,165.9
