district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,toll_plaza_median_km,toll_plaza_mean_km,toll_plaza_within_10km_pct,toll_plaza_within_25km_pct,toll_plaza_within_50km_pct,census2011_population
BAJALI,4,0.31,0.9,100.0,100.0,100.0,498.195,499.7,0.0,0.0,0.0,2.52,4.51,75.0,100.0,100.0,55.035,55.1,0.0,0.0,0.0,511.45500000000004,512.95,0.0,0.0,0.0,67.935,66.22,0.0,0.0,0.0,95.33,95.67,0.0,0.0,0.0,64.75,64.18,0.0,0.0,0.0,61.455,62.24,0.0,0.0,0.0,59.42,60.67,0.0,0.0,0.0,74.595,72.91,0.0,0.0,0.0,40.765,41.02,0.0,0.0,100.0,347190.0
BAKSA,36,4.685,5.47,83.33333333333334,100.0,100.0,525.655,520.51,0.0,0.0,0.0,18.384999999999998,19.3,5.555555555555555,77.77777777777779,100.0,49.825,49.8,0.0,0.0,50.0,538.9100000000001,533.76,0.0,0.0,0.0,64.275,65.19,0.0,0.0,11.11111111111111,73.32499999999999,80.02,0.0,0.0,0.0,67.455,67.51,0.0,0.0,0.0,89.42,83.93,0.0,0.0,0.0,61.41,61.91,0.0,0.0,2.7777777777777777,70.39,71.41,0.0,0.0,0.0,44.02,44.56,0.0,0.0,72.22222222222221,644490.0
BARPETA,9,3.08,6.08,66.66666666666666,100.0,100.0,479.94,478.1,0.0,0.0,0.0,14.7,14.83,33.33333333333333,77.77777777777779,100.0,43.52,42.28,0.0,0.0,77.77777777777779,493.19,491.35,0.0,0.0,0.0,74.39,69.7,0.0,0.0,11.11111111111111,105.83,104.24,0.0,0.0,0.0,69.45,63.87,0.0,0.0,33.33333333333333,43.98,45.39,0.0,0.0,66.66666666666666,43.98,43.16,0.0,0.0,66.66666666666666,80.94,76.04,0.0,0.0,0.0,31.19,33.1,0.0,22.22222222222222,100.0,1249015.0
BISWANATH,9,2.25,3.41,100.0,100.0,100.0,678.67,668.93,0.0,0.0,0.0,37.93,36.47,0.0,33.33333333333333,88.88888888888889,180.2,171.69,0.0,0.0,0.0,691.57,681.87,0.0,0.0,0.0,187.91,178.48,0.0,0.0,0.0,134.22,126.39,0.0,0.0,0.0,199.87,190.26,0.0,0.0,0.0,229.0,225.19,0.0,0.0,0.0,29.95,22.98,22.22222222222222,44.44444444444444,100.0,29.08,38.41,0.0,44.44444444444444,66.66666666666666,32.48,35.67,0.0,11.11111111111111,100.0,802369.0
BONGAIGAON,19,2.03,3.92,94.73684210526315,100.0,100.0,467.55,467.8,0.0,0.0,0.0,3.46,5.44,73.68421052631578,100.0,100.0,23.53,24.27,5.263157894736842,52.63157894736842,100.0,480.78,481.01,0.0,0.0,0.0,95.35,101.47,0.0,0.0,0.0,93.66,90.89,0.0,0.0,0.0,88.72,95.17,0.0,0.0,0.0,24.07,24.81,5.263157894736842,52.63157894736842,100.0,24.07,24.81,5.263157894736842,52.63157894736842,100.0,101.64,107.8,0.0,0.0,0.0,11.88,14.27,21.052631578947366,94.73684210526315,100.0,732606.0
CACHAR,224,3.505,4.71,87.5,100.0,100.0,499.305,500.89,0.0,0.0,0.0,14.754999999999999,14.69,36.607142857142854,86.16071428571429,100.0,35.730000000000004,31.46,5.803571428571429,31.69642857142857,97.76785714285714,510.9,512.57,0.0,0.0,0.0,197.885,193.08,0.0,0.0,0.0,45.545,46.08,0.0,2.232142857142857,67.41071428571429,197.765,192.71,0.0,0.0,0.0,24.134999999999998,22.44,11.160714285714286,55.80357142857143,100.0,17.509999999999998,16.67,21.875,85.71428571428571,100.0,24.134999999999998,22.44,11.160714285714286,55.80357142857143,100.0,31.665,27.92,11.160714285714286,34.375,99.10714285714286,1692478.0
CHARAIDEO,38,5.52,5.54,84.21052631578947,100.0,100.0,821.5899999999999,821.98,0.0,0.0,0.0,3.5549999999999997,3.64,97.36842105263158,100.0,100.0,293.7,293.59,0.0,0.0,0.0,834.13,834.51,0.0,0.0,0.0,349.21500000000003,350.11,0.0,0.0,0.0,299.03,300.05,0.0,0.0,0.0,360.54999999999995,361.43,0.0,0.0,0.0,336.63,336.75,0.0,0.0,0.0,39.405,39.95,0.0,0.0,97.36842105263158,45.955,47.04,0.0,0.0,76.31578947368422,122.715,123.86,0.0,0.0,0.0,430435.0
CHIRANG,23,7.56,7.56,65.21739130434783,100.0,100.0,484.94,483.42,0.0,0.0,0.0,16.86,16.76,26.08695652173913,73.91304347826086,100.0,44.34,44.79,0.0,0.0,73.91304347826086,498.12,496.57,0.0,0.0,0.0,125.79,119.67,0.0,0.0,0.0,95.69,93.66,0.0,0.0,0.0,120.59,115.14,0.0,0.0,0.0,44.96,45.42,0.0,0.0,73.91304347826086,44.96,45.42,0.0,0.0,73.91304347826086,132.49,126.29,0.0,0.0,0.0,22.21,21.55,8.695652173913043,69.56521739130434,100.0,484461.0
DARANG,11,0.09,3.04,90.9090909090909,100.0,100.0,560.92,553.25,0.0,0.0,0.0,17.61,16.43,9.090909090909092,100.0,100.0,49.07,41.62,0.0,36.36363636363637,54.54545454545454,574.07,566.41,0.0,0.0,0.0,58.64,50.79,0.0,18.181818181818183,45.45454545454545,15.74,19.83,18.181818181818183,72.72727272727273,100.0,70.93,62.99,0.0,0.0,36.36363636363637,157.0,148.84,0.0,0.0,0.0,49.78,45.65,0.0,18.181818181818183,54.54545454545454,57.13,49.86,0.0,18.181818181818183,45.45454545454545,42.76,36.06,0.0,36.36363636363637,81.81818181818183,879320.0
DHEMAJI,57,0.93,2.29,96.49122807017544,100.0,100.0,827.49,835.23,0.0,0.0,0.0,25.79,26.38,0.0,45.614035087719294,96.49122807017544,326.82,331.34,0.0,0.0,0.0,840.31,848.05,0.0,0.0,0.0,337.83,345.91,0.0,0.0,0.0,283.16,291.22,0.0,0.0,0.0,349.83,357.91,0.0,0.0,0.0,360.23,365.51,0.0,0.0,0.0,26.92,28.34,0.0,40.35087719298245,96.49122807017544,26.92,28.53,0.0,40.35087719298245,96.49122807017544,105.88,113.8,0.0,0.0,0.0,628833.0
