village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
BAJALI,BAJALI,,771.0,district_centroid,PATHSALA,3.29,Baihata,54.92,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,515.23,ICD Amingaon,63.18,Darranga ICP,91.95,Lokpriya Gopinath Bordoloi International Airport (GAU),61.63,MMLP Jogighopa,65.39,Pandu Terminal (Guwahati),64.49,FCI Depot Guwahati,69.91
BAKSA,BAKSA,,324.0,district_centroid,TIHU,18.64,Baihata,46.31,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,534.5,ICD Amingaon,59.57,Darranga ICP,75.27,Lokpriya Gopinath Bordoloi International Airport (GAU),62.14,MMLP Jogighopa,86.04,Pandu Terminal (Guwahati),61.38,FCI Depot Guwahati,65.91
BARPETA,BARPETA,,303.0,district_centroid,SORUPETA,15.34,Jogighopa,49.14,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,494.89,ICD Amingaon,63.78,Darranga ICP,103.84,Lokpriya Gopinath Bordoloi International Airport (GAU),58.34,MMLP Jogighopa,49.48,Jogighopa Terminal,49.48,FCI Depot Guwahati,70.24
BISWANATH,BISWANATH,,734.0,district_centroid,Jakhalabandha,39.48,Baihata,166.14,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,675.35,ICD Amingaon,172.63,Darranga ICP,121.03,Lokpriya Gopinath Bordoloi International Airport (GAU),184.37,MMLP Silchar,218.61,Biswanath Ghat Terminal,16.69,FCI Depot Itanagar,43.34
BONGAIGAON,BONGAIGAON,,319.0,district_centroid,ABHAYAPURI ASSAM,2.08,Jogighopa,12.0,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,471.02,ICD Amingaon,104.49,Golakganj ICP,82.64,Lokpriya Gopinath Bordoloi International Airport (GAU),97.15,MMLP Jogighopa,12.67,Jogighopa Terminal,12.67,FCI Depot Guwahati,110.62
CACHAR,CACHAR,,316.0,district_centroid,SILCHAR,12.19,Bihara,29.24,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,514.61,ICD Amingaon,194.67,Sutarkandi ICP,44.98,Lokpriya Gopinath Bordoloi International Airport (GAU),194.41,MMLP Silchar,13.0,Lakhipur Terminal,12.06,FCI Depot Silchar,13.0
CHARAIDEO,CHARAIDEO,,704.0,district_centroid,LONGPATIA,2.81,Khongsang,288.46,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,829.15,ICD Amingaon,345.05,Darranga ICP,295.17,Lokpriya Gopinath Bordoloi International Airport (GAU),356.34,MMLP Silchar,331.41,Bogibeel Terminal,39.54,FCI Depot Dibrugarh,46.08
CHIRANG,CHIRANG,,320.0,district_centroid,CHAPRAKATA,16.7,Jogighopa,44.25,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,500.11,ICD Amingaon,114.66,Golakganj ICP,98.23,Lokpriya Gopinath Bordoloi International Airport (GAU),110.47,MMLP Jogighopa,44.93,Jogighopa Terminal,44.93,FCI Depot Guwahati,121.31
DARANG,DARANG,,325.0,district_centroid,PANBARI,23.1,Baihata,32.8,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,557.96,ICD Amingaon,42.07,Darranga ICP,15.74,Lokpriya Gopinath Bordoloi International Airport (GAU),54.37,MMLP Jogighopa,141.68,Pandu Terminal (Guwahati),43.53,FCI Depot Guwahati,40.97
DHEMAJI,DHEMAJI,,308.0,district_centroid,DIBRUGARH TOWN,23.0,Khongsang,320.32,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,833.17,ICD Amingaon,330.62,Darranga ICP,275.94,Lokpriya Gopinath Bordoloi International Airport (GAU),342.63,MMLP Silchar,352.16,Dibrugarh Terminal,24.13,FCI Depot Dibrugarh,24.13
DHUBRI,DHUBRI,,301.0,district_centroid,GAURIPUR,3.17,Jogighopa,60.6,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,417.8,ICD Amingaon,166.81,Golakganj ICP,15.13,Lokpriya Gopinath Bordoloi International Airport (GAU),157.24,MMLP Jogighopa,60.26,Dhubri Terminal,7.44,FCI Depot Siliguri,170.42
DIBRUGARH,DIBRUGARH,,310.0,district_centroid,LAHOAL,5.83,Khongsang,315.47,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,844.38,ICD Amingaon,349.72,Darranga ICP,296.93,Lokpriya Gopinath Bordoloi International Airport (GAU),361.45,MMLP Silchar,353.71,Bogibeel Terminal,4.27,FCI Depot Dibrugarh,11.38
DIMA HASAO,DIMA HASAO,,315.0,district_centroid,MUPA,5.74,Bihara,60.97,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,565.73,ICD Amingaon,161.4,Sutarkandi ICP,97.67,Lokpriya Gopinath Bordoloi International Airport (GAU),165.58,MMLP Silchar,68.2,Lakhipur Terminal,67.4,FCI Depot Silchar,68.2
GOALPARA,GOALPARA,,302.0,district_centroid,KRISHNAI,8.63,Jogighopa,21.21,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,441.94,ICD Amingaon,107.1,Mankachar ICP,72.72,Lokpriya Gopinath Bordoloi International Airport (GAU),97.05,MMLP Jogighopa,20.57,Jogighopa Terminal,20.57,FCI Depot Guwahati,112.16
