district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
Araria,734,5.67,6.19,80.79019073569482,100.0,100.0,393.66499999999996,395.38,0.0,0.0,0.0,11.805,12.73,41.008174386920984,94.55040871934605,100.0,66.87,64.64,0.0,0.4087193460490463,18.392370572207085,405.92,407.62,0.0,0.0,0.0,113.58500000000001,115.22,0.0,0.0,0.0,31.5,29.99,7.220708446866484,37.73841961852861,97.95640326975476,240.07,237.86,0.0,0.0,0.0,235.10500000000002,232.87,0.0,0.0,0.0,106.47999999999999,107.61,0.0,0.0,0.0,112.0,113.53,0.0,0.0,0.0,2806898.0
Arwal,315,3.83,5.36,78.0952380952381,100.0,100.0,252.49,251.7,0.0,0.0,0.0,21.6,21.35,0.0,79.36507936507937,100.0,123.7,123.83,0.0,0.0,0.0,460.55,460.18,0.0,0.0,0.0,63.4,64.57,0.0,0.0,0.9523809523809524,199.89,199.27,0.0,0.0,0.0,59.64,60.36,0.0,0.0,6.666666666666667,62.77,63.94,0.0,0.0,0.9523809523809524,62.77,63.81,0.0,0.0,0.9523809523809524,51.66,50.3,0.0,0.0,46.03174603174603,661150.0
Aurangabad,1852,5.805,6.57,75.16198704103671,100.0,100.0,228.73000000000002,229.86,0.0,0.0,0.0,10.16,11.44,49.08207343412527,94.22246220302377,100.0,111.285,111.65,0.0,0.0,0.0,464.28499999999997,462.97,0.0,0.0,0.0,115.745,116.03,0.0,0.0,0.0,244.885,244.51,0.0,0.0,0.0,111.58,111.9,0.0,0.0,0.0,115.12,114.27,0.0,0.0,0.0,114.89500000000001,114.2,0.0,0.0,0.0,63.3,62.46,0.0,0.0,26.997840172786177,2564825.0
Banka,2097,8.52,8.84,58.98903195040535,100.0,100.0,285.12,282.75,0.0,0.0,0.0,11.95,12.15,40.96328087744397,97.23414401525989,100.0,58.17,60.5,0.0,0.0,30.99666189794945,296.71,294.28,0.0,0.0,0.0,187.91,186.09,0.0,0.0,0.0,168.19,169.04,0.0,0.0,0.0,192.33,190.53,0.0,0.0,0.0,187.84,186.06,0.0,0.0,0.0,93.72,90.84,0.0,0.0,0.0,181.66,180.84,0.0,0.0,0.0,2045923.0
Begusarai,1137,5.3,6.4,78.80386983289358,100.0,100.0,372.83,371.96,0.0,0.0,0.0,4.18,5.18,84.96042216358839,100.0,100.0,42.94,41.35,0.0,4.8372911169744945,86.36763412489006,393.26,391.23,0.0,0.0,0.0,94.73,95.46,0.0,0.0,0.0,151.43,149.21,0.0,0.0,0.0,99.95,100.66,0.0,0.0,0.0,94.91,95.63,0.0,0.0,0.0,94.91,95.49,0.0,0.0,0.0,92.15,94.16,0.0,0.0,0.0,2955569.0
Bhagalpur,1519,3.95,4.76,88.21593153390388,100.0,100.0,304.54,304.68,0.0,0.0,0.0,4.71,5.58,84.92429229756418,100.0,100.0,35.76,40.03,0.19749835418038184,14.549045424621463,68.20276497695853,316.43,316.61,0.0,0.0,0.0,186.94,186.98,0.0,0.0,0.0,131.45,129.78,0.0,0.0,0.0,194.76,198.84,0.0,0.0,0.0,189.83,193.93,0.0,0.0,0.0,63.68,59.43,0.0,4.5424621461487815,32.587228439763,186.15,186.36,0.0,0.0,0.0,3063373.0
Bhojpur,1194,4.365,4.62,95.81239530988275,100.0,100.0,232.37,233.81,0.0,0.0,0.0,6.555,7.1,74.28810720268007,100.0,100.0,101.16,100.9,0.0,0.0,0.0,493.33,494.75,0.0,0.0,0.0,65.375,63.73,0.0,0.0,17.839195979899497,167.625,168.52,0.0,0.0,0.0,60.1,58.46,0.0,0.0,28.05695142378559,65.055,63.38,0.0,0.0,18.341708542713565,53.379999999999995,52.47,0.0,5.6951423785594635,43.132328308207704,64.83,62.78,0.0,0.0,18.341708542713565,2748353.0
Buxar,1119,5.26,5.75,84.1823056300268,100.0,100.0,189.37,189.7,0.0,0.0,0.0,9.75,10.71,51.921358355674705,100.0,100.0,83.48,81.97,0.0,0.0,0.0,531.46,530.82,0.0,0.0,0.0,105.52,105.8,0.0,0.0,0.0,181.53,180.11,0.0,0.0,0.0,98.55,96.82,0.0,0.0,0.0,97.59,96.16,0.0,0.0,0.0,88.04,86.3,0.0,0.0,0.0,97.59,96.16,0.0,0.0,0.0,1713560.0
Darbhanga,1247,4.63,6.65,74.49879711307136,100.0,100.0,384.19,386.32,0.0,0.0,0.0,7.2,7.71,68.56455493183641,100.0,100.0,41.53,42.05,0.0,4.651162790697675,75.22052927024859,452.9,449.15,0.0,0.0,0.0,102.77,103.96,0.0,0.0,0.0,124.69,121.73,0.0,0.0,0.0,107.58,108.93,0.0,0.0,0.0,103.29,104.5,0.0,0.0,0.0,103.27,104.49,0.0,0.0,0.0,61.03,65.73,0.0,0.0,23.9775461106656,4100963.0
Gaya,2834,7.525,8.48,64.4318983768525,97.70642201834863,100.0,283.485,283.14,0.0,0.0,0.0,12.385000000000002,16.03,42.94283697953423,76.74664784756527,99.7529992942837,84.255,87.36,0.0,0.0,0.0,415.38,413.71,0.0,0.0,0.0,104.155,102.4,0.0,0.0,0.0,253.815,250.71,0.0,0.0,0.0,102.60499999999999,100.98,0.0,0.0,0.0,103.505,102.23,0.0,0.0,0.0,103.505,102.23,0.0,0.0,0.0,27.025,29.64,5.29287226534933,41.99011997177135,88.9908256880734,4422156.0
