village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,5.51,Sanehwal,77.88,Deendayal Port (Kandla),1056.1,ICD Baddi,23.3,Attari ICP,210.8,Sri Guru Ram Dass Jee International Airport (ATQ),215.85,MMLP Sangrur,106.12,Varanasi Multi-Modal Terminal,840.46,FCI Depot Patiala,59.16
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,2.75,Sanehwal,79.52,Deendayal Port (Kandla),1055.02,ICD Baddi,25.8,Attari ICP,212.56,Sri Guru Ram Dass Jee International Airport (ATQ),218.19,MMLP Sangrur,105.99,Varanasi Multi-Modal Terminal,837.84,FCI Depot Patiala,58.24
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,4.77,Sanehwal,77.34,Deendayal Port (Kandla),1054.58,ICD Baddi,24.65,Attari ICP,210.35,Sri Guru Ram Dass Jee International Airport (ATQ),215.89,MMLP Sangrur,104.79,Varanasi Multi-Modal Terminal,840.06,FCI Depot Patiala,57.65
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,7.19,Sanehwal,75.61,Deendayal Port (Kandla),1055.15,ICD Baddi,22.79,Attari ICP,208.52,Sri Guru Ram Dass Jee International Airport (ATQ),213.65,MMLP Sangrur,104.54,Varanasi Multi-Modal Terminal,842.45,FCI Depot Patiala,58.15
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,2.48,Sanehwal,78.93,Deendayal Port (Kandla),1053.91,ICD Baddi,26.59,Attari ICP,212.01,Sri Guru Ram Dass Jee International Airport (ATQ),217.98,MMLP Sangrur,104.94,Varanasi Multi-Modal Terminal,837.79,FCI Depot Patiala,57.13
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,4.01,Sanehwal,77.19,Deendayal Port (Kandla),1052.92,ICD Baddi,26.43,Attari ICP,210.28,Sri Guru Ram Dass Jee International Airport (ATQ),216.4,MMLP Sangrur,103.5,Varanasi Multi-Modal Terminal,839.16,FCI Depot Patiala,56.04
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,6.27,Sanehwal,75.45,Deendayal Port (Kandla),1053.52,ICD Baddi,24.58,Attari ICP,208.46,Sri Guru Ram Dass Jee International Airport (ATQ),214.17,MMLP Sangrur,103.25,Varanasi Multi-Modal Terminal,841.54,FCI Depot Patiala,56.54
"Chandigarh, M Corp",Chandigarh,55,800286,village,SAS NAGAR MOHALI,6.53,Sanehwal,72.86,Deendayal Port (Kandla),1050.88,ICD Baddi,26.09,Attari ICP,205.95,Sri Guru Ram Dass Jee International Airport (ATQ),212.34,MMLP Sangrur,100.27,Varanasi Multi-Modal Terminal,842.8,FCI Depot Patiala,53.87
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,6.42,Sanehwal,74.83,Deendayal Port (Kandla),1052.23,ICD Baddi,25.67,Attari ICP,207.9,Sri Guru Ram Dass Jee International Airport (ATQ),214.01,MMLP Sangrur,102.05,Varanasi Multi-Modal Terminal,841.41,FCI Depot Patiala,55.24
"Chandigarh, M Corp",Chandigarh,55,800286,village,SAS NAGAR MOHALI,4.85,Sanehwal,74.08,Deendayal Port (Kandla),1050.07,ICD Baddi,27.67,Attari ICP,207.22,Sri Guru Ram Dass Jee International Airport (ATQ),214.04,MMLP Sangrur,100.13,Varanasi Multi-Modal Terminal,840.93,FCI Depot Patiala,53.1
"Chandigarh, M Corp",Chandigarh,55,800286,village,SAS NAGAR MOHALI,5.04,Sanehwal,72.99,Deendayal Port (Kandla),1049.62,ICD Baddi,27.58,Attari ICP,206.13,Sri Guru Ram Dass Jee International Airport (ATQ),212.99,MMLP Sangrur,99.36,Varanasi Multi-Modal Terminal,841.89,FCI Depot Patiala,52.62
"Chandigarh, M Corp",Chandigarh,55,800286,village,SAS NAGAR MOHALI,4.63,Sanehwal,75.42,Deendayal Port (Kandla),1050.34,ICD Baddi,28.17,Attari ICP,208.57,Sri Guru Ram Dass Jee International Airport (ATQ),215.42,MMLP Sangrur,100.86,Varanasi Multi-Modal Terminal,839.59,FCI Depot Patiala,53.43
"Chandigarh, M Corp",Chandigarh,55,800286,village,SAS NAGAR MOHALI,5.05,Sanehwal,75.24,Deendayal Port (Kandla),1050.68,ICD Baddi,27.68,Attari ICP,208.38,Sri Guru Ram Dass Jee International Airport (ATQ),215.1,MMLP Sangrur,101.05,Varanasi Multi-Modal Terminal,839.99,FCI Depot Patiala,53.75
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,4.23,Sanehwal,76.8,Deendayal Port (Kandla),1051.51,ICD Baddi,27.76,Attari ICP,209.94,Sri Guru Ram Dass Jee International Airport (ATQ),216.53,MMLP Sangrur,102.29,Varanasi Multi-Modal Terminal,838.73,FCI Depot Patiala,54.65
"Chandigarh, M Corp",Chandigarh,55,800286,village,SAS NAGAR MOHALI,7.55,Sanehwal,72.83,Deendayal Port (Kandla),1051.76,ICD Baddi,25.06,Attari ICP,205.87,Sri Guru Ram Dass Jee International Airport (ATQ),211.94,MMLP Sangrur,100.92,Varanasi Multi-Modal Terminal,843.4,FCI Depot Patiala,54.76
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,8.24,Sanehwal,73.4,Deendayal Port (Kandla),1052.75,ICD Baddi,24.23,Attari ICP,206.41,Sri Guru Ram Dass Jee International Airport (ATQ),212.17,MMLP Sangrur,101.89,Varanasi Multi-Modal Terminal,843.38,FCI Depot Patiala,55.75
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,7.7,Sanehwal,75.68,Deendayal Port (Kandla),1055.86,ICD Baddi,22.02,Attari ICP,208.53,Sri Guru Ram Dass Jee International Airport (ATQ),213.41,MMLP Sangrur,105.09,Varanasi Multi-Modal Terminal,842.86,FCI Depot Patiala,58.85
"Chandigarh, M Corp",Chandigarh,55,800286,village,SAS NAGAR MOHALI,3.48,Sanehwal,74.43,Deendayal Port (Kandla),1049.0,ICD Baddi,29.08,Attari ICP,207.6,Sri Guru Ram Dass Jee International Airport (ATQ),214.83,MMLP Sangrur,99.46,Varanasi Multi-Modal Terminal,839.91,FCI Depot Patiala,52.06
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,3.27,Sanehwal,78.01,Deendayal Port (Kandla),1051.21,ICD Baddi,28.92,Attari ICP,211.17,Sri Guru Ram Dass Jee International Airport (ATQ),217.99,MMLP Sangrur,102.58,Varanasi Multi-Modal Terminal,837.19,FCI Depot Patiala,54.48
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,3.78,Sanehwal,78.56,Deendayal Port (Kandla),1050.06,ICD Baddi,30.57,Attari ICP,211.74,Sri Guru Ram Dass Jee International Airport (ATQ),219.03,MMLP Sangrur,101.97,Varanasi Multi-Modal Terminal,835.91,FCI Depot Patiala,53.46
"Chandigarh, M Corp",Chandigarh,55,800286,village,SAS NAGAR MOHALI,3.47,Sanehwal,76.4,Deendayal Port (Kandla),1049.2,ICD Baddi,30.05,Attari ICP,209.58,Sri Guru Ram Dass Jee International Airport (ATQ),216.94,MMLP Sangrur,100.42,Varanasi Multi-Modal Terminal,837.83,FCI Depot Patiala,52.41
"Chandigarh, M Corp",Chandigarh,55,800286,village,SAS NAGAR MOHALI,8.21,Sanehwal,71.93,Deendayal Port (Kandla),1051.74,ICD Baddi,24.61,Attari ICP,204.95,Sri Guru Ram Dass Jee International Airport (ATQ),210.92,MMLP Sangrur,100.58,Varanasi Multi-Modal Terminal,844.42,FCI Depot Patiala,54.76
"Chandigarh, M Corp",Chandigarh,55,800286,village,SAS NAGAR MOHALI,9.67,Sanehwal,72.32,Deendayal Port (Kandla),1053.29,ICD Baddi,23.02,Attari ICP,205.25,Sri Guru Ram Dass Jee International Airport (ATQ),210.69,MMLP Sangrur,101.91,Varanasi Multi-Modal Terminal,845.0,FCI Depot Patiala,56.32
"Chandigarh, M Corp",Chandigarh,55,800286,village,SAS NAGAR MOHALI,7.73,Sanehwal,71.15,Deendayal Port (Kandla),1050.71,ICD Baddi,25.42,Attari ICP,204.22,Sri Guru Ram Dass Jee International Airport (ATQ),210.48,MMLP Sangrur,99.51,Varanasi Multi-Modal Terminal,844.64,FCI Depot Patiala,53.74
"Chandigarh, M Corp",Chandigarh,55,800286,village,KHARAR,8.43,Sanehwal,70.64,Deendayal Port (Kandla),1051.98,ICD Baddi,23.74,Attari ICP,203.61,Sri Guru Ram Dass Jee International Airport (ATQ),209.34,MMLP Sangrur,100.31,Varanasi Multi-Modal Terminal,846.06,FCI Depot Patiala,55.07
"Chandigarh, M Corp",Chandigarh,55,800286,village,KHARAR,10.33,Sanehwal,71.97,Deendayal Port (Kandla),1053.98,ICD Baddi,22.04,Attari ICP,204.82,Sri Guru Ram Dass Jee International Airport (ATQ),209.96,MMLP Sangrur,102.31,Varanasi Multi-Modal Terminal,845.89,FCI Depot Patiala,57.04
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,10.51,Sanehwal,74.11,Deendayal Port (Kandla),1056.99,ICD Baddi,19.65,Attari ICP,206.77,Sri Guru Ram Dass Jee International Airport (ATQ),211.02,MMLP Sangrur,105.37,Varanasi Multi-Modal Terminal,845.54,FCI Depot Patiala,60.03
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,9.37,Sanehwal,73.88,Deendayal Port (Kandla),1055.39,ICD Baddi,21.42,Attari ICP,206.7,Sri Guru Ram Dass Jee International Airport (ATQ),211.53,MMLP Sangrur,104.08,Varanasi Multi-Modal Terminal,844.64,FCI Depot Patiala,58.41
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,2.15,Sanehwal,81.12,Deendayal Port (Kandla),1051.88,ICD Baddi,30.49,Attari ICP,214.29,Sri Guru Ram Dass Jee International Airport (ATQ),221.2,MMLP Sangrur,104.41,Varanasi Multi-Modal Terminal,834.1,FCI Depot Patiala,55.53
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,0.57,Sanehwal,81.46,Deendayal Port (Kandla),1053.62,ICD Baddi,28.9,Attari ICP,214.6,Sri Guru Ram Dass Jee International Airport (ATQ),220.94,MMLP Sangrur,105.8,Varanasi Multi-Modal Terminal,834.75,FCI Depot Patiala,57.18
"Chandigarh, M Corp",Chandigarh,55,800286,village,CHANDIGARH,1.4,Sanehwal,79.87,Deendayal Port (Kandla),1052.5,ICD Baddi,28.86,Attari ICP,213.01,Sri Guru Ram Dass Jee International Airport (ATQ),219.58,MMLP Sangrur,104.31,Varanasi Multi-Modal Terminal,835.87,FCI Depot Patiala,55.91
