district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
Balod,766,11.57,11.53,42.95039164490861,98.17232375979113,100.0,484.71500000000003,484.8,0.0,0.0,0.0,11.504999999999999,11.96,41.90600522193211,96.73629242819844,100.0,144.585,145.99,0.0,0.0,0.0,396.665,395.74,0.0,0.0,0.0,70.71000000000001,71.69,0.0,0.0,10.835509138381202,761.665,761.89,0.0,0.0,0.0,222.07,222.01,0.0,0.0,0.0,240.195,240.68,0.0,0.0,0.0,408.815,409.37,0.0,0.0,0.0,50.58,50.53,0.0,6.657963446475196,48.9556135770235,1299581.0
Balodabazar-Bhatapara,755,7.79,8.29,62.251655629139066,100.0,100.0,405.82,407.97,0.0,0.0,0.0,27.44,25.92,21.456953642384104,46.35761589403973,95.89403973509934,34.44,36.41,6.622516556291391,29.80132450331126,78.41059602649007,440.51,439.77,0.0,0.0,0.0,71.67,73.68,0.0,0.0,9.536423841059603,641.77,641.56,0.0,0.0,0.0,324.89,325.48,0.0,0.0,0.0,357.77,359.65,0.0,0.0,0.0,317.7,315.85,0.0,0.0,0.0,71.56,73.63,0.0,0.0,9.536423841059603,1112540.0
Balrampur-Ramanujganj,751,18.41,18.05,29.560585885486017,71.5046604527297,100.0,241.55,238.95,0.0,0.0,0.0,47.57,46.71,0.0,6.125166444740346,57.78961384820239,109.57,104.47,0.0,0.0,0.13315579227696406,452.55,455.56,0.0,0.0,0.0,184.31,184.18,0.0,0.0,0.0,396.25,396.68,0.0,0.0,0.0,218.37,217.4,0.0,0.0,0.0,201.13,200.27,0.0,0.0,0.0,201.13,200.27,0.0,0.0,0.0,166.15,166.26,0.0,0.0,0.0,328191.0
Bastar,622,7.92,9.8,57.234726688102896,93.56913183279742,100.0,560.5450000000001,559.51,0.0,0.0,0.0,13.440000000000001,16.52,37.62057877813505,74.43729903536978,99.51768488745981,32.4,33.73,9.003215434083602,34.565916398713824,82.15434083601286,209.66,210.1,0.0,0.0,0.0,233.855,233.42,0.0,0.0,0.0,828.375,829.39,0.0,0.0,0.0,207.35500000000002,207.71,0.0,0.0,0.0,209.66,210.1,0.0,0.0,0.0,295.86,296.19,0.0,0.0,0.0,205.89999999999998,204.69,0.0,0.0,0.0,717379.0
Bemetara,699,11.46,12.48,42.34620886981402,90.70100143061516,100.0,381.47,382.49,0.0,0.0,0.0,35.97,34.43,1.2875536480686696,26.32331902718169,89.84263233190272,55.89,55.57,0.0,5.007153075822604,37.19599427753934,476.43,474.99,0.0,0.0,0.0,59.92,57.32,0.0,4.434907010014307,26.609442060085836,648.93,649.85,0.0,0.0,0.0,263.58,262.3,0.0,0.0,0.0,300.34,299.48,0.0,0.0,0.0,386.76,386.75,0.0,0.0,0.0,58.03,55.96,0.0,4.57796852646638,33.61945636623748,1112540.0
Bijapur,752,15.059999999999999,16.92,36.03723404255319,75.13297872340425,98.13829787234043,453.19,453.47,0.0,0.0,0.0,49.900000000000006,53.47,1.4627659574468086,11.835106382978724,50.13297872340425,123.00999999999999,121.62,0.0,0.0,0.0,282.82,285.2,0.0,0.0,0.0,258.685,257.71,0.0,0.0,0.0,940.345,938.72,0.0,0.0,0.0,265.495,265.16,0.0,0.0,0.0,248.32,244.49,0.0,0.0,0.0,230.255,227.05,0.0,0.0,0.0,237.755,234.64,0.0,0.0,0.0,252415.0
Bilaspur,708,4.56,5.83,80.7909604519774,100.0,100.0,346.245,349.34,0.0,0.0,0.0,10.3,11.6,49.293785310734464,94.2090395480226,100.0,42.325,40.91,2.2598870056497176,22.45762711864407,68.78531073446328,497.585,496.23,0.0,0.0,0.0,110.705,110.8,0.0,0.0,0.0,589.52,590.53,0.0,0.0,0.0,331.68,330.92,0.0,0.0,0.0,351.24,350.97,0.0,0.0,0.0,333.305,334.03,0.0,0.0,0.0,99.715,101.11,0.0,0.0,0.0,1140557.0
Dakshin Bastar Dantewada,256,10.53,11.82,49.21875,90.234375,100.0,498.98,498.14,0.0,0.0,0.0,13.075,13.52,36.328125,94.140625,100.0,86.255,85.35,0.0,0.0,0.0,228.885,228.3,0.0,0.0,0.0,265.4,265.32,0.0,0.0,0.0,889.985,890.85,0.0,0.0,0.0,227.32999999999998,226.78,0.0,0.0,0.0,228.65,228.28,0.0,0.0,0.0,244.31,241.24,0.0,0.0,0.0,225.935,224.33,0.0,0.0,0.0,168700.0
Dhamtari,685,11.38,14.21,44.67153284671533,78.39416058394161,100.0,502.89,508.03,0.0,0.0,0.0,18.07,27.5,29.489051094890513,60.72992700729927,77.37226277372264,129.75,127.96,0.0,0.0,0.0,359.71,352.12,0.0,0.0,0.0,67.88,72.8,0.0,0.0,23.795620437956206,755.71,753.78,0.0,0.0,0.0,280.79,281.19,0.0,0.0,0.0,297.74,296.66,0.0,0.0,0.0,357.07,357.53,0.0,0.0,0.0,67.69,72.59,0.0,0.0,23.64963503649635,803752.0
Durg,394,14.57,14.8,31.725888324873097,88.3248730964467,100.0,435.145,436.78,0.0,0.0,0.0,13.27,14.51,36.04060913705584,86.80203045685279,100.0,96.41,96.44,0.0,0.0,0.0,430.515,428.82,0.0,0.0,0.0,33.89,32.74,0.7614213197969544,24.873096446700508,98.47715736040608,708.56,708.61,0.0,0.0,0.0,240.86,239.21,0.0,0.0,0.0,268.78499999999997,267.9,0.0,0.0,0.0,393.105,393.84,0.0,0.0,0.0,20.049999999999997,21.22,9.898477157360407,64.72081218274111,100.0,899331.0
