village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
Chikhala Kasa,Rajnandgaon,408,441077,village,930,26.59,731A,481.55,Kusumkasa,29.01,Nipania,166.47,Visakhapatnam Port,416.75,ICD Raipur,94.58,Sunauli ICP,770.26,Dr. Babasaheb Ambedkar International Airport (NAG),187.14,MMLP Nagpur (Sindi),205.95,Vedadri Terminal,429.02,FCI FSD Durg,62.88
Dhobni,Rajnandgaon,408,441074,village,930,26.99,731A,478.83,Kusumkasa,28.14,Nipania,162.38,Visakhapatnam Port,417.1,ICD Raipur,90.53,Sunauli ICP,766.71,Dr. Babasaheb Ambedkar International Airport (NAG),189.7,MMLP Nagpur (Sindi),209.24,Vedadri Terminal,432.11,FCI FSD Durg,58.8
Gota Tola,Rajnandgaon,408,441022,village,930,27.4,731A,477.53,Kusumkasa,28.56,Nipania,161.06,Visakhapatnam Port,417.79,ICD Raipur,89.33,Sunauli ICP,765.29,Dr. Babasaheb Ambedkar International Airport (NAG),190.08,MMLP Nagpur (Sindi),209.96,Vedadri Terminal,433.48,FCI FSD Durg,57.46
Lalu Tola,Rajnandgaon,408,441073,village,930,28.87,731A,478.33,Kusumkasa,30.33,Nipania,163.79,Visakhapatnam Port,418.94,ICD Raipur,92.3,Sunauli ICP,767.01,Dr. Babasaheb Ambedkar International Airport (NAG),187.24,MMLP Nagpur (Sindi),206.89,Vedadri Terminal,432.3,FCI FSD Durg,60.16
Parewadeeh,Rajnandgaon,408,441083,village,930,26.1,731A,477.87,Kusumkasa,27.27,Nipania,160.23,Visakhapatnam Port,416.66,ICD Raipur,88.28,Sunauli ICP,765.13,Dr. Babasaheb Ambedkar International Airport (NAG),191.58,MMLP Nagpur (Sindi),211.39,Vedadri Terminal,433.35,FCI FSD Durg,56.68
Bawli,Rajnandgaon,408,441081,village,930,24.0,731A,475.93,Kusumkasa,25.29,Nipania,154.87,Visakhapatnam Port,415.05,ICD Raipur,82.55,Sunauli ICP,761.49,Dr. Babasaheb Ambedkar International Airport (NAG),196.77,MMLP Nagpur (Sindi),217.11,Vedadri Terminal,436.12,FCI FSD Durg,51.49
Umarwahi,Rajnandgaon,408,441068,village,53,26.26,731A,475.43,Kusumkasa,29.56,Nipania,159.11,Visakhapatnam Port,419.09,ICD Raipur,87.64,Sunauli ICP,763.08,Dr. Babasaheb Ambedkar International Airport (NAG),190.44,MMLP Nagpur (Sindi),210.86,Vedadri Terminal,435.65,FCI FSD Durg,55.49
Turregarh,Rajnandgaon,408,441069,village,53,25.8,731A,475.48,BAKAL,33.11,Nipania,163.86,Visakhapatnam Port,422.86,ICD Raipur,93.18,Sunauli ICP,765.18,Dr. Babasaheb Ambedkar International Airport (NAG),184.11,MMLP Nagpur (Sindi),204.5,Vedadri Terminal,434.81,FCI FSD Durg,60.26
Nandiya,Rajnandgaon,408,441025,village,53,24.84,731A,474.72,BAKAL,33.62,Nipania,165.8,Visakhapatnam Port,425.48,ICD Raipur,95.67,Sunauli ICP,765.5,Dr. Babasaheb Ambedkar International Airport (NAG),180.74,MMLP Nagpur (Sindi),201.33,Vedadri Terminal,435.23,FCI FSD Durg,62.31
Ayabandha,Rajnandgaon,408,441067,village,53,23.4,731A,473.06,BAKAL,30.8,Nipania,162.18,Visakhapatnam Port,424.75,ICD Raipur,91.93,Sunauli ICP,762.86,Dr. Babasaheb Ambedkar International Airport (NAG),183.86,MMLP Nagpur (Sindi),204.89,Vedadri Terminal,437.23,FCI FSD Durg,58.65
Ghupsal,Rajnandgaon,408,441021,village,53,22.64,731A,472.68,MUSRA,33.77,Nipania,167.8,Visakhapatnam Port,429.85,ICD Raipur,98.64,Sunauli ICP,764.96,Dr. Babasaheb Ambedkar International Airport (NAG),176.07,MMLP Nagpur (Sindi),197.23,Vedadri Terminal,436.88,FCI FSD Durg,64.65
Charbhatha,Rajnandgaon,408,441023,village,53,23.63,731A,473.58,BAKAL,33.34,Nipania,166.31,Visakhapatnam Port,427.43,ICD Raipur,96.62,Sunauli ICP,764.95,Dr. Babasaheb Ambedkar International Airport (NAG),178.91,MMLP Nagpur (Sindi),199.81,Vedadri Terminal,436.21,FCI FSD Durg,62.96
Garrapar,Rajnandgaon,408,440992,village,53,21.48,731A,472.25,PANIAJOB,33.96,Nipania,172.03,Visakhapatnam Port,433.93,ICD Raipur,103.74,Sunauli ICP,766.39,Dr. Babasaheb Ambedkar International Airport (NAG),170.14,MMLP Nagpur (Sindi),191.47,Vedadri Terminal,436.94,FCI FSD Durg,69.32
Latmeta,Rajnandgaon,408,441018,village,53,21.24,731A,471.26,MUSRA,32.81,Nipania,167.63,Visakhapatnam Port,431.56,ICD Raipur,98.87,Sunauli ICP,763.92,Dr. Babasaheb Ambedkar International Airport (NAG),174.95,MMLP Nagpur (Sindi),196.5,Vedadri Terminal,438.22,FCI FSD Durg,64.65
Ban Nawagaon,Rajnandgaon,408,441063,village,53,21.14,731A,470.53,BAKAL,27.51,Nipania,158.41,Visakhapatnam Port,425.1,ICD Raipur,88.26,Sunauli ICP,759.57,Dr. Babasaheb Ambedkar International Airport (NAG),186.34,MMLP Nagpur (Sindi),208.01,Vedadri Terminal,440.06,FCI FSD Durg,54.88
Ramtarai,Rajnandgaon,408,440971,village,543,20.37,731A,471.5,PANIAJOB,33.81,Sindi,176.61,Visakhapatnam Port,440.36,ICD Raipur,111.46,Sunauli ICP,768.39,Dr. Babasaheb Ambedkar International Airport (NAG),161.19,MMLP Nagpur (Sindi),182.87,Vedadri Terminal,437.42,FCI FSD Durg,76.56
Sambalpur,Rajnandgaon,408,441065,village,53,22.24,731A,470.73,BAKAL,26.5,Nipania,153.73,Visakhapatnam Port,421.19,ICD Raipur,82.68,Sunauli ICP,757.66,Dr. Babasaheb Ambedkar International Airport (NAG),192.77,MMLP Nagpur (Sindi),214.38,Talcher Terminal,439.83,FCI FSD Durg,50.09
Joshilamti,Rajnandgaon,408,440986,village,53,18.77,731A,469.74,PANIAJOB,31.39,Nipania,171.63,Visakhapatnam Port,436.86,ICD Raipur,104.06,Sunauli ICP,764.47,Dr. Babasaheb Ambedkar International Airport (NAG),168.36,MMLP Nagpur (Sindi),190.41,Vedadri Terminal,439.38,FCI FSD Durg,69.33
