village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
ZARI,DAMAN,495,524925,village,VAPI,4.6,Taloja Panchanand,143.12,Hazira Port,81.64,ICD Surat (Sachana GIDC),79.74,Attari ICP,1180.12,Surat Airport (STV),81.15,MMLP Surat,86.34,Vedadri Terminal,861.48,FCI Depot Surat,86.34
THANA PARDI,DAMAN,495,524924,village,VAPI,5.71,Taloja Panchanand,143.37,Hazira Port,81.28,ICD Surat (Sachana GIDC),79.71,Attari ICP,1180.21,Surat Airport (STV),80.92,MMLP Surat,86.23,Vedadri Terminal,862.52,FCI Depot Surat,86.23
BHAMTI,DAMAN,495,524918,village,VAPI,6.98,Taloja Panchanand,144.28,Hazira Port,80.3,ICD Surat (Sachana GIDC),79.05,Attari ICP,1179.68,Surat Airport (STV),80.05,MMLP Surat,85.5,Vedadri Terminal,863.9,FCI Depot Surat,85.5
JAMPORE,DAMAN,495,524920,village,VAPI,9.48,Taloja Panchanand,144.04,Hazira Port,80.42,ICD Surat (Sachana GIDC),79.94,Attari ICP,1180.76,Surat Airport (STV),80.49,MMLP Surat,86.23,Vedadri Terminal,865.93,FCI Depot Surat,86.23
BHATHAIYA,DAMAN,495,999999999,village,VAPI,7.03,Taloja Panchanand,144.83,Hazira Port,79.75,ICD Surat (Sachana GIDC),78.47,Attari ICP,1179.1,Surat Airport (STV),79.49,MMLP Surat,84.93,Vedadri Terminal,864.09,FCI Depot Surat,84.93
DHOLAR,DAMAN,495,524919,village,VAPI,8.22,Taloja Panchanand,144.75,Hazira Port,79.75,ICD Surat (Sachana GIDC),78.85,Attari ICP,1179.59,Surat Airport (STV),79.65,MMLP Surat,85.23,Vedadri Terminal,865.11,FCI Depot Surat,85.23
DAMANWADA,DAMAN,495,524916,village,VAPI,7.94,Taloja Panchanand,145.55,Hazira Port,78.99,ICD Surat (Sachana GIDC),77.92,Attari ICP,1178.62,Surat Airport (STV),78.81,MMLP Surat,84.33,Vedadri Terminal,865.05,FCI Depot Surat,84.33
KACHIGAM,DAMAN,495,524931,village,VAPI,3.74,Taloja Panchanand,144.03,Hazira Port,80.89,ICD Surat (Sachana GIDC),78.63,Attari ICP,1178.88,Surat Airport (STV),80.25,MMLP Surat,85.3,Vedadri Terminal,860.93,FCI Depot Surat,85.3
PATLARA,DAMAN,495,912997,village,VAPI,6.19,Taloja Panchanand,145.04,Hazira Port,79.64,ICD Surat (Sachana GIDC),78.05,Attari ICP,1178.58,Surat Airport (STV),79.25,MMLP Surat,84.57,Vedadri Terminal,863.35,FCI Depot Surat,84.57
VARKUND,DAMAN,495,524913,village,VAPI,6.22,Taloja Panchanand,146.5,Hazira Port,78.29,ICD Surat (Sachana GIDC),76.41,Attari ICP,1176.87,Surat Airport (STV),77.77,MMLP Surat,82.97,Vedadri Terminal,863.31,FCI Depot Surat,82.97
MOTI DAMAN,DAMAN,495,999999999,village,VAPI,9.14,Taloja Panchanand,147.19,Hazira Port,77.33,ICD Surat (Sachana GIDC),76.43,Attari ICP,1177.2,Surat Airport (STV),77.2,MMLP Surat,82.79,Vedadri Terminal,866.33,FCI Depot Surat,82.79
DABHEL,DAMAN,495,524930,village,VAPI,4.23,Taloja Panchanand,146.1,Hazira Port,79.1,ICD Surat (Sachana GIDC),76.35,Attari ICP,1176.43,Surat Airport (STV),78.24,MMLP Surat,83.09,Vedadri Terminal,860.67,FCI Depot Surat,83.09
KHARIWADI,DAMAN,495,999999999,village,BAGWADA,7.41,Taloja Panchanand,148.13,Hazira Port,76.57,ICD Surat (Sachana GIDC),75.02,Attari ICP,1175.63,Surat Airport (STV),76.16,MMLP Surat,81.51,Vedadri Terminal,865.06,FCI Depot Surat,81.51
KATHIRIA,DAMAN,495,999999999,village,BAGWADA,8.67,Taloja Panchanand,148.95,Hazira Port,75.63,ICD Surat (Sachana GIDC),74.51,Attari ICP,1175.25,Surat Airport (STV),75.39,MMLP Surat,80.9,Vedadri Terminal,866.6,FCI Depot Surat,80.9
DUNETHA,DAMAN,495,524929,village,BAGWADA,6.63,Taloja Panchanand,148.61,Hazira Port,76.16,ICD Surat (Sachana GIDC),74.39,Attari ICP,1174.94,Surat Airport (STV),75.66,MMLP Surat,80.92,Vedadri Terminal,864.73,FCI Depot Surat,80.92
Marwad,DAMAN,495,524926,village,BAGWADA,8.06,Taloja Panchanand,150.84,Hazira Port,73.82,ICD Surat (Sachana GIDC),72.47,Attari ICP,1173.19,Surat Airport (STV),73.46,MMLP Surat,78.89,Vedadri Terminal,866.99,FCI Depot Surat,78.89
MOTI VANKAD,DAMAN,495,524912,village,BAGWADA,3.52,Taloja Panchanand,150.54,Hazira Port,74.76,ICD Surat (Sachana GIDC),71.92,Attari ICP,1172.11,Surat Airport (STV),73.81,MMLP Surat,78.65,Vedadri Terminal,862.96,FCI Depot Surat,78.65
KADAIYA,DAMAN,495,524927,village,UDVADA,6.69,Taloja Panchanand,152.1,Hazira Port,72.77,ICD Surat (Sachana GIDC),70.87,Attari ICP,1171.45,Surat Airport (STV),72.17,MMLP Surat,77.39,Vedadri Terminal,866.25,FCI Depot Surat,77.39
BHIMPORE,DAMAN,495,524928,village,BAGWADA,5.12,Taloja Panchanand,151.06,Hazira Port,73.99,ICD Surat (Sachana GIDC),71.64,Attari ICP,1172.04,Surat Airport (STV),73.23,MMLP Surat,78.26,Vedadri Terminal,864.52,FCI Depot Surat,78.26
DEVKA,DAMAN,495,524911,village,UDVADA,7.88,Taloja Panchanand,152.2,Hazira Port,72.52,ICD Surat (Sachana GIDC),71.01,Attari ICP,1171.71,Surat Airport (STV),72.08,MMLP Surat,77.45,Vedadri Terminal,867.28,FCI Depot Surat,77.45
RINGANWADA,DAMAN,495,524914,village,VAPI,5.28,Taloja Panchanand,146.19,Hazira Port,78.73,ICD Surat (Sachana GIDC),76.53,Attari ICP,1176.86,Surat Airport (STV),78.08,MMLP Surat,83.16,Vedadri Terminal,862.27,FCI Depot Surat,83.16
PANARI,DAMAN,495,524921,village,VAPI,7.75,Taloja Panchanand,143.65,Hazira Port,80.87,ICD Surat (Sachana GIDC),79.89,Attari ICP,1180.58,Surat Airport (STV),80.74,MMLP Surat,86.29,Vedadri Terminal,864.33,FCI Depot Surat,86.29
DEVA PARDI,DAMAN,495,524922,village,VAPI,6.91,Taloja Panchanand,143.56,Hazira Port,81.0,ICD Surat (Sachana GIDC),79.77,Attari ICP,1180.39,Surat Airport (STV),80.77,MMLP Surat,86.23,Vedadri Terminal,863.6,FCI Depot Surat,86.23
NAILA PARDI,DAMAN,495,524923,village,VAPI,6.53,Taloja Panchanand,143.67,Hazira Port,80.92,ICD Surat (Sachana GIDC),79.58,Attari ICP,1180.16,Surat Airport (STV),80.65,MMLP Surat,86.05,Vedadri Terminal,863.32,FCI Depot Surat,86.05
SAUDWADI,DIU,494,524910,village,Delvada,16.86,Makansar,222.24,Pipavav Port,72.66,ICD Rajkot,172.47,Attari ICP,1188.24,Surat Airport (STV),194.19,MMLP Surat,204.44,Vedadri Terminal,1062.19,FCI Depot Rajkot,172.88
BRANCAWARA,DIU,494,999999999,village,Delvada,17.69,Makansar,221.64,Pipavav Port,73.47,ICD Rajkot,171.8,Attari ICP,1187.99,Surat Airport (STV),195.13,MMLP Surat,205.37,Vedadri Terminal,1063.45,FCI Depot Rajkot,172.22
BHUCHARVADA,DIU,494,524909,village,Delvada,12.94,Makansar,221.75,Pipavav Port,68.68,ICD Rajkot,172.23,Attari ICP,1186.57,Surat Airport (STV),190.11,MMLP Surat,200.37,Vedadri Terminal,1058.57,FCI Depot Rajkot,172.64
DIU,DIU,494,999999999,village,Delvada,8.74,Makansar,221.71,Pipavav Port,64.1,ICD Rajkot,172.53,Attari ICP,1185.0,Surat Airport (STV),185.29,MMLP Surat,195.57,Vedadri Terminal,1054.04,FCI Depot Rajkot,172.93
PANIKOT ISLAND,DIU,494,999999999,village,Delvada,11.33,Makansar,218.48,Pipavav Port,45.99,ICD Rajkot,170.84,Attari ICP,1175.6,Surat Airport (STV),166.83,MMLP Surat,177.11,Vedadri Terminal,1039.12,FCI Depot Rajkot,171.21
SIMARBANDAR,DIU,494,999999999,village,Delvada,10.96,Makansar,218.3,Pipavav Port,46.25,ICD Rajkot,170.63,Attari ICP,1175.56,Surat Airport (STV),167.15,MMLP Surat,177.42,Vedadri Terminal,1039.5,FCI Depot Rajkot,171.0
