district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
CENTRAL,19,3.34,3.7,100.0,100.0,100.0,11.42,11.43,31.57894736842105,100.0,100.0,892.45,890.85,0.0,0.0,0.0,7.22,7.38,84.21052631578947,100.0,100.0,360.73,361.24,0.0,0.0,0.0,21.55,19.95,0.0,89.47368421052632,100.0,212.08,212.15,0.0,0.0,0.0,671.81,671.57,0.0,0.0,0.0,12.0,10.45,47.368421052631575,100.0,100.0,799575.0
EAST,16,3.4349999999999996,3.43,100.0,100.0,100.0,14.525,14.28,0.0,100.0,100.0,886.775,887.22,0.0,0.0,0.0,2.915,2.63,100.0,100.0,100.0,374.1,373.89,0.0,0.0,0.0,20.22,20.5,0.0,100.0,100.0,225.03,225.01,0.0,0.0,0.0,659.28,659.23,0.0,0.0,0.0,8.675,8.99,75.0,100.0,100.0,1114056.0
NEW DELHI,22,1.58,2.18,100.0,100.0,100.0,25.259999999999998,25.01,0.0,45.45454545454545,100.0,873.04,873.66,0.0,0.0,0.0,14.704999999999998,14.76,9.090909090909092,100.0,100.0,367.94500000000005,367.18,0.0,0.0,0.0,5.08,5.48,95.45454545454545,100.0,100.0,220.01999999999998,219.75,0.0,0.0,0.0,670.2049999999999,670.62,0.0,0.0,0.0,10.059999999999999,9.97,50.0,100.0,100.0,194984.0
NORTH,70,3.59,4.57,95.71428571428572,100.0,100.0,9.665,8.61,51.42857142857142,100.0,100.0,894.27,894.48,0.0,0.0,0.0,15.05,16.55,10.0,90.0,100.0,348.83500000000004,348.41,0.0,0.0,0.0,27.57,26.74,0.0,34.285714285714285,100.0,199.22000000000003,199.37,0.0,0.0,0.0,683.185,683.93,0.0,0.0,0.0,22.53,21.9,2.857142857142857,64.28571428571429,100.0,1219269.0
NORTH EAST,22,4.085,4.66,100.0,100.0,100.0,6.71,6.83,100.0,100.0,100.0,894.165,894.34,0.0,0.0,0.0,4.98,5.0,100.0,100.0,100.0,364.12,362.97,0.0,0.0,0.0,23.4,23.52,0.0,77.27272727272727,100.0,214.715,213.52,0.0,0.0,0.0,668.025,668.86,0.0,0.0,0.0,12.239999999999998,12.65,13.636363636363635,100.0,100.0,1005683.0
NORTH WEST,37,3.07,3.93,94.5945945945946,100.0,100.0,15.46,15.33,0.0,100.0,100.0,884.52,884.13,0.0,0.0,0.0,23.22,22.6,0.0,56.75675675675676,100.0,349.31,349.47,0.0,0.0,0.0,18.02,19.63,0.0,86.48648648648648,100.0,201.67,201.53,0.0,0.0,0.0,686.66,685.76,0.0,0.0,0.0,20.13,19.53,8.108108108108109,72.97297297297297,100.0,1711505.0
SHAHADARA,11,1.9,1.69,100.0,100.0,100.0,8.06,7.86,81.81818181818183,100.0,100.0,891.96,892.2,0.0,0.0,0.0,5.96,5.93,100.0,100.0,100.0,367.92,368.34,0.0,0.0,0.0,22.53,22.52,0.0,81.81818181818183,100.0,218.57,218.94,0.0,0.0,0.0,664.2,663.87,0.0,0.0,0.0,10.34,10.46,36.36363636363637,100.0,100.0,2820107.0
SOUTH,44,5.96,6.3,88.63636363636364,100.0,100.0,26.52,27.43,0.0,31.818181818181817,100.0,873.7,872.28,0.0,0.0,0.0,8.94,9.0,70.45454545454545,100.0,100.0,375.135,376.07,0.0,0.0,0.0,11.075,11.34,31.818181818181817,100.0,100.0,227.70499999999998,228.43,0.0,0.0,0.0,662.29,661.8,0.0,0.0,0.0,10.440000000000001,11.37,45.45454545454545,100.0,100.0,1647066.0
SOUTH EAST,27,1.73,1.92,100.0,100.0,100.0,22.51,22.53,0.0,74.07407407407408,100.0,879.03,879.38,0.0,0.0,0.0,4.4,4.31,100.0,100.0,100.0,376.08,376.02,0.0,0.0,0.0,17.72,17.52,0.0,100.0,100.0,229.0,230.02,0.0,0.0,0.0,657.0,656.96,0.0,0.0,0.0,9.61,10.35,51.85185185185185,100.0,100.0,1417770.0
SOUTH WEST,70,7.905,7.2,75.71428571428571,100.0,100.0,18.27,18.42,5.714285714285714,87.14285714285714,100.0,866.3599999999999,866.3,0.0,0.0,0.0,16.365000000000002,16.06,4.285714285714286,100.0,100.0,357.235,357.23,0.0,0.0,0.0,13.535,13.09,31.428571428571427,100.0,100.0,211.45,211.35,0.0,0.0,0.0,684.51,683.81,0.0,0.0,0.0,23.799999999999997,23.44,0.0,54.285714285714285,100.0,1949768.0
WEST,31,3.18,3.22,100.0,100.0,100.0,21.42,21.51,0.0,93.54838709677419,100.0,878.17,878.37,0.0,0.0,0.0,20.31,20.29,0.0,83.87096774193549,100.0,356.76,356.46,0.0,0.0,0.0,11.53,11.56,32.25806451612903,100.0,100.0,209.3,208.92,0.0,0.0,0.0,679.72,680.26,0.0,0.0,0.0,13.67,14.31,12.903225806451612,100.0,100.0,2175169.0
__STATE__,369,,3.930030452286622,92.6829268292683,100.0,100.0,,15.915247560378878,20.867208672086722,83.73983739837398,100.0,,882.8141654307034,0.0,0.0,0.0,,11.753444972616547,36.58536585365854,92.41192411924119,100.0,,363.00834670137914,0.0,0.0,0.0,,17.901344530958422,18.157181571815716,83.73983739837398,100.0,,215.02392226336147,0.0,0.0,0.0,,672.0026038800988,0.0,0.0,0.0,,14.505997639855915,22.22222222222222,81.84281842818429,100.0,16054952.0
