village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
,SOUTH WEST,97,,village,BIJWASAN,1.36,Farukh Nagar,23.3,Dahej Port,868.13,ICD Garhi Harsaru,16.28,Attari ICP,363.9,Indira Gandhi International Airport (DEL),4.68,MMLP Sangrur,217.33,Varanasi Multi-Modal Terminal,675.99,FCI Depot Delhi (NCR),16.68
,SOUTH WEST,97,,village,BIJWASAN,3.43,Farukh Nagar,21.91,Dahej Port,868.11,ICD Garhi Harsaru,16.1,Attari ICP,361.49,Indira Gandhi International Airport (DEL),6.81,MMLP Sangrur,215.05,Varanasi Multi-Modal Terminal,678.54,FCI Depot Delhi (NCR),18.21
,SOUTH WEST,97,,village,BIJWASAN,5.11,Farukh Nagar,19.96,Dahej Port,866.94,ICD Garhi Harsaru,15.06,Attari ICP,360.09,Indira Gandhi International Airport (DEL),9.04,MMLP Sangrur,213.9,Varanasi Multi-Modal Terminal,680.46,FCI Depot Delhi (NCR),20.34
,SOUTH WEST,97,,village,BIJWASAN,7.45,Farukh Nagar,18.4,Dahej Port,866.29,ICD Garhi Harsaru,14.92,Attari ICP,358.12,Indira Gandhi International Airport (DEL),11.4,MMLP Sangrur,212.15,Varanasi Multi-Modal Terminal,682.8,FCI Depot Delhi (NCR),22.41
,SOUTH WEST,97,,village,BIJWASAN,5.26,Farukh Nagar,21.18,Dahej Port,868.28,ICD Garhi Harsaru,16.39,Attari ICP,359.67,Indira Gandhi International Airport (DEL),8.46,MMLP Sangrur,213.31,Varanasi Multi-Modal Terminal,680.4,FCI Depot Delhi (NCR),19.34
,SOUTH WEST,97,,village,PALAM VIHAR HALT,7.74,Farukh Nagar,16.69,Dahej Port,864.69,ICD Garhi Harsaru,13.6,Attari ICP,358.11,Indira Gandhi International Airport (DEL),12.68,MMLP Sangrur,212.38,Varanasi Multi-Modal Terminal,683.44,FCI Depot Delhi (NCR),23.97
,SOUTH WEST,97,,village,PALAM VIHAR HALT,8.07,Farukh Nagar,15.12,Dahej Port,863.11,ICD Garhi Harsaru,12.27,Attari ICP,358.36,Indira Gandhi International Airport (DEL),13.8,MMLP Sangrur,212.87,Varanasi Multi-Modal Terminal,683.79,FCI Depot Delhi (NCR),25.34
,SOUTH WEST,97,,village,GURGAON,9.61,Farukh Nagar,14.31,Dahej Port,862.85,ICD Garhi Harsaru,12.81,Attari ICP,356.95,Indira Gandhi International Airport (DEL),15.27,MMLP Sangrur,211.59,Varanasi Multi-Modal Terminal,685.4,FCI Depot Delhi (NCR),26.61
,SOUTH WEST,97,,village,GURGAON,8.42,Farukh Nagar,14.05,Dahej Port,862.18,ICD Garhi Harsaru,11.69,Attari ICP,358.18,Indira Gandhi International Airport (DEL),14.79,MMLP Sangrur,212.85,Varanasi Multi-Modal Terminal,684.36,FCI Depot Delhi (NCR),26.39
JAINPUR,SOUTH WEST,97,064037,village,BASAI DHANKOT,8.42,Farukh Nagar,12.31,Dahej Port,860.38,ICD Garhi Harsaru,10.3,Attari ICP,358.58,Indira Gandhi International Airport (DEL),16.12,MMLP Sangrur,213.52,Varanasi Multi-Modal Terminal,684.66,FCI Depot Delhi (NCR),27.92
,SOUTH WEST,97,,village,Sultanpur Kalia,9.03,Farukh Nagar,9.95,Dahej Port,859.18,ICD Garhi Harsaru,12.78,Attari ICP,354.74,Indira Gandhi International Airport (DEL),20.46,MMLP Sangrur,210.16,Varanasi Multi-Modal Terminal,689.28,FCI Depot Delhi (NCR),31.88
,SOUTH WEST,97,,village,Sultanpur Kalia,9.04,Farukh Nagar,10.57,Dahej Port,859.59,ICD Garhi Harsaru,11.81,Attari ICP,356.02,Indira Gandhi International Airport (DEL),18.99,MMLP Sangrur,211.27,Varanasi Multi-Modal Terminal,687.74,FCI Depot Delhi (NCR),30.53
,SOUTH WEST,97,,village,Sultanpur Kalia,10.76,Farukh Nagar,12.29,Dahej Port,861.34,ICD Garhi Harsaru,12.97,Attari ICP,355.43,Indira Gandhi International Airport (DEL),17.94,MMLP Sangrur,210.43,Varanasi Multi-Modal Terminal,687.64,FCI Depot Delhi (NCR),29.24
