state,district,district_code,pop_2011,is_island,target_port,road_distance_km,road_cost_per_ton_inr,rail_cost_per_ton_inr,dfc_cost_per_ton_inr,optimal_mode,modal_shift_savings_inr,modal_shift_savings_pct,break_even_distance_km,road_drive_time_hours
Andaman and Nicobar Islands,NICOBARS,638.0,35779,True,,,,,,N/A (Island / Isolated),,,,
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,639.0,105930,True,,,,,,N/A (Island / Isolated),,,,
Andaman and Nicobar Islands,SOUTH ANDAMANS,640.0,238872,True,,,,,,N/A (Island / Isolated),,,,
Andhra Pradesh,Alluri Sitarama Raju,684.0,3661007,False,Visakhapatnam Port,236.1,1008.5,1400.0,,Road Trucking,0.0,0.0,380.0,3.68
Andhra Pradesh,Anakapalli,685.0,1552458,False,Visakhapatnam Port,61.7,369.2,1009.4,,Road Trucking,0.0,0.0,380.0,1.26
Andhra Pradesh,Ananthapuramu,553.0,2233808,False,Chennai Port,430.5,1720.4,1821.0,,Road Trucking,0.0,0.0,380.0,6.29
Andhra Pradesh,Annamayya,693.0,1458898,False,Chennai Port,281.8,1174.9,1499.0,,Road Trucking,0.0,0.0,380.0,4.17
Andhra Pradesh,Bapatla,691.0,1792828,False,Visakhapatnam Port,480.9,1906.6,1924.1,,Road Trucking,0.0,0.0,380.0,7.18
Andhra Pradesh,Chittoor,554.0,1900506,False,Chennai Port,205.6,895.4,1334.0,,Road Trucking,0.0,0.0,380.0,3.08
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,687.0,1172319,False,Visakhapatnam Port,274.6,1149.1,1483.4,,Road Trucking,0.0,0.0,380.0,4.15
Andhra Pradesh,East Godavari,545.0,1694071,False,Visakhapatnam Port,206.2,898.2,1335.3,,Road Trucking,0.0,0.0,380.0,3.18
Andhra Pradesh,Eluru,688.0,2533959,False,Visakhapatnam Port,286.0,1192.6,1508.1,,Road Trucking,0.0,0.0,380.0,4.54
Andhra Pradesh,Guntur,548.0,1074025,False,Visakhapatnam Port,396.1,1595.7,1746.5,,Road Trucking,0.0,0.0,380.0,5.99
Andhra Pradesh,Kakinada,686.0,1514240,False,Visakhapatnam Port,345.8,1411.2,1637.5,,Road Trucking,0.0,0.0,380.0,5.28
Andhra Pradesh,Krishna,547.0,2035649,False,Visakhapatnam Port,415.9,1667.8,1789.3,,Road Trucking,0.0,0.0,380.0,6.21
Andhra Pradesh,Kurnool,552.0,1866517,False,Chennai Port,595.1,2326.5,2133.1,,Conventional Rail,193.4,8.3,380.0,8.94
Andhra Pradesh,NTR,689.0,1763847,False,Visakhapatnam Port,497.9,1968.3,1627.6,,Conventional Rail,340.7,17.3,380.0,7.33
Andhra Pradesh,Nandyal,694.0,2286334,False,Krishnapatnam Port,393.7,1585.1,1741.3,,Road Trucking,0.0,0.0,380.0,5.72
Andhra Pradesh,Palnadu,690.0,3153668,False,Visakhapatnam Port,513.4,2027.7,1806.3,,Conventional Rail,221.3,10.9,380.0,7.89
Andhra Pradesh,Parvathipuram Manyam,683.0,965360,False,Gangavaram Port,149.5,694.5,1212.5,,Road Trucking,0.0,0.0,380.0,2.94
Andhra Pradesh,Prakasam,549.0,2822529,False,Krishnapatnam Port,382.2,1542.6,1716.4,,Road Trucking,0.0,0.0,380.0,5.52
Andhra Pradesh,Sri Potti Sriramulu Nellore,550.0,2529991,False,Krishnapatnam Port,291.9,1212.2,1520.8,,Road Trucking,0.0,0.0,380.0,4.35
Andhra Pradesh,Sri Sathya Sai,695.0,1967670,False,Chennai Port,374.1,1514.7,1698.8,,Road Trucking,0.0,0.0,380.0,5.65
Andhra Pradesh,Srikakulam,542.0,1942334,False,Gangavaram Port,163.6,742.9,1243.0,,Road Trucking,0.0,0.0,380.0,2.7
Andhra Pradesh,Tirupati,692.0,1818614,False,Krishnapatnam Port,94.0,485.9,1067.1,,Road Trucking,0.0,0.0,380.0,1.48
Andhra Pradesh,Visakhapatnam,544.0,466714,False,Gangavaram Port,24.1,230.8,912.3,,Road Trucking,0.0,0.0,380.0,0.66
Andhra Pradesh,Vizianagaram,543.0,2092958,False,Gangavaram Port,89.2,470.4,1080.5,,Road Trucking,0.0,0.0,380.0,1.69
Andhra Pradesh,West Godavari,546.0,1146158,False,Visakhapatnam Port,322.7,1326.4,1587.5,,Road Trucking,0.0,0.0,380.0,4.95
Andhra Pradesh,Y.S.R.,551.0,1954000,False,Krishnapatnam Port,303.4,1253.9,1545.7,,Road Trucking,0.0,0.0,380.0,4.45
Arunachal Pradesh,ANJAW,260.0,18748,False,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,2006.8,7508.7,4446.0,,Conventional Rail,3062.7,40.8,380.0,29.52
