state,district,district_code,pop_2011,is_island,primary_port,primary_port_probability,primary_port_drive_hours,secondary_port,secondary_port_probability,secondary_port_drive_hours,hinterland_category,contestability_index
Andaman and Nicobar Islands,NICOBARS,638.0,35779,False,Paradip Port,19.8,87.64,Deendayal Port (Kandla),13.4,105.87,Highly Contested / Split Hinterland,0.936
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,639.0,105930,False,Paradip Port,20.7,69.9,Deendayal Port (Kandla),13.0,88.13,Highly Contested / Split Hinterland,0.924
Andaman and Nicobar Islands,SOUTH ANDAMANS,640.0,238872,False,Paradip Port,20.3,77.48,Deendayal Port (Kandla),13.2,95.7,Highly Contested / Split Hinterland,0.93
Andhra Pradesh,Alluri Sitarama Raju,684.0,3661007,False,Visakhapatnam Port,59.8,3.68,Paradip Port,11.2,13.69,Dominant / Mildly Contested,0.515
Andhra Pradesh,Anakapalli,685.0,1552458,False,Visakhapatnam Port,88.7,1.26,Paradip Port,3.6,11.9,Captive Hinterland,0.149
Andhra Pradesh,Ananthapuramu,553.0,2233808,False,Chennai Port,20.5,6.29,Kamarajar Port (Ennore),17.9,6.4,Highly Contested / Split Hinterland,0.974
Andhra Pradesh,Annamayya,693.0,1458898,False,Chennai Port,30.4,4.17,Kamarajar Port (Ennore),26.1,4.29,Highly Contested / Split Hinterland,0.956
Andhra Pradesh,Bapatla,691.0,1792828,False,Visakhapatnam Port,35.9,7.17,Paradip Port,13.1,17.81,Highly Contested / Split Hinterland,0.773
Andhra Pradesh,Chittoor,554.0,1900506,False,Chennai Port,36.5,3.08,Kamarajar Port (Ennore),30.7,3.2,Highly Contested / Split Hinterland,0.943
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,687.0,1172319,False,Visakhapatnam Port,52.6,4.15,Paradip Port,10.6,14.79,Dominant / Mildly Contested,0.58
Andhra Pradesh,East Godavari,545.0,1694071,False,Visakhapatnam Port,61.6,3.18,Paradip Port,9.0,13.82,Dominant / Mildly Contested,0.474
Andhra Pradesh,Eluru,688.0,2533959,False,Visakhapatnam Port,50.0,4.54,Paradip Port,11.2,15.18,Dominant / Mildly Contested,0.612
Andhra Pradesh,Guntur,548.0,1074025,False,Visakhapatnam Port,32.9,5.99,Chennai Port,13.9,8.22,Highly Contested / Split Hinterland,0.811
Andhra Pradesh,Kakinada,686.0,1514240,False,Visakhapatnam Port,45.6,5.28,Paradip Port,12.1,15.92,Highly Contested / Split Hinterland,0.666
Andhra Pradesh,Krishna,547.0,2035649,False,Visakhapatnam Port,38.5,6.2,Paradip Port,12.2,16.84,Highly Contested / Split Hinterland,0.737
Andhra Pradesh,Kurnool,552.0,1866517,False,Chennai Port,15.3,8.94,Jawaharlal Nehru Port (JNPT),14.4,11.76,Highly Contested / Split Hinterland,0.99
