village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Ponchavadi,SOUTH GOA,586,626864,village,SANVERDAM CHUCH,4.61,ICD Mangalore (Panambur),274.3,Mormugao Port,33.29,Mangaluru International Airport (IXE),271.31,Rupaidiha ICP,1596.31
Conxem,SOUTH GOA,586,626862,village,CHANDAR,9.48,ICD Mangalore (Panambur),280.16,Mormugao Port,30.34,Mangaluru International Airport (IXE),277.15,Rupaidiha ICP,1591.61
Shiroda,SOUTH GOA,586,626863,village,CHANDAR,7.09,ICD Mangalore (Panambur),278.91,Mormugao Port,28.57,Mangaluru International Airport (IXE),275.96,Rupaidiha ICP,1594.58
Borim,SOUTH GOA,586,626872,village,CHANDAR,10.91,ICD Mangalore (Panambur),283.04,Mormugao Port,24.66,Mangaluru International Airport (IXE),280.13,Rupaidiha ICP,1592.92
Nirancal,SOUTH GOA,586,626861,village,CHANDAR,10.53,ICD Mangalore (Panambur),280.82,Mormugao Port,30.78,Mangaluru International Airport (IXE),277.8,Rupaidiha ICP,1590.51
Vadi,SOUTH GOA,586,626858,village,VERNA,8.15,ICD Mangalore (Panambur),285.5,Mormugao Port,21.1,Mangaluru International Airport (IXE),282.64,Rupaidiha ICP,1593.04
Telaulim,SOUTH GOA,586,626857,village,VERNA,7.88,ICD Mangalore (Panambur),286.47,Mormugao Port,20.38,Mangaluru International Airport (IXE),283.62,Rupaidiha ICP,1592.54
Durbhat,SOUTH GOA,586,626856,village,VERNA,6.41,ICD Mangalore (Panambur),287.27,Mormugao Port,18.62,Mangaluru International Airport (IXE),284.45,Rupaidiha ICP,1593.1
Betora,SOUTH GOA,586,626859,village,CHANDAR,13.1,ICD Mangalore (Panambur),284.98,Mormugao Port,25.78,Mangaluru International Airport (IXE),282.02,Rupaidiha ICP,1589.88
Codar,SOUTH GOA,586,626860,village,CHANDAR,14.34,ICD Mangalore (Panambur),285.27,Mormugao Port,28.62,Mangaluru International Airport (IXE),282.25,Rupaidiha ICP,1587.44
Ponda(M CI),SOUTH GOA,586,252082,village,VERNA,11.52,ICD Mangalore (Panambur),287.61,Mormugao Port,23.07,Mangaluru International Airport (IXE),284.69,Rupaidiha ICP,1589.24
Bandora,SOUTH GOA,586,626869,village,VERNA,9.25,ICD Mangalore (Panambur),289.21,Mormugao Port,19.93,Mangaluru International Airport (IXE),286.34,Rupaidiha ICP,1590.03
