village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
SUNDAN,ANAND,482.0,516944,village,VASAD JN,3.29,ICD Sabarmati,81.2,Dahej Port,95.67,Sardar Vallabhbhai Patel International Airport (AMD),79.01,Attari ICP,954.58
VASAD,ANAND,482.0,516943,village,VASAD JN,0.65,ICD Sabarmati,82.68,Dahej Port,98.12,Sardar Vallabhbhai Patel International Airport (AMD),80.36,Attari ICP,953.42
NAPAD VANTO,ANAND,482.0,516938,village,VADOD,5.28,ICD Sabarmati,77.02,Dahej Port,95.24,Sardar Vallabhbhai Patel International Airport (AMD),74.96,Attari ICP,953.18
ANKLAVDI,ANAND,482.0,516941,village,VASAD JN,3.17,ICD Sabarmati,81.37,Dahej Port,100.6,Sardar Vallabhbhai Patel International Airport (AMD),78.96,Attari ICP,950.97
NAPAD TALPAD,ANAND,482.0,516939,village,VADOD,4.84,ICD Sabarmati,75.26,Dahej Port,95.9,Sardar Vallabhbhai Patel International Airport (AMD),73.22,Attari ICP,952.02
KHANDHALI,ANAND,482.0,516937,village,Petlad Junction,5.58,ICD Sabarmati,72.49,Dahej Port,95.21,Sardar Vallabhbhai Patel International Airport (AMD),70.58,Attari ICP,951.54
MEGHVA GANA,ANAND,482.0,516925,village,Petlad Junction,5.89,ICD Sabarmati,71.0,Dahej Port,94.07,Sardar Vallabhbhai Patel International Airport (AMD),69.23,Attari ICP,951.91
ADAS,ANAND,482.0,516940,village,ADAS ROAD,0.47,ICD Sabarmati,78.91,Dahej Port,98.89,Sardar Vallabhbhai Patel International Airport (AMD),76.62,Attari ICP,951.21
VANS KHILIYA,ANAND,482.0,516927,village,Petlad Junction,4.58,ICD Sabarmati,71.42,Dahej Port,95.88,Sardar Vallabhbhai Patel International Airport (AMD),69.51,Attari ICP,950.66
GANA,ANAND,482.0,516926,village,Petlad Junction,4.24,ICD Sabarmati,69.94,Dahej Port,95.72,Sardar Vallabhbhai Patel International Airport (AMD),68.1,Attari ICP,950.31
NAVLI,ANAND,482.0,516936,village,VADOD,5.16,ICD Sabarmati,72.89,Dahej Port,96.89,Sardar Vallabhbhai Patel International Airport (AMD),70.87,Attari ICP,950.4
JAKHARIYA,ANAND,482.0,516935,village,VADOD,2.88,ICD Sabarmati,73.15,Dahej Port,98.74,Sardar Vallabhbhai Patel International Airport (AMD),71.01,Attari ICP,949.08
VADOD,ANAND,482.0,516934,village,VADOD,1.03,ICD Sabarmati,75.35,Dahej Port,100.06,Sardar Vallabhbhai Patel International Airport (AMD),73.07,Attari ICP,948.88
VAHERAKHADI,ANAND,482.0,516932,village,ADAS ROAD,4.48,ICD Sabarmati,78.87,Dahej Port,103.28,Sardar Vallabhbhai Patel International Airport (AMD),76.38,Attari ICP,947.82
RAMNAGAR,ANAND,482.0,516933,village,ADAS ROAD,3.21,ICD Sabarmati,76.78,Dahej Port,102.42,Sardar Vallabhbhai Patel International Airport (AMD),74.36,Attari ICP,947.62
KHERDA,ANAND,482.0,516931,village,ADAS ROAD,8.21,ICD Sabarmati,79.9,Dahej Port,106.42,Sardar Vallabhbhai Patel International Airport (AMD),77.26,Attari ICP,945.82
SANDESAR,ANAND,482.0,516924,village,BHATIEL,5.89,ICD Sabarmati,67.56,Dahej Port,94.9,Sardar Vallabhbhai Patel International Airport (AMD),65.89,Attari ICP,950.23
JITODIYA (PART),ANAND,482.0,516928,village,Petlad Junction,3.53,ICD Sabarmati,70.81,Dahej Port,98.72,Sardar Vallabhbhai Patel International Airport (AMD),68.74,Attari ICP,948.27
GOPALPURA,ANAND,482.0,516929,village,VADOD,1.64,ICD Sabarmati,72.68,Dahej Port,101.32,Sardar Vallabhbhai Patel International Airport (AMD),70.4,Attari ICP,946.9
HADGOOD,ANAND,482.0,516946,village,VADOD,2.89,ICD Sabarmati,71.63,Dahej Port,100.81,Sardar Vallabhbhai Patel International Airport (AMD),69.42,Attari ICP,946.92
MOGAR,ANAND,482.0,516930,village,VADOD,2.16,ICD Sabarmati,73.91,Dahej Port,102.61,Sardar Vallabhbhai Patel International Airport (AMD),71.54,Attari ICP,946.35
