district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,census2011_population
AMBALA,487,11.65,12.88,45.17453798767967,88.50102669404517,100.0,71.5,71.75,0.0,0.0,0.0,1029.14,1030.01,0.0,0.0,0.0,194.61,195.46,0.0,0.0,0.0,239.62,236.87,0.0,0.0,0.0,1128350.0
BHIWANI,270,9.455,10.86,52.22222222222223,98.88888888888889,100.0,99.025,99.93,0.0,0.0,0.0,829.0899999999999,830.69,0.0,0.0,0.0,122.345,120.43,0.0,0.0,0.0,287.62,286.59,0.0,0.0,0.0,1634445.0
CHARKI DADRI,172,11.165,11.11,42.44186046511628,100.0,100.0,68.96,68.91,0.0,0.0,0.5813953488372093,825.895,827.74,0.0,0.0,0.0,90.975,92.32,0.0,0.0,0.0,313.21500000000003,313.92,0.0,0.0,0.0,
FARIDABAD,189,7.57,8.01,64.55026455026454,100.0,100.0,10.0,9.96,50.264550264550266,100.0,100.0,867.09,866.52,0.0,0.0,0.0,33.85,33.96,0.0,13.756613756613756,99.47089947089947,370.45,371.5,0.0,0.0,0.0,1809733.0
FATEHABAD,244,14.49,14.12,37.295081967213115,88.11475409836066,100.0,140.38,143.23,0.0,0.0,0.0,892.97,889.36,0.0,0.0,0.0,184.13,184.19,0.0,0.0,0.0,189.89,190.14,0.0,0.0,0.0,942011.0
GURUGRAM,287,6.66,8.26,66.55052264808361,100.0,100.0,16.21,15.85,22.99651567944251,90.59233449477352,100.0,845.26,844.05,0.0,0.0,0.0,31.57,30.41,3.8327526132404177,32.05574912891986,98.95470383275261,371.46,372.93,0.0,0.0,0.0,
HISAR,267,8.92,9.36,58.052434456928836,100.0,100.0,135.8,136.63,0.0,0.0,0.0,869.62,868.08,0.0,0.0,0.0,141.84,142.06,0.0,0.0,0.0,239.73,239.04,0.0,0.0,0.0,1743931.0
JHAJJAR,263,11.3,11.35,43.346007604562736,100.0,100.0,35.33,35.4,0.0,18.250950570342205,91.25475285171103,852.16,852.49,0.0,0.0,0.0,44.77,44.91,0.0,6.844106463878327,61.59695817490495,338.21,337.47,0.0,0.0,0.0,958405.0
JIND,305,5.34,6.25,83.60655737704919,100.0,100.0,111.59,113.94,0.0,0.0,0.0,914.96,914.99,0.0,0.0,0.0,113.84,119.98,0.0,0.0,0.0,253.06,247.46,0.0,0.0,0.0,1334152.0
KAITHAL,278,14.245000000000001,14.58,35.61151079136691,85.25179856115108,100.0,121.02000000000001,118.59,0.0,0.0,0.0,958.0150000000001,957.06,0.0,0.0,0.0,154.735,157.44,0.0,0.0,0.0,217.88,218.7,0.0,0.0,0.0,1074304.0
KARNAL,430,10.57,11.19,46.51162790697674,99.06976744186046,100.0,113.41499999999999,110.24,0.0,0.0,0.0,976.62,975.31,0.0,0.0,0.0,130.38,129.92,0.0,0.0,0.0,269.195,269.02,0.0,0.0,0.0,1505324.0
KURUKSHETRA,418,8.435,9.33,58.133971291866025,99.76076555023924,100.0,101.82,100.78,0.0,0.0,0.0,1000.705,999.03,0.0,0.0,0.0,165.405,165.7,0.0,0.0,0.0,241.145,240.65,0.0,0.0,0.0,964655.0
MAHENDRAGARH,360,6.415,7.24,78.05555555555556,100.0,100.0,47.47,47.14,0.0,0.8333333333333334,62.5,786.5450000000001,785.26,0.0,0.0,0.0,104.58,103.72,0.0,0.0,0.0,356.405,356.22,0.0,0.0,0.0,922088.0
