village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
FATEHPURI PIPA,REWARI,85,62609,village,REWARI,7.71,Farukh Nagar,33.62,Dahej Port,815.9,ICD Bawal,14.79,Attari ICP,375.83,Indira Gandhi International Airport (DEL),56.76,MMLP Sangrur,237.91,Varanasi Multi-Modal Terminal,688.55,FCI Depot Delhi (NCR),68.68
AMBOLI,JHAJJAR,83,61918,village,Kosli,5.0,Farukh Nagar,31.53,Dahej Port,831.33,ICD Bawal,40.52,Attari ICP,342.52,Indira Gandhi International Airport (DEL),58.85,MMLP Sangrur,205.53,Varanasi Multi-Modal Terminal,716.99,FCI Depot Delhi (NCR),70.53
MAHABATPUR,FARIDABAD,88,63464,village,FARIDABAD,10.1,Palwal,32.15,Dahej Port,876.97,ICD Ballabhgarh,13.84,Rupaidiha ICP,366.61,Indira Gandhi International Airport (DEL),32.08,MMLP Sangrur,246.37,Varanasi Multi-Modal Terminal,640.59,FCI Depot Delhi (NCR),26.76
MAYAR,HISAR,80,61019,village,Mayar,0.29,Bhattu,58.88,Deendayal Port (Kandla),861.08,ICD Garhi Harsaru,126.8,Attari ICP,249.54,Indira Gandhi International Airport (DEL),132.94,MMLP Sangrur,123.86,Varanasi Multi-Modal Terminal,805.11,FCI FSD Safidon,83.05
GAGARWAS,MAHENDRAGARH,84,62068,village,Bojawas,5.63,Farukh Nagar,62.33,Dahej Port,801.72,ICD Bawal,41.07,Attari ICP,346.16,Indira Gandhi International Airport (DEL),90.21,MMLP Sangrur,217.72,Varanasi Multi-Modal Terminal,733.04,FCI Depot Delhi (NCR),102.26
Sheo Ramnathpura,MAHENDRAGARH,84,62272,village,Amarpur Jorasi,8.35,Farukh Nagar,85.92,Dahej Port,769.09,ICD Bawal,45.29,Attari ICP,372.59,Indira Gandhi International Airport (DEL),112.69,MMLP Sangrur,249.01,Varanasi Multi-Modal Terminal,727.52,FCI Depot Jaipur,119.95
PITHANWAS,REWARI,85,62651,village,KARNAWAS,8.96,Farukh Nagar,39.03,Dahej Port,810.84,ICD Bawal,10.66,Attari ICP,380.49,Indira Gandhi International Airport (DEL),61.2,MMLP Sangrur,243.15,Varanasi Multi-Modal Terminal,686.46,FCI Depot Delhi (NCR),72.94
LADHAUT,ROHTAK,82,61669,village,MAKRAULI,2.81,Lahli,21.77,Dahej Port,885.25,ICD Garhi Harsaru,61.18,Attari ICP,307.12,Indira Gandhi International Airport (DEL),59.54,MMLP Sangrur,161.74,Varanasi Multi-Modal Terminal,730.41,FCI FSD Safidon,52.08
RAMBAS,CHARKI DADRI,81,61393,village,Nangal Degrota,14.06,Lahli,52.39,Dahej Port,817.66,ICD Bawal,66.76,Attari ICP,317.99,Indira Gandhi International Airport (DEL),98.2,MMLP Sangrur,191.3,Varanasi Multi-Modal Terminal,755.78,FCI Depot Delhi (NCR),109.22
DHANURWAS,JHAJJAR,83,61922,village,Sudharana,2.63,Farukh Nagar,37.0,Dahej Port,831.3,ICD Bawal,44.9,Attari ICP,337.05,Indira Gandhi International Airport (DEL),63.79,MMLP Sangrur,201.01,Varanasi Multi-Modal Terminal,723.32,FCI Depot Delhi (NCR),75.22
NAYAGAON,REWARI,85,62555,village,KUMBHAWAS MUNDA,3.46,Farukh Nagar,31.03,Dahej Port,818.54,ICD Bawal,18.33,Attari ICP,367.26,Indira Gandhi International Airport (DEL),56.81,MMLP Sangrur,229.86,Varanasi Multi-Modal Terminal,696.58,FCI Depot Delhi (NCR),69.0
ROOPGARH,BHIWANI,81,61185,village,Dhana Ladanpur,7.88,Lahli,36.46,Dahej Port,838.62,ICD Bawal,81.74,Attari ICP,299.62,Indira Gandhi International Airport (DEL),96.49,MMLP Sangrur,169.82,Varanasi Multi-Modal Terminal,763.27,FCI FSD Safidon,93.77
JALALPUR,GURUGRAM,86,62940,village,PIYALA BLOCK HUT,19.0,Palwal,25.35,Dahej Port,846.81,ICD Ballabhgarh,20.34,Attari ICP,391.26,Indira Gandhi International Airport (DEL),30.44,MMLP Sangrur,246.21,Varanasi Multi-Modal Terminal,655.72,FCI Depot Delhi (NCR),37.63
KHERA RANGHARAN,HISAR,80,61106,village,JAI JAI WANTI,10.26,Lahli,36.12,Dahej Port,889.09,ICD Garhi Harsaru,101.17,Attari ICP,266.22,Indira Gandhi International Airport (DEL),102.69,MMLP Sangrur,125.73,Varanasi Multi-Modal Terminal,774.1,FCI FSD Safidon,47.27
Muthra,CHARKI DADRI,81,61550,village,Sohansra,10.54,Lahli,65.26,Dahej Port,810.24,ICD Bawal,80.61,Attari ICP,310.55,Indira Gandhi International Airport (DEL),115.67,MMLP Sangrur,189.85,Varanasi Multi-Modal Terminal,771.66,FCI FSD Safidon,123.23
Thanwas,MAHENDRAGARH,84,62326,village,Nizampur,19.81,Farukh Nagar,94.67,Dahej Port,757.19,ICD Bawal,49.82,Attari ICP,386.45,Jaipur International Airport (JAI),115.1,MMLP Sangrur,263.48,Varanasi Multi-Modal Terminal,720.87,FCI Depot Jaipur,106.72
GINDOKHAR,REWARI,85,62527,village,Kishangarh Balawas,1.69,Farukh Nagar,34.16,Dahej Port,816.27,ICD Bawal,18.32,Attari ICP,364.46,Indira Gandhi International Airport (DEL),60.7,MMLP Sangrur,228.02,Varanasi Multi-Modal Terminal,701.18,FCI Depot Delhi (NCR),72.93
DHANI SOTHANI,REWARI,85,62673,village,KARNAWAS,1.48,Farukh Nagar,44.74,Dahej Port,804.53,ICD Bawal,4.15,Attari ICP,377.14,Indira Gandhi International Airport (DEL),68.92,MMLP Sangrur,241.8,Varanasi Multi-Modal Terminal,694.34,FCI Depot Delhi (NCR),80.9
