district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,toll_plaza_median_km,toll_plaza_mean_km,toll_plaza_within_10km_pct,toll_plaza_within_25km_pct,toll_plaza_within_50km_pct,census2011_population
BILASPUR,24,5.51,4.97,100.0,100.0,100.0,144.055,143.8,0.0,0.0,0.0,29.310000000000002,28.18,4.166666666666666,29.166666666666668,100.0,80.91,78.7,0.0,0.0,0.0,1109.6,1108.32,0.0,0.0,0.0,46.19499999999999,45.45,0.0,0.0,70.83333333333334,181.625,179.12,0.0,0.0,0.0,192.545,189.38,0.0,0.0,0.0,153.055,151.79,0.0,0.0,0.0,888.635,890.08,0.0,0.0,0.0,102.47999999999999,100.47,0.0,0.0,0.0,24.814999999999998,23.4,4.166666666666666,50.0,100.0,379805.0
CHAMBA,4071,9.18,12.32,54.3355440923606,87.07934168508966,96.7575534266765,200.5,200.85,0.0,0.0,0.0,45.03,45.92,0.0,13.927781871775977,64.67698354212725,89.25,89.97,0.0,0.0,0.0,1190.95,1191.21,0.0,0.0,0.0,186.58,187.33,0.0,0.0,0.0,128.54,129.57,0.0,0.0,0.0,161.82,160.99,0.0,0.0,0.0,121.73,124.25,0.0,0.0,0.0,1029.12,1029.0,0.0,0.0,0.0,121.73,124.21,0.0,0.0,0.0,47.55,48.84,0.0,2.824858757062147,56.96389093588798,518525.0
HAMIRPUR,14,2.7,4.45,78.57142857142857,100.0,100.0,172.94,174.21,0.0,0.0,0.0,29.925,28.81,0.0,35.714285714285715,100.0,49.525000000000006,49.74,0.0,0.0,57.14285714285714,1123.25,1121.57,0.0,0.0,0.0,76.78999999999999,78.77,0.0,0.0,0.0,151.24,150.26,0.0,0.0,0.0,165.89499999999998,165.47,0.0,0.0,0.0,170.555,168.12,0.0,0.0,0.0,924.4300000000001,926.44,0.0,0.0,0.0,106.67500000000001,105.3,0.0,0.0,0.0,44.650000000000006,43.09,0.0,0.0,85.71428571428571,452435.0
KANGRA,1328,3.1550000000000002,3.83,94.95481927710844,99.84939759036145,100.0,222.98,223.15,0.0,0.0,0.0,5.83,7.86,74.09638554216868,98.04216867469879,100.0,58.230000000000004,56.05,0.0,4.216867469879518,25.451807228915662,1158.005,1155.87,0.0,0.0,0.0,127.93,130.58,0.0,0.0,0.0,130.865,132.5,0.0,0.0,0.0,155.92,157.44,0.0,0.0,0.0,160.45499999999998,160.43,0.0,0.0,0.0,970.325,972.79,0.0,0.0,0.0,141.39,139.18,0.0,0.0,0.0,18.38,19.21,17.996987951807228,72.59036144578313,100.0,1514722.0
KINNAUR,332,3.05,4.98,83.73493975903614,99.3975903614458,100.0,146.75,149.69,0.0,0.0,0.0,116.515,119.01,0.0,0.0,0.0,211.59,210.57,0.0,0.0,0.0,1209.645,1214.46,0.0,0.0,0.0,154.615,157.28,0.0,0.0,0.0,305.935,301.36,0.0,0.0,0.0,328.32500000000005,327.03,0.0,0.0,0.0,270.385,274.35,0.0,0.0,0.0,820.11,820.47,0.0,0.0,0.0,140.395,143.02,0.0,0.0,0.0,106.155,104.84,0.0,0.0,0.0,84562.0
KULLU,2144,3.68,4.81,88.57276119402985,99.34701492537313,100.0,160.58,168.34,0.0,0.0,0.0,47.83,47.48,0.0,2.9850746268656714,57.13619402985075,124.54,124.96,0.0,0.0,0.0,1168.81,1170.15,0.0,0.0,0.0,95.905,99.74,0.0,0.0,0.0,224.68,223.14,0.0,0.0,0.0,240.97,240.75,0.0,0.0,0.0,214.015,213.38,0.0,0.0,0.0,875.0,881.71,0.0,0.0,0.0,156.585,153.65,0.0,0.0,0.0,26.825000000000003,28.41,25.0,48.600746268656714,81.90298507462687,437946.0
LAHUL & SPITI,243,9.22,13.25,50.617283950617285,73.25102880658436,100.0,230.43,231.4,0.0,0.0,0.0,71.77,86.56,0.0,0.0,0.0,130.34,149.47,0.0,0.0,0.0,1229.21,1236.94,0.0,0.0,0.0,185.42,185.48,0.0,0.0,0.0,194.41,211.49,0.0,0.0,0.0,224.25,247.16,0.0,0.0,0.0,197.22,218.71,0.0,0.0,0.0,979.99,960.05,0.0,0.0,0.0,189.61,191.3,0.0,0.0,0.0,65.83,71.58,0.0,0.0,5.349794238683128,31725.0
MANDI,4280,7.05,8.07,66.09813084112149,100.0,100.0,164.15,167.67,0.0,0.0,0.0,35.62,33.75,6.565420560747663,25.63084112149533,90.14018691588785,97.24,97.34,0.0,0.0,0.0,1144.25,1144.34,0.0,0.0,0.0,73.705,76.6,0.0,0.0,5.771028037383178,198.135,197.17,0.0,0.0,0.0,212.965,212.73,0.0,0.0,0.0,188.415,187.69,0.0,0.0,0.0,888.39,891.41,0.0,0.0,0.0,136.615,136.28,0.0,0.0,0.0,33.53,32.38,3.2710280373831773,27.149532710280372,95.8644859813084,1003341.0
SHIMLA,4222,5.15,6.54,77.90146849834201,99.19469445760302,100.0,112.92,111.09,0.0,0.0,0.0,34.875,35.7,9.971577451444812,34.6991946944576,74.13548081477973,145.3,143.92,0.0,0.0,0.0,1128.2849999999999,1132.48,0.0,0.0,0.0,71.105,70.94,0.0,0.0,19.54050213169114,251.42,250.08,0.0,0.0,0.0,259.57,257.93,0.0,0.0,0.0,184.14,186.07,0.0,0.0,0.0,831.515,828.97,0.0,0.0,0.0,108.045,106.36,0.0,0.0,0.0,53.175,52.72,0.0,3.055423969682615,43.439128375177646,814670.0
SIRMAUR,1479,9.25,9.64,52.197430696416504,99.72954699121027,100.0,62.18,67.24,0.0,0.0,17.647058823529413,44.74,39.69,0.0,21.771467207572684,71.06152805949965,149.53,146.39,0.0,0.0,0.0,1097.16,1096.85,0.0,0.0,0.0,79.43,75.07,0.0,0.0,7.234617985125085,279.58,274.29,0.0,0.0,0.0,241.91,240.66,0.0,0.0,0.0,169.66,169.57,0.0,0.0,0.0,785.32,790.51,0.0,0.0,0.0,61.02,66.19,0.0,0.0,19.675456389452332,31.31,30.82,0.2028397565922921,22.44759972954699,100.0,532571.0
