village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km,nearest_toll_plaza,dist_toll_plaza_km
Rajban,SIRMAUR,32.0,245770366,village,707,0.12,Delhi-Dehradun Expressway,41.33,DEHRADUN,41.99,Naultha,150.08,Dahej Port,1083.01,ICD Baddi,95.32,Attari ICP,295.81,Indira Gandhi International Airport (DEL),220.76,MMLP Sangrur,174.72,Varanasi Multi-Modal Terminal,765.08,FCI Depot Dehradun,41.73,DEHRAD@N Toll Plaza,12.61
Nahan,SIRMAUR,32.0,245770418,village,907A,0.28,Delhi-Dehradun Expressway,70.63,Barog,41.26,Sanehwal,127.84,Deendayal Port (Kandla),1070.66,ICD Baddi,64.59,Attari ICP,261.02,Indira Gandhi International Airport (DEL),219.63,MMLP Sangrur,141.75,Varanasi Multi-Modal Terminal,792.56,FCI Depot Dehradun,75.03,PANCHKULA Toll Plaza,32.99
Kedi,SHIMLA,33.0,245770944,village,707,8.47,Delhi-Dehradun Expressway,74.94,Salogra,50.98,Sanehwal,159.61,Dahej Port,1119.38,ICD Baddi,83.25,Kartarpur Sahib ICP,277.46,Indira Gandhi International Airport (DEL),260.72,MMLP Sangrur,186.9,Varanasi Multi-Modal Terminal,794.66,FCI Depot Dehradun,71.67,DEHRAD@N Toll Plaza,52.52
Rajgarh,SIRMAUR,32.0,245771001,village,907A,15.92,Delhi-Dehradun Expressway,91.29,Salogra,18.15,Sanehwal,124.36,Deendayal Port (Kandla),1094.78,ICD Baddi,49.26,Kartarpur Sahib ICP,248.57,Indira Gandhi International Airport (DEL),251.24,MMLP Sangrur,152.92,Varanasi Multi-Modal Terminal,815.04,FCI Depot Dehradun,90.92,SOLAN Toll Plaza,27.75
Chaupal,SHIMLA,33.0,245771041,village,705,16.71,Delhi-Dehradun Expressway,83.8,Salogra,43.51,Sanehwal,152.69,Deendayal Port (Kandla),1121.28,ICD Baddi,75.63,Kartarpur Sahib ICP,268.13,Indira Gandhi International Airport (DEL),265.6,MMLP Sangrur,182.8,Varanasi Multi-Modal Terminal,804.27,FCI Depot Dehradun,80.85,SOLAN Toll Plaza,55.64
Subathu,SOLAN,31.0,245771128,village,5,8.44,Trans Haryana Expressway,105.34,Dharampur Himachal,8.83,Sanehwal,96.6,Deendayal Port (Kandla),1087.02,ICD Baddi,18.94,Kartarpur Sahib ICP,216.69,Sri Guru Ram Dass Jee International Airport (ATQ),221.44,MMLP Sangrur,135.26,Varanasi Multi-Modal Terminal,845.01,FCI Depot Patiala,90.02,SOLAN Toll Plaza,9.45
Theog,SHIMLA,33.0,245771265,village,5,0.03,Delhi-Dehradun Expressway,110.86,Shimla,18.86,Sanehwal,133.81,Deendayal Port (Kandla),1121.28,ICD Baddi,56.46,Kartarpur Sahib ICP,240.44,Sri Guru Ram Dass Jee International Airport (ATQ),249.42,MMLP Sangrur,172.84,Varanasi Multi-Modal Terminal,832.79,FCI Depot Dehradun,108.58,SOLAN Toll Plaza,41.75
Dhalli,SHIMLA,33.0,245771267,village,5,0.04,Delhi-Dehradun Expressway,117.71,Shimla,5.03,Sanehwal,120.12,Deendayal Port (Kandla),1111.5,ICD Baddi,43.06,Kartarpur Sahib ICP,228.46,Sri Guru Ram Dass Jee International Airport (ATQ),236.57,MMLP Sangrur,160.79,Varanasi Multi-Modal Terminal,841.03,FCI Depot Patiala,114.8,SOLAN Toll Plaza,30.8
Arki,SOLAN,31.0,245771358,village,205,3.23,Trans Haryana Expressway,123.38,Jutogh,15.65,Sanehwal,99.38,Deendayal Port (Kandla),1100.88,ICD Baddi,26.89,Kartarpur Sahib ICP,205.48,Sri Guru Ram Dass Jee International Airport (ATQ),212.98,MMLP Sangrur,146.04,Varanasi Multi-Modal Terminal,860.42,FCI Depot Patiala,104.54,SOLAN Toll Plaza,28.91
Ani,KULLU,26.0,245771732,village,305,0.23,Delhi-Dehradun Expressway,130.28,Shimla,36.69,Chintpurni Marg,135.47,Deendayal Port (Kandla),1144.56,ICD Baddi,73.36,Kartarpur Sahib ICP,237.24,Sri Guru Ram Dass Jee International Airport (ATQ),249.81,MMLP Sangrur,192.64,Varanasi Multi-Modal Terminal,847.85,FCI Depot Dehradun,126.94,MANDI Toll Plaza,53.96
