state,district,sub_district,sub_district_code,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Andaman and Nicobar Islands,NICOBARS,CAR NICOBAR,5916,KOTABOMMALI,1379.43,ICD Bhubaneswar,1427.22,Paradip Port,1381.44,Visakhapatnam International Airport (VTZ),1395.92,Zorinpui ICP,1516.15
Andaman and Nicobar Islands,NICOBARS,GREAT NICOBAR,5918,VELANKANNI,1612.84,ICD Chennai (Tondiarpet),1645.4,Karaikal Port,1619.0,Chennai International Airport (MAA),1651.93,Zorinpui ICP,1762.99
Andaman and Nicobar Islands,NICOBARS,NANCOWRY,5917,KOTABOMMALI,1530.54,ICD Chennai (Tondiarpet),1554.36,Gangavaram Port,1536.34,Visakhapatnam International Airport (VTZ),1543.3,Zorinpui ICP,1654.6
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,5919,Paradip,1019.98,ICD Bhubaneswar,1074.72,Paradip Port,1013.39,Biju Patnaik International Airport (BBI),1074.35,Zorinpui ICP,1066.31
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,MAYABUNDER,5920,Paradip,1053.53,ICD Bhubaneswar,1106.02,Paradip Port,1047.14,Biju Patnaik International Airport (BBI),1105.51,Zorinpui ICP,1117.36
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,RANGAT,5921,Paradip,1072.41,ICD Bhubaneswar,1123.32,Paradip Port,1066.16,Biju Patnaik International Airport (BBI),1122.72,Zorinpui ICP,1149.25
Andaman and Nicobar Islands,SOUTH ANDAMANS,FERRARGUNJ,5922,Paradip,1122.27,ICD Bhubaneswar,1170.39,Paradip Port,1116.27,Biju Patnaik International Airport (BBI),1169.63,Zorinpui ICP,1218.16
Andaman and Nicobar Islands,SOUTH ANDAMANS,LITTLE ANDAMAN,5924,Paradip,1222.31,ICD Bhubaneswar,1265.72,Paradip Port,1216.74,Visakhapatnam International Airport (VTZ),1258.86,Zorinpui ICP,1347.56
Andaman and Nicobar Islands,SOUTH ANDAMANS,PORT BLAIR,5923,Paradip,1126.98,ICD Bhubaneswar,1171.83,Paradip Port,1121.29,Biju Patnaik International Airport (BBI),1170.9,Zorinpui ICP,1255.4
Andhra Pradesh,ALLURI SITARAMA RAJU,ADDATEEGALA,4887,DURGADA GATE,44.02,ICD Hyderabad (Sanathnagar),374.67,Visakhapatnam Port,124.81,Visakhapatnam International Airport (VTZ),126.11,Petrapole ICP,925.21
Andhra Pradesh,ALLURI SITARAMA RAJU,ANANTAGIRI,4845,Tyada,8.24,ICD Raipur,362.85,Visakhapatnam Port,58.47,Visakhapatnam International Airport (VTZ),55.37,Petrapole ICP,802.86
Andhra Pradesh,ALLURI SITARAMA RAJU,ARAKU VALLEY,4844,Shimiliaguda,5.13,ICD Raipur,345.77,Visakhapatnam Port,75.59,Visakhapatnam International Airport (VTZ),72.48,Petrapole ICP,797.99
Andhra Pradesh,ALLURI SITARAMA RAJU,CHINTAPALLI,4849,Padua,61.23,ICD Raipur,370.85,Visakhapatnam Port,91.26,Visakhapatnam International Airport (VTZ),90.88,Petrapole ICP,867.8
Andhra Pradesh,ALLURI SITARAMA RAJU,CHINTUR,4732,Aswapuram,59.57,ICD Hyderabad (Sanathnagar),305.17,Visakhapatnam Port,193.86,Visakhapatnam International Airport (VTZ),194.35,Petrapole ICP,960.36
Andhra Pradesh,ALLURI SITARAMA RAJU,DEVIPATNAM,4885,KOVVUR,39.29,ICD Hyderabad (Sanathnagar),336.5,Visakhapatnam Port,165.23,Visakhapatnam International Airport (VTZ),166.67,Petrapole ICP,963.02
Andhra Pradesh,ALLURI SITARAMA RAJU,DUMBRIGUDA,4843,Gorapur,2.84,ICD Raipur,340.28,Visakhapatnam Port,82.64,Visakhapatnam International Airport (VTZ),79.87,Petrapole ICP,806.89
Andhra Pradesh,ALLURI SITARAMA RAJU,G.MADUGULA,4848,Darliput,44.76,ICD Raipur,365.48,Visakhapatnam Port,79.0,Visakhapatnam International Airport (VTZ),77.99,Petrapole ICP,849.04
Andhra Pradesh,ALLURI SITARAMA RAJU,GANGAVARAM,4894,GUDAPARTI,47.24,ICD Hyderabad (Sanathnagar),362.63,Visakhapatnam Port,138.35,Visakhapatnam International Airport (VTZ),139.8,Petrapole ICP,939.75
Andhra Pradesh,ALLURI SITARAMA RAJU,GUDEM KOTHA VEEDHI,4850,TUNI,71.62,ICD Raipur,368.25,Visakhapatnam Port,113.16,Visakhapatnam International Airport (VTZ),113.03,Petrapole ICP,886.05
Andhra Pradesh,ALLURI SITARAMA RAJU,HUKUMPETA,4846,Arakku,23.44,ICD Raipur,361.57,Visakhapatnam Port,63.66,Visakhapatnam International Airport (VTZ),61.32,Petrapole ICP,819.05
Andhra Pradesh,ALLURI SITARAMA RAJU,KOYYURU,4851,TUNI,50.45,ICD Raipur,390.16,Visakhapatnam Port,103.5,Visakhapatnam International Airport (VTZ),104.08,Petrapole ICP,894.53
Andhra Pradesh,ALLURI SITARAMA RAJU,KUNAVARAM,4731,Aswapuram,50.27,ICD Hyderabad (Sanathnagar),291.77,Visakhapatnam Port,206.31,Visakhapatnam International Airport (VTZ),207.02,Petrapole ICP,977.33
Andhra Pradesh,ALLURI SITARAMA RAJU,MAREDUMILLI,4884,KOVVUR,71.37,ICD Hyderabad (Sanathnagar),336.9,Visakhapatnam Port,161.15,Visakhapatnam International Airport (VTZ),161.87,Petrapole ICP,941.84
Andhra Pradesh,ALLURI SITARAMA RAJU,MUNCHINGI PUTTU,4841,Padua,20.25,ICD Raipur,326.03,Visakhapatnam Port,105.97,Visakhapatnam International Airport (VTZ),103.81,Petrapole ICP,826.76
Andhra Pradesh,ALLURI SITARAMA RAJU,PADERU,4847,Gorapur,33.94,ICD Raipur,367.67,Visakhapatnam Port,63.25,Visakhapatnam International Airport (VTZ),61.53,Petrapole ICP,831.06
Andhra Pradesh,ALLURI SITARAMA RAJU,PEDA BAYALU,4842,Padua,28.27,ICD Raipur,342.79,Visakhapatnam Port,94.38,Visakhapatnam International Airport (VTZ),92.65,Petrapole ICP,837.56
Andhra Pradesh,ALLURI SITARAMA RAJU,RAJAVOMMANGI,4888,RAVIKAMPADU,31.22,ICD Hyderabad (Sanathnagar),391.36,Visakhapatnam Port,108.92,Visakhapatnam International Airport (VTZ),110.4,Petrapole ICP,914.54
Andhra Pradesh,ALLURI SITARAMA RAJU,RAMPA CHODAVARAM,4895,GODAVARI,44.67,ICD Hyderabad (Sanathnagar),351.14,Visakhapatnam Port,149.59,Visakhapatnam International Airport (VTZ),150.98,Petrapole ICP,948.3
Andhra Pradesh,ALLURI SITARAMA RAJU,VARARAMACHANDRAPURAM,4733,Aswapuram,68.01,ICD Hyderabad (Sanathnagar),307.46,Visakhapatnam Port,190.58,Visakhapatnam International Airport (VTZ),191.45,Petrapole ICP,969.57
