district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,census2011_population
ANANTNAG,1,15.69,15.69,0.0,100.0,100.0,324.72,324.72,0.0,0.0,0.0,1271.99,1271.99,0.0,0.0,0.0,48.33,48.33,0.0,0.0,100.0,202.71,202.71,0.0,0.0,0.0,1094123.0
BADGAM,1,48.3,48.3,0.0,0.0,100.0,349.77,349.77,0.0,0.0,0.0,1260.06,1260.06,0.0,0.0,0.0,16.55,16.55,0.0,100.0,100.0,214.92,214.92,0.0,0.0,0.0,815408.0
BANDIPURA,1,89.09,89.09,0.0,0.0,0.0,408.61,408.61,0.0,0.0,0.0,1335.56,1335.56,0.0,0.0,0.0,62.54,62.54,0.0,0.0,0.0,281.43,281.43,0.0,0.0,0.0,618195.0
BARAMULA,1,87.44,87.44,0.0,0.0,0.0,387.3,387.3,0.0,0.0,0.0,1278.02,1278.02,0.0,0.0,0.0,47.15,47.15,0.0,0.0,100.0,249.69,249.69,0.0,0.0,0.0,738332.0
DODA,1,47.54,47.54,0.0,0.0,100.0,246.51,246.51,0.0,0.0,0.0,1217.99,1217.99,0.0,0.0,0.0,121.31,121.31,0.0,0.0,0.0,138.61,138.61,0.0,0.0,0.0,451445.0
GANDERBAL,1,58.54,58.54,0.0,0.0,0.0,378.17,378.17,0.0,0.0,0.0,1306.99,1306.99,0.0,0.0,0.0,34.01,34.01,0.0,0.0,100.0,250.45,250.45,0.0,0.0,0.0,341209.0
JAMMU,1,3.04,3.04,100.0,100.0,100.0,222.96,222.96,0.0,0.0,0.0,1154.7,1154.7,0.0,0.0,0.0,117.12,117.12,0.0,0.0,0.0,87.11,87.11,0.0,0.0,0.0,1645043.0
KATHUA,1,21.05,21.05,0.0,100.0,100.0,186.07,186.07,0.0,0.0,0.0,1164.12,1164.12,0.0,0.0,0.0,122.33,122.33,0.0,0.0,0.0,86.96,86.96,0.0,0.0,0.0,707130.0
KISHTWAR,1,72.55,72.55,0.0,0.0,0.0,298.62,298.62,0.0,0.0,0.0,1276.97,1276.97,0.0,0.0,0.0,109.8,109.8,0.0,0.0,0.0,197.57,197.57,0.0,0.0,0.0,264638.0
KULGAM,1,23.22,23.22,0.0,100.0,100.0,312.21,312.21,0.0,0.0,0.0,1240.17,1240.17,0.0,0.0,0.0,41.78,41.78,0.0,0.0,100.0,181.0,181.0,0.0,0.0,0.0,332894.0
