village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
ANANTNAG,ANANTNAG,,14.0,district_centroid,Anantnag,15.69,Samba,141.78,Deendayal Port (Kandla),1271.99,ICD Ludhiana,324.72,Kartarpur Sahib ICP,202.71,Sheikh ul-Alam International Airport (SXR),48.33,MMLP Jammu,124.96,Varanasi Multi-Modal Terminal,1184.97,FCI Depot Jammu,124.96
BADGAM,BADGAM,,2.0,district_centroid,Anantnag,48.3,Samba,158.66,Deendayal Port (Kandla),1260.06,ICD Ludhiana,349.77,Kartarpur Sahib ICP,214.92,Sheikh ul-Alam International Airport (SXR),16.55,MMLP Jammu,131.81,Varanasi Multi-Modal Terminal,1231.13,FCI Depot Jammu,131.81
BANDIPURA,BANDIPURA,,9.0,district_centroid,Anantnag,89.09,Samba,221.8,Deendayal Port (Kandla),1335.56,ICD Ludhiana,408.61,Kartarpur Sahib ICP,281.43,Sheikh ul-Alam International Airport (SXR),62.54,MMLP Jammu,199.6,Varanasi Multi-Modal Terminal,1264.59,FCI Depot Jammu,199.6
BARAMULA,BARAMULA,,8.0,district_centroid,Anantnag,87.44,Samba,195.96,Deendayal Port (Kandla),1278.02,ICD Ludhiana,387.3,Kartarpur Sahib ICP,249.69,Sheikh ul-Alam International Airport (SXR),47.15,MMLP Jammu,167.1,Varanasi Multi-Modal Terminal,1272.06,FCI Depot Jammu,167.1
DODA,DODA,,16.0,district_centroid,UDHAMPUR,47.54,Samba,80.46,Deendayal Port (Kandla),1217.99,ICD Ludhiana,246.51,Kartarpur Sahib ICP,138.61,Sheikh ul-Alam International Airport (SXR),121.31,MMLP Jammu,82.64,Varanasi Multi-Modal Terminal,1107.34,FCI Depot Jammu,82.64
GANDERBAL,GANDERBAL,,11.0,district_centroid,Anantnag,58.54,Samba,190.84,Deendayal Port (Kandla),1306.99,ICD Ludhiana,378.17,Kartarpur Sahib ICP,250.45,Sheikh ul-Alam International Airport (SXR),34.01,MMLP Jammu,168.71,Varanasi Multi-Modal Terminal,1240.02,FCI Depot Jammu,168.71
JAMMU,JAMMU,,21.0,district_centroid,BAJALTA,3.04,Samba,32.38,Deendayal Port (Kandla),1154.7,ICD Ludhiana,222.96,Kartarpur Sahib ICP,87.11,Sri Guru Ram Dass Jee International Airport (ATQ),117.12,MMLP Jammu,7.73,Varanasi Multi-Modal Terminal,1121.3,FCI Depot Jammu,7.73
KATHUA,KATHUA,,7.0,district_centroid,KATHUA,21.05,Samba,45.96,Deendayal Port (Kandla),1164.12,ICD Ludhiana,186.07,Kartarpur Sahib ICP,86.96,Sri Guru Ram Dass Jee International Airport (ATQ),122.33,MMLP Jammu,71.79,Varanasi Multi-Modal Terminal,1061.94,FCI Depot Jammu,71.79
KISHTWAR,KISHTWAR,,18.0,district_centroid,Anantnag,72.55,Samba,139.07,Deendayal Port (Kandla),1276.97,ICD Ludhiana,298.62,Kartarpur Sahib ICP,197.57,Sheikh ul-Alam International Airport (SXR),109.8,MMLP Jammu,136.41,Varanasi Multi-Modal Terminal,1132.01,FCI Depot Jammu,136.41
KULGAM,KULGAM,,15.0,district_centroid,Anantnag,23.22,Samba,122.33,Deendayal Port (Kandla),1240.17,ICD Ludhiana,312.21,Kartarpur Sahib ICP,181.0,Sheikh ul-Alam International Airport (SXR),41.78,MMLP Jammu,98.83,Varanasi Multi-Modal Terminal,1190.99,FCI Depot Jammu,98.83
