district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,census2011_population
BOKARO,675,8.16,8.24,64.14814814814814,100.0,100.0,74.98,76.31,0.0,0.0,1.4814814814814816,263.74,261.45,0.0,0.0,0.0,228.77,224.69,0.0,0.0,0.0,293.6,288.69,0.0,0.0,0.0,2090816.0
CHATRA,1473,43.16,41.36,1.6293279022403258,6.788866259334691,74.6775288526816,105.86,105.73,0.0,0.0,0.47522063815342835,386.37,388.28,0.0,0.0,0.0,146.19,150.42,0.0,0.0,0.0,296.83,300.9,0.0,0.0,0.0,1084321.0
DEOGHAR,2664,7.54,8.39,65.31531531531532,100.0,100.0,174.065,173.65,0.0,0.0,0.0,251.055,250.26,0.0,0.0,0.0,213.51999999999998,212.69,0.0,0.0,0.0,224.07,224.56,0.0,0.0,0.0,1504389.0
DHANBAD,1211,6.38,8.16,67.46490503715937,100.0,100.0,117.2,115.97,0.0,0.0,0.0,238.27,234.82,0.0,0.0,0.0,223.18,222.49,0.0,0.0,0.0,257.16,254.08,0.0,0.0,0.0,2602229.0
DUMKA,2939,12.85,13.98,36.8832936372916,90.57502551888398,100.0,198.15,197.28,0.0,0.0,0.0,224.77,224.71,0.0,0.0,0.0,219.09,215.22,0.0,0.0,0.0,194.07,193.37,0.0,0.0,0.0,1328447.0
Disputed (Jharkhand),1,3.98,3.98,100.0,100.0,100.0,172.1,172.1,0.0,0.0,0.0,299.44,299.44,0.0,0.0,0.0,265.77,265.77,0.0,0.0,0.0,94.18,94.18,0.0,0.0,0.0,
EAST SINGHBHUM,1782,12.184999999999999,11.88,40.79685746352413,98.87766554433222,100.0,48.285,48.81,2.861952861952862,21.32435465768799,51.68350168350169,177.52499999999998,181.02,0.0,0.0,0.0,191.32999999999998,195.81,0.0,0.0,0.0,238.89,243.11,0.0,0.0,0.0,2315456.0
GARHWA,877,9.81,13.19,51.197263397947545,85.5188141391106,100.0,182.65,182.94,0.0,0.0,0.0,492.19,487.3,0.0,0.0,0.0,160.14,163.77,0.0,0.0,0.0,325.0,326.85,0.0,0.0,0.0,1335765.0
GIRIDIH,2732,17.205,19.02,24.30453879941435,68.55783308931186,100.0,133.425,131.45,0.0,0.0,0.0,292.31,291.42,0.0,0.0,0.0,174.49,174.78,0.0,0.0,0.0,250.79,251.42,0.0,0.0,0.0,2438126.0
GODDA,2255,21.59,21.8,8.070953436807095,63.63636363636363,100.0,216.3,215.36,0.0,0.0,0.0,280.71,278.25,0.0,0.0,0.0,232.06,232.5,0.0,0.0,0.0,146.32,147.48,0.0,0.0,0.0,1328453.0
GUMLA,949,31.29,33.52,9.062170706006324,37.09167544783983,77.9768177028451,84.46,85.46,0.0,0.0,2.423603793466807,346.77,346.21,0.0,0.0,0.0,276.88,275.98,0.0,0.0,0.0,411.85,413.59,0.0,0.0,0.0,1037050.0
HAZARIBAGH,1310,20.915,21.63,10.687022900763358,67.02290076335878,100.0,85.875,85.91,0.0,0.0,4.732824427480916,337.575,338.02,0.0,0.0,0.0,166.445,164.64,0.0,0.0,0.0,300.935,304.62,0.0,0.0,0.0,1803408.0
JAMTARA,1164,13.86,14.17,36.25429553264605,89.17525773195877,100.0,146.995,147.89,0.0,0.0,0.0,212.20999999999998,213.33,0.0,0.0,0.0,211.945,209.92,0.0,0.0,0.0,218.54500000000002,220.76,0.0,0.0,0.0,822471.0
KHUNTI,758,16.82,17.64,30.474934036939317,69.65699208443272,100.0,41.275,40.97,0.0,14.907651715039577,76.51715039577837,292.745,293.74,0.0,0.0,0.0,279.945,278.46,0.0,0.0,0.0,362.445,360.93,0.0,0.0,0.0,553017.0
KODERMA,701,8.98,12.85,53.067047075606276,81.59771754636233,100.0,117.97,118.8,0.0,0.0,0.0,339.69,338.28,0.0,0.0,0.0,137.09,134.93,0.0,0.0,0.0,263.07,258.12,0.0,0.0,0.0,462179.0
LATEHAR,795,12.55,15.84,41.76100628930818,78.74213836477988,99.37106918238993,97.96,98.53,0.0,0.0,0.37735849056603776,401.27,400.98,0.0,0.0,0.0,209.74,212.53,0.0,0.0,0.0,354.65,357.51,0.0,0.0,0.0,729952.0
LOHARDAGA,354,8.774999999999999,9.41,59.03954802259888,99.43502824858757,100.0,65.75,65.78,0.0,0.0,16.101694915254235,366.11,367.0,0.0,0.0,0.0,235.3,234.49,0.0,0.0,0.0,384.255,383.53,0.0,0.0,0.0,466683.0
PAKUR,1251,15.2,16.5,31.894484412470025,76.49880095923261,100.0,233.12,232.84,0.0,0.0,0.0,231.05,229.36,0.0,0.0,0.0,223.57,222.24,0.0,0.0,0.0,146.94,147.51,0.0,0.0,0.0,898934.0
PALAMU,1848,14.97,16.82,34.36147186147186,75.21645021645021,100.0,148.45,145.76,0.0,0.0,0.0,453.34000000000003,453.39,0.0,0.0,0.0,172.185,171.09,0.0,0.0,0.0,310.79,308.06,0.0,0.0,0.0,1948229.0
RAMGARH,314,4.975,5.46,91.71974522292994,100.0,100.0,41.35,41.79,0.0,1.2738853503184715,78.98089171974523,298.925,300.47,0.0,0.0,0.0,221.8,220.04,0.0,0.0,0.0,328.52,330.83,0.0,0.0,0.0,978312.0
RANCHI,1334,9.92,10.71,50.37481259370315,95.50224887556223,100.0,31.915,31.59,4.122938530734633,33.65817091454273,90.70464767616193,309.02,306.44,0.0,0.0,0.0,248.525,248.13,0.0,0.0,0.0,349.39,348.54,0.0,0.0,0.0,2918767.0
SAHIBGANJ,1817,6.1,8.78,67.03357182168409,94.11117226197028,100.0,203.35,201.98,0.0,0.0,0.0,271.94,273.22,0.0,0.0,0.0,252.19,253.2,0.0,0.0,0.0,115.89,116.49,0.0,0.0,0.0,1142180.0
