district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,census2011_population
Bagalkote,643,22.41,23.72,21.77293934681182,55.36547433903577,98.4447900466563,301.68,300.4,0.0,0.0,0.0,215.87,218.79,0.0,0.0,0.0,294.41,294.01,0.0,0.0,0.0,1439.26,1439.78,0.0,0.0,0.0,1893171.0
Ballari,327,16.6,17.49,29.357798165137616,72.78287461773701,100.0,256.42,257.87,0.0,0.0,0.0,324.27,319.9,0.0,0.0,0.0,237.29,238.78,0.0,0.0,0.0,1489.69,1488.59,0.0,0.0,0.0,1234167.0
Belagavi,1325,16.9,19.11,29.886792452830193,68.37735849056604,99.77358490566037,289.62,281.24,0.0,0.0,0.0,126.78,128.68,0.0,0.0,0.07547169811320754,290.14,282.74,0.0,0.0,0.0,1492.05,1491.76,0.0,0.0,0.0,4800550.0
Bengaluru Rural,1093,7.17,8.28,68.80146386093321,100.0,100.0,37.22,37.46,0.0,4.025617566331198,93.59560841720037,273.87,275.14,0.0,0.0,0.0,25.31,26.59,10.612991765782251,48.58188472095151,96.52333028362305,1587.7,1591.74,0.0,0.0,0.0,977885.0
Bengaluru Urban,577,5.62,6.4,83.70883882149047,100.0,100.0,21.87,22.13,0.17331022530329288,73.48353552859619,100.0,283.05,283.32,0.0,0.0,0.0,37.8,34.42,6.5857885615251295,29.98266897746967,86.30849220103987,1612.54,1612.19,0.0,0.0,0.0,9587834.0
Bidar,677,17.0,19.7,28.360413589364846,68.24224519940915,99.55686853766618,140.77,141.38,0.0,0.0,0.0,454.93,452.78,0.0,0.0,0.0,149.81,149.17,0.0,0.0,0.0,1198.6,1199.42,0.0,0.0,0.0,1703747.0
Chamarajanagar,510,21.03,22.92,16.470588235294116,59.80392156862745,96.07843137254902,97.96000000000001,97.1,0.0,0.0,0.0,230.015,232.21,0.0,0.0,0.0,128.675,127.99,0.0,0.0,0.0,1746.76,1743.45,0.0,0.0,0.0,1018520.0
Chikkaballapura,1664,12.31,14.27,40.50480769230769,83.59375,100.0,73.275,73.35,0.0,0.0,6.730769230769231,256.84000000000003,256.79,0.0,0.0,0.0,47.595,47.19,0.0,8.774038461538462,56.79086538461539,1546.06,1545.67,0.0,0.0,0.0,1258440.0
Chikkamagaluru,1169,12.03,17.41,43.28485885372113,75.19247219846022,94.9529512403764,127.28,121.14,0.0,0.0,0.0,128.53,122.87,0.0,0.0,0.0,121.19,115.45,0.0,0.0,0.3421727972626176,1705.58,1709.71,0.0,0.0,0.0,1141674.0
Chitradurga,1228,13.135,16.44,39.57654723127036,76.62866449511401,99.2671009771987,179.74,180.19,0.0,0.0,0.0,215.18,221.29,0.0,0.0,0.0,172.585,172.44,0.0,0.0,0.0,1616.5900000000001,1612.19,0.0,0.0,0.0,1664012.0
