village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
Begar,Chikkamagaluru,570,608916,village,169A,9.15,Bangalore-Mysore Road,203.85,BARKUR,46.55,New Makardhokda,74.45,New Mangalore Port,74.45,ICD Mangalore (Panambur),73.99,Rupaidiha ICP,1733.27,Mangaluru International Airport (IXE),67.88,MMLP Bengaluru (Muddalinganahalli),242.57,Kottapuram Terminal,382.3,FCI Depot Hubballi,205.03
Gandagatta,Chikkamagaluru,570,608923,village,169,2.62,Bangalore-Mysore Road,196.46,UDUPI,48.7,New Makardhokda,68.61,New Mangalore Port,68.61,ICD Mangalore (Panambur),67.97,Rupaidiha ICP,1740.71,Mangaluru International Airport (IXE),61.73,MMLP Bengaluru (Muddalinganahalli),238.64,Kottapuram Terminal,373.15,FCI Depot Mysuru,198.37
Hadi,Chikkamagaluru,570,608937,village,169,3.97,Bangalore-Mysore Road,190.38,UDUPI,46.63,New Makardhokda,58.33,New Mangalore Port,58.33,ICD Mangalore (Panambur),57.5,Rupaidiha ICP,1752.79,Mangaluru International Airport (IXE),51.19,MMLP Bengaluru (Muddalinganahalli),238.46,Kottapuram Terminal,361.72,FCI Depot Mysuru,191.94
Hadikiruru,Chikkamagaluru,570,608939,village,169,6.57,Bangalore-Mysore Road,188.06,NANDIKUR,47.34,New Makardhokda,57.61,New Mangalore Port,57.61,ICD Mangalore (Panambur),56.7,Rupaidiha ICP,1754.52,Mangaluru International Airport (IXE),50.39,MMLP Bengaluru (Muddalinganahalli),236.99,Kottapuram Terminal,359.17,FCI Depot Mysuru,189.58
Haruru (Harur),Chikkamagaluru,570,608930,village,169,3.57,Bangalore-Mysore Road,189.7,UDUPI,51.19,New Makardhokda,65.47,New Mangalore Port,65.47,ICD Mangalore (Panambur),64.64,Rupaidiha ICP,1746.1,Mangaluru International Airport (IXE),58.34,MMLP Bengaluru (Muddalinganahalli),234.45,Kottapuram Terminal,365.59,FCI Depot Mysuru,191.5
K.Masige,Chikkamagaluru,570,608920,village,169A,8.91,Bangalore-Mysore Road,203.5,BARKUR,43.61,New Makardhokda,69.22,New Mangalore Port,69.22,ICD Mangalore (Panambur),68.77,Rupaidiha ICP,1738.34,Mangaluru International Airport (IXE),62.67,MMLP Bengaluru (Muddalinganahalli),244.71,Kottapuram Terminal,379.01,FCI Depot Mysuru,205.42
Kere,Chikkamagaluru,570,608934,village,169,1.81,Bangalore-Mysore Road,198.25,UDUPI,39.34,New Makardhokda,56.38,New Mangalore Port,56.38,ICD Mangalore (Panambur),55.79,Rupaidiha ICP,1751.97,Mangaluru International Airport (IXE),49.59,MMLP Bengaluru (Muddalinganahalli),245.95,Kottapuram Terminal,367.2,FCI Depot Mysuru,199.77
Kogodu,Chikkamagaluru,570,608922,village,169,4.14,Bangalore-Mysore Road,197.98,UDUPI,47.75,New Makardhokda,68.69,New Mangalore Port,68.69,ICD Mangalore (Panambur),68.09,Rupaidiha ICP,1740.19,Mangaluru International Airport (IXE),61.87,MMLP Bengaluru (Muddalinganahalli),239.95,Kottapuram Terminal,374.42,FCI Depot Mysuru,199.89
Kumbaragodu,Chikkamagaluru,570,608917,village,169,9.24,Bangalore-Mysore Road,203.06,BARKUR,46.59,New Makardhokda,73.5,New Mangalore Port,73.5,ICD Mangalore (Panambur),73.03,Rupaidiha ICP,1734.34,Mangaluru International Airport (IXE),66.9,MMLP Bengaluru (Muddalinganahalli),242.28,Kottapuram Terminal,381.17,FCI Depot Mysuru,205.11
Malanadu,Chikkamagaluru,570,608938,village,169,5.56,Bangalore-Mysore Road,187.55,UDUPI,52.25,New Makardhokda,64.71,New Mangalore Port,64.71,ICD Mangalore (Panambur),63.82,Rupaidiha ICP,1747.76,Mangaluru International Airport (IXE),57.51,MMLP Bengaluru (Muddalinganahalli),233.1,Kottapuram Terminal,363.21,FCI Depot Mysuru,189.31
Rushyashringapura (Markal),Chikkamagaluru,570,608921,village,169,6.42,Bangalore-Mysore Road,200.35,UDUPI,44.12,New Makardhokda,66.01,New Mangalore Port,66.01,ICD Mangalore (Panambur),65.48,Rupaidiha ICP,1742.13,Mangaluru International Airport (IXE),59.31,MMLP Bengaluru (Muddalinganahalli),243.33,Kottapuram Terminal,374.7,FCI Depot Mysuru,202.18
Mathuvalli Estate,Chikkamagaluru,570,608932,village,169,0.69,Bangalore-Mysore Road,193.1,UDUPI,45.29,New Makardhokda,59.76,New Mangalore Port,59.76,ICD Mangalore (Panambur),59.02,Rupaidiha ICP,1750.33,Mangaluru International Airport (IXE),52.73,MMLP Bengaluru (Muddalinganahalli),240.0,Kottapuram Terminal,365.0,FCI Depot Mysuru,194.72
Meega,Chikkamagaluru,570,608919,village,169,6.46,Bangalore-Mysore Road,200.21,BARKUR,47.52,New Makardhokda,71.06,New Mangalore Port,71.06,ICD Mangalore (Panambur),70.51,Rupaidiha ICP,1737.33,Mangaluru International Airport (IXE),64.33,MMLP Bengaluru (Muddalinganahalli),240.82,Kottapuram Terminal,377.56,FCI Depot Mysuru,202.19
Muduba,Chikkamagaluru,570,608935,village,169,3.34,Bangalore-Mysore Road,199.28,UDUPI,36.71,New Makardhokda,52.99,New Mangalore Port,52.99,ICD Mangalore (Panambur),52.43,Rupaidiha ICP,1755.0,Mangaluru International Airport (IXE),46.25,MMLP Bengaluru (Muddalinganahalli),248.39,Kottapuram Terminal,365.93,FCI Depot Mysuru,200.7
Bhandigadi,Chikkamagaluru,570,608971,village,169,5.1,Bangalore-Mysore Road,201.04,Arasalu,48.76,New Makardhokda,84.56,New Mangalore Port,84.56,ICD Mangalore (Panambur),84.0,Rupaidiha ICP,1724.37,Mangaluru International Airport (IXE),77.81,MMLP Bengaluru (Muddalinganahalli),235.05,Kottapuram Terminal,385.87,FCI Depot Hubballi,199.25
Belavinakodige,Chikkamagaluru,570,608987,village,169,5.15,Bangalore-Mysore Road,187.87,Chikkamanglur,52.47,New Makardhokda,76.49,New Mangalore Port,76.49,ICD Mangalore (Panambur),75.64,Rupaidiha ICP,1736.34,Mangaluru International Airport (IXE),69.33,MMLP Bengaluru (Muddalinganahalli),227.47,Kottapuram Terminal,370.61,FCI Depot Mysuru,190.02
Bilagadde,Chikkamagaluru,570,608978,village,169,4.26,Bangalore-Mysore Road,198.02,BARKUR,52.87,New Makardhokda,76.85,New Mangalore Port,76.85,ICD Mangalore (Panambur),76.24,Rupaidiha ICP,1732.43,Mangaluru International Airport (IXE),70.02,MMLP Bengaluru (Muddalinganahalli),236.05,Kottapuram Terminal,379.19,FCI Depot Mysuru,200.19
Bhuyanakote,Chikkamagaluru,570,608986,village,169,4.12,Bangalore-Mysore Road,188.61,Chikkamanglur,52.17,New Makardhokda,78.97,New Mangalore Port,78.97,ICD Mangalore (Panambur),78.15,Rupaidiha ICP,1733.7,Mangaluru International Airport (IXE),71.84,MMLP Bengaluru (Muddalinganahalli),226.83,Kottapuram Terminal,372.7,FCI Depot Mysuru,190.85
Chavalamane,Chikkamagaluru,570,608964,village,169,7.76,Bangalore-Mysore Road,206.21,Arasalu,46.95,New Makardhokda,84.16,New Mangalore Port,84.16,ICD Mangalore (Panambur),83.72,Rupaidiha ICP,1723.57,Mangaluru International Airport (IXE),77.62,MMLP Bengaluru (Muddalinganahalli),240.14,Kottapuram Terminal,389.54,FCI Depot Hubballi,196.43
Devarahalli,Chikkamagaluru,570,608965,village,169,9.01,Bangalore-Mysore Road,204.89,Arasalu,50.04,New Makardhokda,81.18,New Mangalore Port,81.18,ICD Mangalore (Panambur),80.72,Rupaidiha ICP,1726.66,Mangaluru International Airport (IXE),74.61,MMLP Bengaluru (Muddalinganahalli),240.33,Kottapuram Terminal,386.9,FCI Depot Hubballi,199.37
Halmathur,Chikkamagaluru,570,608967,village,169,6.47,Bangalore-Mysore Road,204.11,Arasalu,47.35,New Makardhokda,84.59,New Mangalore Port,84.59,ICD Mangalore (Panambur),84.1,Rupaidiha ICP,1723.6,Mangaluru International Airport (IXE),77.96,MMLP Bengaluru (Muddalinganahalli),237.93,Kottapuram Terminal,388.22,FCI Depot Hubballi,197.34
Hariharapura,Chikkamagaluru,570,608982,village,169,0.34,Bangalore-Mysore Road,195.66,Arasalu,53.2,New Makardhokda,82.64,New Mangalore Port,82.64,ICD Mangalore (Panambur),81.97,Rupaidiha ICP,1727.72,Mangaluru International Airport (IXE),75.71,MMLP Bengaluru (Muddalinganahalli),231.09,Kottapuram Terminal,380.59,FCI Depot Mysuru,198.01
Heddase,Chikkamagaluru,570,608988,village,169,7.56,Bangalore-Mysore Road,185.22,Chikkamanglur,49.38,New Makardhokda,78.38,New Mangalore Port,78.38,ICD Mangalore (Panambur),77.48,Rupaidiha ICP,1735.7,Mangaluru International Airport (IXE),71.17,MMLP Bengaluru (Muddalinganahalli),224.34,Kottapuram Terminal,369.43,FCI Depot Mysuru,187.43
Heggadde,Chikkamagaluru,570,608974,village,169,6.86,Bangalore-Mysore Road,201.87,BARKUR,51.23,New Makardhokda,78.91,New Mangalore Port,78.91,ICD Mangalore (Panambur),78.39,Rupaidiha ICP,1729.48,Mangaluru International Airport (IXE),72.22,MMLP Bengaluru (Muddalinganahalli),238.58,Kottapuram Terminal,383.35,FCI Depot Hubballi,202.8
Heggaru,Chikkamagaluru,570,608973,village,169,6.15,Bangalore-Mysore Road,201.55,BARKUR,52.08,New Makardhokda,79.74,New Mangalore Port,79.74,ICD Mangalore (Panambur),79.21,Rupaidiha ICP,1728.78,Mangaluru International Airport (IXE),73.03,MMLP Bengaluru (Muddalinganahalli),237.88,Kottapuram Terminal,383.56,FCI Depot Hubballi,202.39
Honagaru,Chikkamagaluru,570,608968,village,169,7.9,Bangalore-Mysore Road,203.62,BARKUR,51.03,New Makardhokda,80.48,New Mangalore Port,80.48,ICD Mangalore (Panambur),80.0,Rupaidiha ICP,1727.59,Mangaluru International Airport (IXE),73.86,MMLP Bengaluru (Muddalinganahalli),239.46,Kottapuram Terminal,385.56,FCI Depot Hubballi,200.61
Hosur,Chikkamagaluru,570,608970,village,169,6.03,Bangalore-Mysore Road,202.18,Arasalu,49.73,New Makardhokda,82.76,New Mangalore Port,82.76,ICD Mangalore (Panambur),82.23,Rupaidiha ICP,1725.78,Mangaluru International Airport (IXE),76.06,MMLP Bengaluru (Muddalinganahalli),237.0,Kottapuram Terminal,385.74,FCI Depot Hubballi,199.82
Shirakaradi,Chikkamagaluru,570,608966,village,169A,8.28,Bangalore-Mysore Road,206.91,Arasalu,47.57,New Makardhokda,83.2,New Mangalore Port,83.2,ICD Mangalore (Panambur),82.78,Rupaidiha ICP,1724.34,Mangaluru International Airport (IXE),76.7,MMLP Bengaluru (Muddalinganahalli),241.29,Kottapuram Terminal,389.53,FCI Depot Hubballi,196.74
Kodur,Chikkamagaluru,570,608976,village,169,8.01,Bangalore-Mysore Road,201.85,BARKUR,49.89,New Makardhokda,76.96,New Mangalore Port,76.96,ICD Mangalore (Panambur),76.45,Rupaidiha ICP,1731.32,Mangaluru International Airport (IXE),70.29,MMLP Bengaluru (Muddalinganahalli),239.5,Kottapuram Terminal,382.23,FCI Depot Mysuru,204.01
Kunimakki,Chikkamagaluru,570,608983,village,169,0.16,Bangalore-Mysore Road,192.9,Chikkamanglur,55.34,New Makardhokda,81.36,New Mangalore Port,81.36,ICD Mangalore (Panambur),80.63,Rupaidiha ICP,1729.85,Mangaluru International Airport (IXE),74.34,MMLP Bengaluru (Muddalinganahalli),229.29,Kottapuram Terminal,377.63,FCI Depot Mysuru,195.21
Kuppali,Chikkamagaluru,570,608979,village,169,3.46,Bangalore-Mysore Road,197.54,BARKUR,54.4,New Makardhokda,78.57,New Mangalore Port,78.57,ICD Mangalore (Panambur),77.95,Rupaidiha ICP,1730.95,Mangaluru International Airport (IXE),71.72,MMLP Bengaluru (Muddalinganahalli),234.77,Kottapuram Terminal,379.78,FCI Depot Mysuru,199.75
Melbilre,Chikkamagaluru,570,608980,village,169,2.0,Bangalore-Mysore Road,196.53,Arasalu,55.1,New Makardhokda,79.62,New Mangalore Port,79.62,ICD Mangalore (Panambur),78.98,Rupaidiha ICP,1730.27,Mangaluru International Airport (IXE),72.73,MMLP Bengaluru (Muddalinganahalli),233.36,Kottapuram Terminal,379.58,FCI Depot Mysuru,198.79
Nilavagilu,Chikkamagaluru,570,608972,village,169,3.0,Bangalore-Mysore Road,198.71,Arasalu,52.98,New Makardhokda,80.82,New Mangalore Port,80.82,ICD Mangalore (Panambur),80.22,Rupaidiha ICP,1728.5,Mangaluru International Airport (IXE),74.0,MMLP Bengaluru (Muddalinganahalli),234.73,Kottapuram Terminal,381.98,FCI Depot Mysuru,200.99
Shankarapura,Chikkamagaluru,570,608975,village,169,8.94,Bangalore-Mysore Road,203.44,BARKUR,49.13,New Makardhokda,77.7,New Mangalore Port,77.7,ICD Mangalore (Panambur),77.22,Rupaidiha ICP,1730.26,Mangaluru International Airport (IXE),71.09,MMLP Bengaluru (Muddalinganahalli),240.63,Kottapuram Terminal,383.86,FCI Depot Hubballi,202.78
Shanuvalli,Chikkamagaluru,570,608977,village,169,5.51,Bangalore-Mysore Road,200.02,BARKUR,52.42,New Makardhokda,78.53,New Mangalore Port,78.53,ICD Mangalore (Panambur),77.97,Rupaidiha ICP,1730.3,Mangaluru International Airport (IXE),71.77,MMLP Bengaluru (Muddalinganahalli),237.06,Kottapuram Terminal,381.71,FCI Depot Mysuru,202.23
Thammadavalli,Chikkamagaluru,570,608985,village,169,1.21,Bangalore-Mysore Road,191.44,Chikkamanglur,54.38,New Makardhokda,80.07,New Mangalore Port,80.07,ICD Mangalore (Panambur),79.31,Rupaidiha ICP,1731.57,Mangaluru International Airport (IXE),73.01,MMLP Bengaluru (Muddalinganahalli),228.67,Kottapuram Terminal,375.69,FCI Depot Mysuru,193.71
Yadadanti,Chikkamagaluru,570,608981,village,169,1.18,Bangalore-Mysore Road,197.19,Arasalu,53.01,New Makardhokda,81.77,New Mangalore Port,81.77,ICD Mangalore (Panambur),81.14,Rupaidiha ICP,1728.06,Mangaluru International Airport (IXE),74.9,MMLP Bengaluru (Muddalinganahalli),232.88,Kottapuram Terminal,381.31,FCI Depot Mysuru,199.51
Addada,Chikkamagaluru,570,608996,village,169,0.3,Bangalore-Mysore Road,194.13,Arasalu,52.19,New Makardhokda,85.26,New Mangalore Port,85.26,ICD Mangalore (Panambur),84.56,Rupaidiha ICP,1725.79,Mangaluru International Airport (IXE),78.28,MMLP Bengaluru (Muddalinganahalli),228.41,Kottapuram Terminal,380.82,FCI Depot Mysuru,196.56
Belagola,Chikkamagaluru,570,609013,village,169,3.58,Bangalore-Mysore Road,189.19,Chikkamanglur,51.9,New Makardhokda,81.18,New Mangalore Port,81.18,ICD Mangalore (Panambur),80.37,Rupaidiha ICP,1731.4,Mangaluru International Airport (IXE),74.07,MMLP Bengaluru (Muddalinganahalli),226.19,Kottapuram Terminal,374.45,FCI Depot Mysuru,191.5
