district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
Alappuzha,95,2.79,3.2,100.0,100.0,100.0,331.47,326.74,0.0,0.0,0.0,3.52,4.11,96.84210526315789,100.0,100.0,126.11,130.65,0.0,0.0,0.0,69.18,64.36,0.0,9.473684210526317,27.368421052631582,69.56,62.95,0.0,9.473684210526317,27.368421052631582,1992.57,1989.88,0.0,0.0,0.0,84.32,78.01,0.0,0.0,12.631578947368421,192.02,187.27,0.0,0.0,0.0,13.8,14.2,34.73684210526316,89.47368421052632,100.0,65.12,60.33,1.0526315789473684,12.631578947368421,31.57894736842105,2103830.0
Ernakulam,128,3.835,5.04,84.375,100.0,100.0,258.08,258.75,0.0,0.0,0.0,8.135000000000002,11.45,57.03125,88.28125,100.0,194.26,193.88,0.0,0.0,0.0,23.86,25.59,13.28125,53.125,96.09375,20.93,21.65,19.53125,64.0625,98.4375,1939.8049999999998,1938.26,0.0,0.0,0.0,22.14,21.23,16.40625,63.28125,100.0,125.44999999999999,124.83,0.0,0.0,0.0,11.95,15.03,38.28125,80.46875,100.0,25.43,25.53,13.28125,48.4375,97.65625,3389018.0
Idukki,68,8.075,9.1,57.35294117647059,98.52941176470588,100.0,276.475,277.97,0.0,0.0,0.0,51.955,49.64,0.0,4.411764705882353,45.588235294117645,165.645,163.57,0.0,0.0,0.0,90.61,87.51,0.0,0.0,2.941176470588235,83.945,80.47,0.0,0.0,7.352941176470589,1914.0900000000001,1910.64,0.0,0.0,0.0,81.49000000000001,76.64,0.0,0.0,13.23529411764706,127.535,128.28,0.0,0.0,0.0,74.47,70.41,0.0,0.0,19.11764705882353,86.785,82.86,0.0,0.0,5.88235294117647,967060.0
Kannur,133,7.24,11.18,57.89473684210527,87.21804511278195,100.0,138.78,136.9,0.0,0.0,0.0,10.83,13.86,48.1203007518797,80.45112781954887,100.0,129.62,127.94,0.0,0.0,0.0,129.62,127.94,0.0,0.0,0.0,128.04,126.21,0.0,0.0,0.0,1855.77,1853.15,0.0,0.0,0.0,100.29,99.22,0.0,0.0,0.0,192.72,193.34,0.0,0.0,0.0,210.0,211.98,0.0,0.0,0.0,84.2,86.06,0.0,0.0,0.0,2536093.0
Kasaragod,128,4.995,6.21,73.4375,100.0,100.0,175.475,174.11,0.0,0.0,0.0,6.345,8.68,65.625,96.09375,100.0,51.349999999999994,54.12,0.0,8.59375,47.65625,51.349999999999994,54.12,0.0,8.59375,47.65625,49.725,52.78,0.0,10.15625,50.0,1835.6799999999998,1838.56,0.0,0.0,0.0,51.34,55.18,0.0,3.90625,46.875,259.725,255.63,0.0,0.0,0.0,287.57000000000005,284.09,0.0,0.0,0.0,161.47000000000003,158.11,0.0,0.0,0.0,1309208.0
Kollam,104,3.3449999999999998,4.74,87.5,100.0,100.0,377.605,377.4,0.0,0.0,0.0,5.335,7.01,78.84615384615384,99.03846153846155,100.0,70.405,71.11,0.0,0.0,4.807692307692308,73.41499999999999,73.61,0.0,0.0,1.9230769230769231,54.735,54.55,0.0,0.0,35.57692307692308,2011.455,2009.89,0.0,0.0,0.0,59.81,60.13,0.0,0.0,21.153846153846153,230.73,230.87,0.0,0.0,0.0,16.97,20.96,21.153846153846153,65.38461538461539,97.11538461538461,121.33,121.05,0.0,0.0,0.0,2629046.0
Kottayam,102,8.245,9.22,60.78431372549019,100.0,100.0,301.3,301.97,0.0,0.0,0.0,9.08,13.15,51.9607843137255,82.35294117647058,100.0,144.49,144.58,0.0,0.0,0.0,56.18,56.02,0.0,0.9803921568627451,35.294117647058826,53.760000000000005,53.2,0.0,3.9215686274509802,39.21568627450981,1959.26,1958.99,0.0,0.0,0.0,63.64,63.51,0.0,0.0,22.54901960784314,157.745,158.86,0.0,0.0,0.0,26.384999999999998,26.34,12.745098039215685,46.07843137254902,95.09803921568627,52.28,52.01,0.0,4.901960784313726,44.11764705882353,1976139.0
Kozhikode,118,5.02,7.11,70.33898305084746,99.15254237288136,100.0,137.64999999999998,137.93,0.0,0.0,0.0,11.635,12.19,46.61016949152542,90.67796610169492,100.0,196.04,193.68,0.0,0.0,0.0,165.77499999999998,165.39,0.0,0.0,0.0,113.38,115.82,0.0,0.0,0.0,1867.46,1867.61,0.0,0.0,0.0,40.125,41.26,0.0,25.423728813559322,63.559322033898304,134.47,136.97,0.0,0.0,0.0,146.0,147.21,0.0,0.0,0.0,26.5,27.25,15.254237288135593,44.06779661016949,92.37288135593221,3103973.0
Malappuram,138,4.9350000000000005,7.65,73.91304347826086,94.92753623188406,100.0,158.68,158.19,0.0,0.0,0.0,8.49,9.33,60.14492753623188,100.0,100.0,250.04,249.11,0.0,0.0,0.0,122.525,123.61,0.0,0.0,0.0,67.88,67.0,0.0,0.0,12.318840579710146,1879.605,1878.82,0.0,0.0,0.0,25.689999999999998,26.05,11.594202898550725,49.275362318840585,98.55072463768117,99.69,97.89,0.0,0.0,0.0,95.995,97.01,0.0,0.0,0.0,44.965,44.49,0.0,11.594202898550725,61.59420289855072,4121325.0
Palakkad,157,7.86,8.57,64.3312101910828,98.72611464968153,100.0,177.67,175.98,0.0,0.0,0.0,7.57,9.65,61.78343949044586,96.81528662420382,100.0,268.53,266.16,0.0,0.0,0.0,97.69,98.52,0.0,0.0,0.0,23.6,24.84,12.101910828025478,53.503184713375795,95.54140127388536,1868.14,1868.83,0.0,0.0,0.0,60.54,61.13,0.0,0.0,22.929936305732486,57.23,58.65,0.0,0.0,33.12101910828025,74.74,76.16,0.0,0.0,1.910828025477707,57.21,55.52,0.0,0.0,33.12101910828025,2815996.0
Pathanamthitta,66,5.27,5.94,83.33333333333334,100.0,100.0,338.445,340.08,0.0,0.0,0.0,14.07,15.35,25.757575757575758,89.39393939393939,100.0,104.83500000000001,104.12,0.0,0.0,0.0,89.345,88.0,0.0,0.0,0.0,77.50999999999999,78.48,0.0,0.0,0.0,1981.17,1980.17,0.0,0.0,0.0,88.33,87.85,0.0,0.0,0.0,191.61,193.71,0.0,0.0,0.0,30.97,33.26,0.0,24.242424242424242,90.9090909090909,88.35499999999999,89.01,0.0,0.0,0.0,1188745.0
Thiruvananthapuram,122,5.66,7.98,70.49180327868852,97.54098360655738,100.0,420.76,421.38,0.0,0.0,0.0,6.279999999999999,8.41,67.21311475409836,97.54098360655738,100.0,22.495,24.8,18.0327868852459,54.91803278688525,94.26229508196722,26.89,28.09,7.377049180327869,46.72131147540984,93.44262295081968,18.87,18.71,18.852459016393443,70.49180327868852,100.0,2030.855,2029.94,0.0,0.0,0.0,22.424999999999997,21.61,14.754098360655737,61.47540983606557,100.0,271.405,272.31,0.0,0.0,0.0,52.695,52.53,0.0,7.377049180327869,44.26229508196721,169.27499999999998,169.64,0.0,0.0,0.0,3314311.0
Thrissur,256,6.155,7.38,72.265625,100.0,100.0,210.32,211.24,0.0,0.0,0.0,6.145,7.01,75.78125,100.0,100.0,252.61,250.51,0.0,0.0,0.0,63.239999999999995,61.57,0.0,0.0,28.515625,47.545,46.89,0.0,3.515625,57.03125,1915.52,1914.27,0.0,0.0,0.0,47.865,44.0,0.0,13.28125,53.90625,102.83000000000001,101.39,0.0,0.0,0.0,37.25,36.1,7.421875,28.125,73.4375,66.495,62.33,0.0,0.0,22.65625,3130922.0
Wayanad,49,10.26,11.49,48.97959183673469,89.79591836734694,100.0,97.11,97.36,0.0,0.0,0.0,42.81,43.88,0.0,0.0,73.46938775510205,191.87,192.74,0.0,0.0,0.0,184.19,183.34,0.0,0.0,0.0,116.29,115.73,0.0,0.0,0.0,1827.02,1827.1,0.0,0.0,0.0,64.74,64.77,0.0,0.0,10.204081632653061,122.18,122.12,0.0,0.0,0.0,166.58,167.12,0.0,0.0,0.0,60.39,59.83,0.0,0.0,18.367346938775512,820395.0
__STATE__,1664,,7.2906199192416015,72.23557692307693,97.83653846153845,100.0,,242.91838070013705,0.0,0.0,0.0,,11.791779705185835,58.65384615384615,87.68028846153845,96.9951923076923,,164.1575586558978,1.3221153846153846,4.6875,10.877403846153847,,85.23692735608667,1.5625,8.774038461538462,26.26201923076923,,60.587507970784095,4.026442307692308,17.247596153846153,44.050480769230774,,1923.064765720209,0.0,0.0,0.0,,50.6545748219163,3.3052884615384617,17.608173076923077,46.03365384615385,,156.59304052219744,0.0,0.0,3.125,,80.84081485961484,8.173076923076923,24.03846153846154,44.41105769230769,,74.13103736504584,2.1634615384615383,8.834134615384617,31.069711538461537,33406061.0
