village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Kalavoor (CT),Alappuzha,598,628226,village,KALAVUR HALT,0.94,ICD Kochi (Edappally),45.29,Cochin Port,44.03,Cochin International Airport (COK),65.18,Petrapole ICP,1985.63
Mannanchery (CT),Alappuzha,598,628232,village,MARARIKULAM,5.08,ICD Kochi (Edappally),44.9,Cochin Port,44.37,Cochin International Airport (COK),63.74,Petrapole ICP,1981.68
Komalapuram (CT),Alappuzha,598,628234,village,KALAVUR HALT,4.81,ICD Kochi (Edappally),47.65,Cochin Port,47.02,Cochin International Airport (COK),66.53,Petrapole ICP,1983.9
Pathirappally (CT),Alappuzha,598,628233,village,TUMBOLI,2.18,ICD Kochi (Edappally),49.4,Cochin Port,48.13,Cochin International Airport (COK),69.19,Petrapole ICP,1988.59
Thumboli South,Alappuzha,598,000000,village,TUMBOLI,1.19,ICD Kochi (Edappally),52.75,Cochin Port,51.49,Cochin International Airport (COK),72.43,Petrapole ICP,1990.86
Aryad South,Alappuzha,598,628227,village,TUMBOLI,2.69,ICD Kochi (Edappally),51.58,Cochin Port,50.66,Cochin International Airport (COK),70.79,Petrapole ICP,1988.13
Alappuzha West,Alappuzha,598,913812,village,ALLEPPEY,1.07,ICD Kochi (Edappally),56.3,Cochin Port,55.09,Cochin International Airport (COK),75.83,Petrapole ICP,1993.07
Mullakkal (Part),Alappuzha,598,628228,village,TUMBOLI,5.32,ICD Kochi (Edappally),52.26,Cochin Port,51.64,Cochin International Airport (COK),70.97,Petrapole ICP,1986.74
Pazhaveedu,Alappuzha,598,913813,village,ALLEPPEY,3.2,ICD Kochi (Edappally),56.48,Cochin Port,55.53,Cochin International Airport (COK),75.62,Petrapole ICP,1991.6
Paravoor (CT),Alappuzha,598,913811,village,PUNNAPURA,1.3,ICD Kochi (Edappally),59.15,Cochin Port,58.09,Cochin International Airport (COK),78.39,Petrapole ICP,1994.1
Punnapra (CT),Alappuzha,598,628235,village,PUNNAPRA,1.38,ICD Kochi (Edappally),62.16,Cochin Port,61.16,Cochin International Airport (COK),81.24,Petrapole ICP,1995.73
Ambalappuzha North,Alappuzha,598,916074,village,AMBALAPUZHA,2.03,ICD Kochi (Edappally),64.93,Cochin Port,63.89,Cochin International Airport (COK),84.01,Petrapole ICP,1997.88
Karumady (CT),Alappuzha,598,628230,village,AMBALAPUZHA,2.44,ICD Kochi (Edappally),66.6,Cochin Port,65.87,Cochin International Airport (COK),85.14,Petrapole ICP,1996.73
Purakkad (CT),Alappuzha,598,628231,village,TAKAZHI,4.0,ICD Kochi (Edappally),72.14,Cochin Port,71.34,Cochin International Airport (COK),90.68,Petrapole ICP,2000.87
Aroor (CT),Alappuzha,598,628215,village,AROOR HALT,1.94,ICD Kochi (Edappally),13.12,Cochin Port,13.18,Cochin International Airport (COK),33.88,Petrapole ICP,1961.24
Arookutty (CT),Alappuzha,598,628214,village,AROOR HALT,5.61,ICD Kochi (Edappally),15.31,Cochin Port,16.65,Cochin International Airport (COK),34.3,Petrapole ICP,1959.84
Perumbalam (CT),Alappuzha,598,628206,village,KANJIRAMITTAM,5.83,ICD Kochi (Edappally),15.54,Cochin Port,17.48,Cochin International Airport (COK),33.63,Petrapole ICP,1958.46
Panavally (CT),Alappuzha,598,628207,village,EZHUPPUNNA,4.34,ICD Kochi (Edappally),17.89,Cochin Port,18.67,Cochin International Airport (COK),37.1,Petrapole ICP,1962.18
Ezhupunna (CT),Alappuzha,598,628216,village,EZHUPPUNNA,1.0,ICD Kochi (Edappally),16.84,Cochin Port,16.17,Cochin International Airport (COK),37.69,Petrapole ICP,1964.61
Kodamthuruth (CT),Alappuzha,598,628217,village,EZHUPPUNNA,2.02,ICD Kochi (Edappally),19.83,Cochin Port,19.11,Cochin International Airport (COK),40.43,Petrapole ICP,1966.62
Thykattussery (CT),Alappuzha,598,628218,village,TURAVUR,4.91,ICD Kochi (Edappally),22.6,Cochin Port,23.17,Cochin International Airport (COK),41.39,Petrapole ICP,1964.86
Pallippuram (CT),Alappuzha,598,628221,village,VAYALAR,5.65,ICD Kochi (Edappally),27.57,Cochin Port,27.94,Cochin International Airport (COK),46.1,Petrapole ICP,1967.93
