village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km,nearest_toll_plaza,dist_toll_plaza_km
Chumur,LEH,3.0,245773376,village,505,65.63,Delhi-Dehradun Expressway,270.27,JOGINDER NAGAR,184.46,Chintpurni Marg,259.7,Deendayal Port (Kandla),1326.2,ICD Baddi,252.65,Demchok (planned/under development),196.49,Sri Guru Ram Dass Jee International Airport (ATQ),370.19,MMLP Jammu,347.86,Varanasi Multi-Modal Terminal,905.75,FCI Depot Dehradun,263.43,KULLU Toll Plaza,151.66
Padum,KARGIL,4.0,245773925,village,301,0.06,Facia -Aesthetic Clinic,199.35,CHAMUNDA MARG,155.41,Samba,193.25,Deendayal Port (Kandla),1306.8,ICD Baddi,275.85,Kartarpur Sahib ICP,239.11,Sheikh ul-Alam International Airport (SXR),202.3,MMLP Jammu,204.48,Varanasi Multi-Modal Terminal,1064.21,FCI Depot Jammu,204.48,Yol Cannt Toll,149.1
Tsazar,KARGIL,4.0,245774063,village,301,0.25,Facia -Aesthetic Clinic,207.3,CHAMUNDA MARG,171.87,Samba,210.75,Deendayal Port (Kandla),1324.58,ICD Baddi,289.91,Demchok (planned/under development),226.86,Sheikh ul-Alam International Airport (SXR),210.66,MMLP Jammu,221.07,Varanasi Multi-Modal Terminal,1068.58,FCI Depot Jammu,221.07,Yol Cannt Toll,165.88
Tashidongze,KARGIL,4.0,245774431,village,301,0.77,Facia -Aesthetic Clinic,144.09,Anantnag,121.68,Samba,200.98,Deendayal Port (Kandla),1336.75,ICD Baddi,337.36,Kartarpur Sahib ICP,257.55,Sheikh ul-Alam International Airport (SXR),148.5,MMLP Jammu,200.08,Varanasi Multi-Modal Terminal,1138.9,FCI Depot Jammu,200.08,Qazigund Toll Plaza,121.0
Lamayuru,LEH,3.0,245774824,village,1,0.12,Facia -Aesthetic Clinic,181.63,Anantnag,164.73,Samba,246.6,Deendayal Port (Kandla),1380.18,ICD Baddi,365.58,Demchok (planned/under development),231.93,Sheikh ul-Alam International Airport (SXR),186.68,MMLP Jammu,246.65,Varanasi Multi-Modal Terminal,1144.53,FCI Depot Jammu,246.65,Kachkoot,165.42
Kargil,KARGIL,4.0,245775021,village,1,0.04,Facia -Aesthetic Clinic,133.41,Anantnag,130.35,Samba,242.54,Deendayal Port (Kandla),1380.52,ICD Baddi,400.97,Demchok (planned/under development),291.88,Sheikh ul-Alam International Airport (SXR),139.27,MMLP Jammu,233.7,Varanasi Multi-Modal Terminal,1202.73,FCI Depot Jammu,233.7,Kachkoot,124.96
Chamshen,LEH,3.0,245775061,village,1,56.4,Facia -Aesthetic Clinic,263.17,Anantnag,249.74,Samba,328.19,Deendayal Port (Kandla),1454.35,ICD Baddi,415.45,Demchok (planned/under development),161.43,Sheikh ul-Alam International Airport (SXR),268.6,MMLP Jammu,330.74,Varanasi Multi-Modal Terminal,1144.98,FCI Depot Jammu,330.74,Kachkoot,249.26
Sasoma,LEH,3.0,245775075,village,1,73.32,Facia -Aesthetic Clinic,261.71,Anantnag,252.25,Samba,339.59,Deendayal Port (Kandla),1470.35,ICD Baddi,437.51,Demchok (planned/under development),176.99,Sheikh ul-Alam International Airport (SXR),267.4,MMLP Jammu,339.84,Varanasi Multi-Modal Terminal,1170.49,FCI Depot Jammu,339.84,Kachkoot,250.13
گلمت,LEH,3.0,271958121,village,93,113.9,Facia -Aesthetic Clinic,262.09,Anantnag,294.69,Samba,427.83,Deendayal Port (Kandla),1527.42,ICD Ludhiana,612.68,Demchok (planned/under development),462.63,Sheikh ul-Alam International Airport (SXR),266.51,MMLP Jammu,405.37,Varanasi Multi-Modal Terminal,1435.28,FCI Depot Jammu,405.37,Khunjerab NP entrance fee,54.39
Passu,LEH,3.0,271959710,village,93,109.85,Facia -Aesthetic Clinic,270.84,Anantnag,303.15,Samba,436.35,Deendayal Port (Kandla),1536.57,ICD Ludhiana,620.84,Demchok (planned/under development),464.32,Sheikh ul-Alam International Airport (SXR),275.3,MMLP Jammu,414.07,Varanasi Multi-Modal Terminal,1440.91,FCI Depot Jammu,414.07,Khunjerab NP entrance fee,45.29
