district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,toll_plaza_median_km,toll_plaza_mean_km,toll_plaza_within_10km_pct,toll_plaza_within_25km_pct,toll_plaza_within_50km_pct,census2011_population
AGAR MALWA,528,6.1,7.5,68.18181818181817,100.0,100.0,68.14,70.57,0.0,0.0,12.31060606060606,36.58,36.02,0.0,14.204545454545455,95.26515151515152,238.10500000000002,235.97,0.0,0.0,0.0,423.995,423.97,0.0,0.0,0.0,133.745,136.34,0.0,0.0,0.0,709.5999999999999,707.38,0.0,0.0,0.0,120.58500000000001,122.69,0.0,0.0,0.0,119.875,121.84,0.0,0.0,0.0,703.01,705.6,0.0,0.0,0.0,73.655,75.82,0.0,0.0,5.113636363636364,44.485,44.27,0.0,0.1893939393939394,69.31818181818183,656955.0
ALIRAJPUR,592,13.125,14.57,37.66891891891892,83.78378378378379,100.0,173.42000000000002,172.25,0.0,0.0,0.0,37.075,36.62,0.8445945945945946,15.371621621621623,87.83783783783784,117.69,118.81,0.0,0.0,0.0,199.10500000000002,200.4,0.0,0.0,0.0,137.57999999999998,136.05,0.0,0.0,0.0,937.855,939.48,0.0,0.0,0.0,152.195,149.76,0.0,0.0,0.0,157.385,154.39,0.0,0.0,0.0,850.27,853.42,0.0,0.0,0.0,157.385,153.64,0.0,0.0,0.0,43.84,43.37,0.0,3.040540540540541,71.79054054054053,732200.0
ANUPPUR,612,8.745000000000001,9.66,57.18954248366013,98.0392156862745,100.0,244.905,244.97,0.0,0.0,0.0,12.114999999999998,15.11,44.28104575163398,78.75816993464052,100.0,142.325,140.58,0.0,0.0,0.0,578.905,581.15,0.0,0.0,0.0,198.005,199.06,0.0,0.0,0.0,511.12,507.98,0.0,0.0,0.0,288.405,283.48,0.0,0.0,0.0,279.67,276.26,0.0,0.0,0.0,279.67,276.26,0.0,0.0,0.0,37.405,41.0,5.555555555555555,28.431372549019606,66.01307189542483,30.445,30.07,10.294117647058822,36.76470588235294,90.0326797385621,748968.0
ASHOKNAGAR,921,17.97,17.64,31.053203040173727,68.18675352877307,100.0,253.65,253.76,0.0,0.0,0.0,12.21,13.68,40.82519001085777,88.92508143322475,100.0,96.69,96.11,0.0,0.0,0.0,619.3,621.02,0.0,0.0,0.0,181.71,180.43,0.0,0.0,0.0,526.57,525.71,0.0,0.0,0.0,286.18,287.58,0.0,0.0,0.0,285.55,286.41,0.0,0.0,0.0,513.06,512.87,0.0,0.0,0.0,80.17,78.6,0.0,0.0,7.81758957654723,37.86,37.9,0.0,9.120521172638437,88.81650380021715,853626.0
BALAGHAT,1487,17.08,17.86,31.607262945527907,72.96570275722932,99.73100201748487,374.7,371.85,0.0,0.0,0.0,19.51,24.29,21.654337592468057,64.8285137861466,87.0880968392737,146.02,141.27,0.0,0.0,0.0,547.43,543.35,0.0,0.0,0.0,129.94,128.75,0.0,0.0,0.0,689.32,684.81,0.0,0.0,0.0,156.15,155.68,0.0,0.0,0.0,199.46,202.77,0.0,0.0,0.0,466.71,460.96,0.0,0.0,0.0,109.16,109.74,0.0,0.0,0.0,28.1,28.51,8.2044384667115,41.82918628110289,96.5030262273033,1719591.0
BARWANI,774,6.865,10.05,60.72351421188631,91.343669250646,100.0,178.34,173.99,0.0,0.0,0.0,63.955,63.85,0.0,0.0,25.064599483204137,130.88,126.34,0.0,0.0,0.0,249.245,248.73,0.0,0.0,0.0,117.275,114.21,0.0,0.0,0.0,943.765,941.45,0.0,0.0,0.0,132.70999999999998,130.21,0.0,0.0,0.0,136.01,133.7,0.0,0.0,0.0,770.4,768.86,0.0,0.0,0.0,136.01,133.7,0.0,0.0,0.0,24.8,25.55,7.751937984496124,51.03359173126615,98.57881136950904,1396704.0
BETUL,1525,7.72,9.13,61.24590163934426,96.65573770491804,100.0,260.61,259.3,0.0,0.0,0.0,14.45,17.57,36.59016393442623,73.70491803278688,97.63934426229508,127.12,126.56,0.0,0.0,0.0,543.25,541.53,0.0,0.0,0.0,146.05,145.5,0.0,0.0,0.0,774.93,778.29,0.0,0.0,0.0,146.23,145.36,0.0,0.0,0.0,165.21,165.09,0.0,0.0,0.0,593.52,594.23,0.0,0.0,0.0,132.8,132.48,0.0,0.0,0.0,27.69,29.82,13.573770491803277,44.721311475409834,89.24590163934425,1587756.0
BHIND,1015,5.28,7.25,73.79310344827587,97.73399014778326,100.0,246.19,242.74,0.0,0.0,0.0,17.09,18.2,30.344827586206897,68.07881773399015,100.0,124.94,122.92,0.0,0.0,0.0,802.06,802.35,0.0,0.0,0.0,64.67,61.77,0.0,1.1822660098522169,26.305418719211822,322.96,322.93,0.0,0.0,0.0,214.96,215.92,0.0,0.0,0.0,436.41,434.66,0.0,0.0,0.0,436.41,434.98,0.0,0.0,0.0,64.52,61.61,0.0,1.2807881773399015,26.89655172413793,29.19,27.14,10.049261083743842,37.142857142857146,100.0,1714852.0
BHOPAL,527,7.76,8.19,60.72106261859582,100.0,100.0,163.55,163.59,0.0,0.0,0.0,20.45,22.0,28.083491461100568,57.1157495256167,100.0,208.33,211.69,0.0,0.0,0.0,528.34,527.76,0.0,0.0,0.0,198.56,197.51,0.0,0.0,0.0,646.07,649.16,0.0,0.0,0.0,182.68,181.58,0.0,0.0,0.0,177.84,176.75,0.0,0.0,0.0,589.46,590.25,0.0,0.0,0.0,30.22,32.96,3.984819734345351,45.35104364326376,76.85009487666035,26.22,25.96,22.770398481973434,48.38709677419355,95.63567362428842,2394281.0
BURHANPUR,284,10.95,14.52,47.183098591549296,78.16901408450704,100.0,212.01,211.25,0.0,0.0,0.0,9.75,10.82,50.70422535211267,96.12676056338029,100.0,58.545,63.41,0.0,0.0,26.76056338028169,377.35,381.42,0.0,0.0,0.0,157.425,155.46,0.0,0.0,0.0,902.485,899.85,0.0,0.0,0.0,161.745,160.41,0.0,0.0,0.0,155.76999999999998,154.3,0.0,0.0,0.0,633.1600000000001,634.97,0.0,0.0,0.0,159.445,158.19,0.0,0.0,0.0,57.685,60.43,0.0,0.0,29.225352112676056,764921.0
