village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
JAMUN HATRI,DAMOH,428,462427,village,DAMOH,40.52,Kalmeshwar,247.86,Dahej Port,710.65,ICD Nagpur (MIHAN),260.0,Rupaidiha ICP,563.4,Dr. Babasaheb Ambedkar International Airport (NAG),260.88,MMLP Nagpur (Sindi),313.92,Varanasi Multi-Modal Terminal,415.48,FCI FSD Niwari,171.66
UKARPAR,DAMOH,428,462428,village,DAMOH,40.95,Kalmeshwar,247.1,Dahej Port,713.25,ICD Nagpur (MIHAN),259.06,Rupaidiha ICP,563.64,Dr. Babasaheb Ambedkar International Airport (NAG),259.93,MMLP Nagpur (Sindi),313.13,Varanasi Multi-Modal Terminal,413.49,FCI FSD Niwari,174.15
CHHAPRI THAKUR,DAMOH,428,462440,village,KARHIYA BHADELI,10.25,Shivpur - Godawari Commodity Pvt. Ltd.,248.99,Dahej Port,746.99,ICD Gwalior,281.44,Rupaidiha ICP,508.1,Dr. Babasaheb Ambedkar International Airport (NAG),314.02,MMLP Nagpur (Sindi),367.7,Varanasi Multi-Modal Terminal,371.81,FCI FSD Niwari,143.11
PATNA,DAMOH,428,462438,village,BANDAKPUR,10.17,Sathnaraini,248.58,Dahej Port,749.32,ICD Gwalior,283.1,Rupaidiha ICP,507.74,Dr. Babasaheb Ambedkar International Airport (NAG),313.98,MMLP Nagpur (Sindi),367.75,Varanasi Multi-Modal Terminal,369.64,FCI FSD Niwari,145.25
RODA PIPARIYA,DAMOH,428,462437,village,BANDAKPUR,11.56,Sathnaraini,247.55,Dahej Port,749.58,ICD Gwalior,281.81,Rupaidiha ICP,506.48,Dr. Babasaheb Ambedkar International Airport (NAG),315.31,MMLP Nagpur (Sindi),369.06,Varanasi Multi-Modal Terminal,369.22,FCI FSD Niwari,144.14
KADIPUR,DAMOH,428,462444,village,KARHIYA BHADELI,5.03,Shivpur - Godawari Commodity Pvt. Ltd.,249.61,Dahej Port,742.59,ICD Gwalior,283.95,Rupaidiha ICP,513.39,Dr. Babasaheb Ambedkar International Airport (NAG),309.06,MMLP Nagpur (Sindi),362.65,Varanasi Multi-Modal Terminal,376.58,FCI FSD Niwari,144.3
TAN KHEDI,DAMOH,428,462445,village,KARHIYA BHADELI,5.01,Shivpur - Godawari Commodity Pvt. Ltd.,251.04,Dahej Port,743.9,ICD Gwalior,285.06,Rupaidiha ICP,513.35,Dr. Babasaheb Ambedkar International Airport (NAG),308.83,MMLP Nagpur (Sindi),362.49,Varanasi Multi-Modal Terminal,375.4,FCI FSD Niwari,145.65
CHAINPURA,DAMOH,428,462443,village,KARHIYA BHADELI,6.69,Shivpur - Godawari Commodity Pvt. Ltd.,250.31,Dahej Port,744.84,ICD Gwalior,283.84,Rupaidiha ICP,511.66,Dr. Babasaheb Ambedkar International Airport (NAG),310.52,MMLP Nagpur (Sindi),364.18,Varanasi Multi-Modal Terminal,374.29,FCI FSD Niwari,144.76
PIPARIYA KHURD,DAMOH,428,462442,village,KARHIYA BHADELI,7.85,Shivpur - Godawari Commodity Pvt. Ltd.,249.9,Dahej Port,745.56,ICD Gwalior,283.08,Rupaidiha ICP,510.5,Dr. Babasaheb Ambedkar International Airport (NAG),311.65,MMLP Nagpur (Sindi),365.32,Varanasi Multi-Modal Terminal,373.46,FCI FSD Niwari,144.24
PIPARIYA KALAN,DAMOH,428,462441,village,KARHIYA BHADELI,8.43,Shivpur - Godawari Commodity Pvt. Ltd.,249.61,Dahej Port,745.85,ICD Gwalior,282.62,Rupaidiha ICP,509.91,Dr. Babasaheb Ambedkar International Airport (NAG),312.24,MMLP Nagpur (Sindi),365.91,Varanasi Multi-Modal Terminal,373.1,FCI FSD Niwari,143.89
KUWATAN KHEDI,DAMOH,428,462446,village,KARHIYA BHADELI,4.3,Shivpur - Godawari Commodity Pvt. Ltd.,251.31,Dahej Port,743.47,ICD Gwalior,285.53,Rupaidiha ICP,514.06,Dr. Babasaheb Ambedkar International Airport (NAG),308.14,MMLP Nagpur (Sindi),361.79,Varanasi Multi-Modal Terminal,375.9,FCI FSD Niwari,145.99
ANOO,DAMOH,428,462449,village,BANDAKPUR,3.47,Shivpur - Godawari Commodity Pvt. Ltd.,255.87,Dahej Port,743.76,ICD Gwalior,290.62,Rupaidiha ICP,518.07,Dr. Babasaheb Ambedkar International Airport (NAG),303.68,MMLP Nagpur (Sindi),357.42,Varanasi Multi-Modal Terminal,376.36,FCI FSD Niwari,150.78
UMARIYA,DAMOH,428,462453,village,BANDAKPUR,3.58,Shivpur - Godawari Commodity Pvt. Ltd.,254.97,Dahej Port,745.53,ICD Gwalior,288.9,Rupaidiha ICP,515.35,Dr. Babasaheb Ambedkar International Airport (NAG),306.33,MMLP Nagpur (Sindi),360.1,Varanasi Multi-Modal Terminal,374.29,FCI FSD Niwari,149.61
MADIYA,DAMOH,428,462457,village,BANDAKPUR,3.95,Shivpur - Godawari Commodity Pvt. Ltd.,254.64,Dahej Port,744.48,ICD Gwalior,288.93,Rupaidiha ICP,516.14,Dr. Babasaheb Ambedkar International Airport (NAG),305.66,MMLP Nagpur (Sindi),359.39,Varanasi Multi-Modal Terminal,375.36,FCI FSD Niwari,149.39
BHORKHEDA,DAMOH,428,462456,village,KARHIYA BHADELI,2.95,Shivpur - Godawari Commodity Pvt. Ltd.,253.64,Dahej Port,743.45,ICD Gwalior,288.21,Rupaidiha ICP,516.29,Dr. Babasaheb Ambedkar International Airport (NAG),305.69,MMLP Nagpur (Sindi),359.38,Varanasi Multi-Modal Terminal,376.3,FCI FSD Niwari,148.47
