district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,census2011_population
AHILYANAGAR,1622,27.0,28.37,19.790382244143036,46.54747225647349,86.74475955610357,99.21000000000001,104.27,0.0,0.0,4.5006165228113435,187.65,186.16,0.0,0.0,0.0,117.79,119.14,0.0,0.0,0.0,1188.205,1188.38,0.0,0.0,0.0,4512419.0
AKOLA,979,8.43,9.75,59.55056179775281,96.93564862104188,100.0,205.02,204.17,0.0,0.0,0.0,451.16,453.68,0.0,0.0,0.0,205.27,204.14,0.0,0.0,0.0,919.67,921.94,0.0,0.0,0.0,1792807.0
AMARĀWATI,1999,11.2,13.44,44.022011005502755,89.94497248624313,99.0495247623812,144.65,141.95,0.0,0.0,0.0,512.48,510.92,0.0,0.0,0.0,144.24,141.64,0.0,0.0,0.0,864.58,862.66,0.0,0.0,0.0,2874317.0
BEED,1376,48.155,46.67,5.959302325581396,15.11627906976744,53.270348837209305,215.255,209.76,0.0,0.0,0.0,301.71500000000003,300.39,0.0,0.0,0.0,207.67000000000002,203.77,0.0,0.0,0.0,1152.99,1155.96,0.0,0.0,0.0,2464450.0
BHANDARA,926,12.16,13.02,39.416846652267814,92.7645788336933,100.0,75.95,76.48,0.0,0.0,0.755939524838013,512.165,516.17,0.0,0.0,0.0,76.285,76.77,0.0,0.0,0.755939524838013,782.8050000000001,783.25,0.0,0.0,0.0,1225015.0
BULDHANA,1436,27.39,30.7,16.852367688022284,45.682451253481894,78.76044568245125,231.825,231.85,0.0,0.0,0.0,385.205,383.68,0.0,0.0,0.0,242.115,241.53,0.0,0.0,0.0,976.825,976.14,0.0,0.0,0.0,2572145.0
CHANDRAPUR,1837,12.28,14.13,41.97060424605335,85.08437670114317,100.0,111.6,114.73,0.0,0.0,0.0,477.05,476.84,0.0,0.0,0.0,110.96,114.1,0.0,0.0,0.0,887.16,888.58,0.0,0.0,0.0,2191510.0
CHHATRAPATI SAMBHAJINAGAR,1366,20.0,20.81,21.522693997071745,64.71449487554905,99.70717423133236,157.86,156.36,0.0,0.0,0.0,267.07000000000005,266.52,0.0,0.0,0.0,206.325,207.89,0.0,0.0,0.0,1089.655,1083.83,0.0,0.0,0.0,3642642.0
DHARASHIV,749,28.09,28.23,12.683578104138851,43.524699599465954,92.92389853137517,216.36,211.13,0.0,0.0,0.0,334.22,329.12,0.0,0.0,0.0,215.08,208.04,0.0,0.0,0.0,1223.83,1222.19,0.0,0.0,0.0,1642019.0
DHULE,711,18.61,19.86,23.488045007032348,67.51054852320675,99.85935302390999,141.05,140.05,0.0,0.0,0.0,205.62,196.68,0.0,0.0,0.0,177.79,174.12,0.0,0.0,0.0,1032.41,1028.36,0.0,0.0,0.0,2039308.0
GADCHIROLI,1721,49.47,52.77,1.568855316676351,7.844276583381755,50.784427658338174,167.28,175.17,0.0,0.0,0.0,405.91,397.99,0.0,0.0,0.0,169.34,180.73,0.0,0.0,0.0,883.26,882.34,0.0,0.0,0.0,1067364.0
GONDIA,958,7.53,10.13,63.15240083507307,91.8580375782881,100.0,118.01,116.37,0.0,0.0,0.0,491.6,494.04,0.0,0.0,0.0,121.805,121.61,0.0,0.0,0.0,748.115,753.05,0.0,0.0,0.0,1244434.0
HINGOLI,711,11.96,14.01,42.05344585091421,87.34177215189874,100.0,249.44,250.77,0.0,0.0,0.0,437.94,437.63,0.0,0.0,0.0,255.21,254.11,0.0,0.0,0.0,1034.62,1035.41,0.0,0.0,0.0,1200351.0
JALGAON,1550,9.015,10.66,54.83870967741935,95.61290322580646,100.0,169.48000000000002,169.23,0.0,0.0,0.0,283.265,289.49,0.0,0.0,0.0,198.41500000000002,199.41,0.0,0.0,0.0,990.13,990.78,0.0,0.0,0.0,4202382.0
