village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km,nearest_toll_plaza,dist_toll_plaza_km
Sadatpur,AHILYANAGAR,522.0,557363,village,160D,2.24,Mumbai Agra Highway Elevated Corridor,75.87,SAINAGAR SHIRDI,21.37,Patas,121.95,Jawaharlal Nehru Port (JNPT/Navi Mumbai),167.65,ICD Nashik,78.41,Rupaidiha ICP,1169.82,Pune Airport (PNQ),121.77,MMLP Nashik,78.88,Vedadri Terminal,680.0,FCI Depot Nashik,78.88,AHILYANAGAR Toll Plaza,18.1
Mohoj Kh.,AHILYANAGAR,522.0,557930,village,61,6.58,Mumbai Agra Highway Elevated Corridor,147.81,AHMADNAGAR,32.8,Patas,98.16,Jawaharlal Nehru Port (JNPT/Navi Mumbai),214.27,ICD Pune,140.7,Rupaidiha ICP,1172.29,Pune Airport (PNQ),131.82,MMLP Jalna,113.25,Vedadri Terminal,609.06,FCI Depot Pune,140.96,AHILYANAGAR Toll Plaza,22.5
Chichondi,AHILYANAGAR,522.0,557934,village,61,10.8,Mumbai Agra Highway Elevated Corridor,142.65,VILAD,27.75,Patas,95.36,Jawaharlal Nehru Port (JNPT/Navi Mumbai),208.33,ICD Pune,135.94,Rupaidiha ICP,1174.91,Pune Airport (PNQ),127.0,MMLP Jalna,117.83,Vedadri Terminal,614.85,FCI Depot Pune,136.2,AHILYANAGAR Toll Plaza,16.53
Sangavi Kh.,AHILYANAGAR,522.0,557972,village,61,5.76,Mumbai Agra Highway Elevated Corridor,164.31,AHMADNAGAR,52.12,Patas,111.68,Jawaharlal Nehru Port (JNPT/Navi Mumbai),234.82,ICD Pune,158.86,Rupaidiha ICP,1161.18,Pune Airport (PNQ),150.16,MMLP Jalna,96.98,Vedadri Terminal,590.6,FCI Depot Pune,159.14,AHILYANAGAR Toll Plaza,42.3
Sonoshi,AHILYANAGAR,522.0,558012,village,61,4.5,Mumbai Agra Highway Elevated Corridor,176.44,AHMADNAGAR,65.57,Patas,121.56,Jawaharlal Nehru Port (JNPT/Navi Mumbai),248.76,ICD Pune,171.24,Rupaidiha ICP,1154.38,Pune Airport (PNQ),162.67,MMLP Jalna,87.51,Vedadri Terminal,577.78,FCI Depot Pune,171.53,BEED Toll Plaza,43.8
Nipani Jalgaon,AHILYANAGAR,522.0,558015,village,61,1.63,Mumbai Agra Highway Elevated Corridor,170.01,AHMADNAGAR,57.41,Patas,114.88,Jawaharlal Nehru Port (JNPT/Navi Mumbai),240.54,ICD Pune,163.47,Rupaidiha ICP,1159.36,Pune Airport (PNQ),154.85,MMLP Jalna,93.73,Vedadri Terminal,584.7,FCI Depot Pune,163.76,AHILYANAGAR Toll Plaza,46.73
Hatra,AHILYANAGAR,522.0,557974,village,61,3.6,Mumbai Agra Highway Elevated Corridor,159.15,AHMADNAGAR,45.87,Patas,107.04,Jawaharlal Nehru Port (JNPT/Navi Mumbai),228.35,ICD Pune,152.99,Rupaidiha ICP,1164.82,Pune Airport (PNQ),144.24,MMLP Jalna,102.05,Vedadri Terminal,596.29,FCI Depot Pune,153.27,AHILYANAGAR Toll Plaza,36.63
Kasarwadi,AHILYANAGAR,522.0,557960,village,61,4.97,Mumbai Agra Highway Elevated Corridor,150.27,AHMADNAGAR,35.94,Patas,100.39,Jawaharlal Nehru Port (JNPT/Navi Mumbai),217.63,ICD Pune,143.73,Rupaidiha ICP,1170.26,Pune Airport (PNQ),134.87,MMLP Jalna,110.36,Vedadri Terminal,606.16,FCI Depot Pune,143.99,AHILYANAGAR Toll Plaza,25.85
Sangavi Bk.,AHILYANAGAR,522.0,557971,village,61,4.21,Mumbai Agra Highway Elevated Corridor,166.23,AHMADNAGAR,53.49,Patas,112.21,Jawaharlal Nehru Port (JNPT/Navi Mumbai),236.41,ICD Pune,159.94,Rupaidiha ICP,1161.09,Pune Airport (PNQ),151.27,MMLP Jalna,96.37,Vedadri Terminal,588.68,FCI Depot Pune,160.22,AHILYANAGAR Toll Plaza,43.97
Jirewadi,AHILYANAGAR,522.0,558013,village,61,3.3,Mumbai Agra Highway Elevated Corridor,175.67,AHMADNAGAR,64.06,Patas,120.01,Jawaharlal Nehru Port (JNPT/Navi Mumbai),247.32,ICD Pune,169.66,Rupaidiha ICP,1155.76,Pune Airport (PNQ),161.09,MMLP Jalna,89.0,Vedadri Terminal,578.67,FCI Depot Pune,169.95,BEED Toll Plaza,44.97
