district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
BISHNUPUR,1,74.66,74.66,0.0,0.0,0.0,47.96,47.96,0.0,0.0,100.0,587.33,587.33,0.0,0.0,0.0,277.87,277.87,0.0,0.0,0.0,56.48,56.48,0.0,0.0,0.0,279.97,279.97,0.0,0.0,0.0,107.77,107.77,0.0,0.0,0.0,85.32,85.32,0.0,0.0,0.0,37.02,37.02,0.0,0.0,100.0,196369.0
CHANDEL,1,109.84,109.84,0.0,0.0,0.0,88.09,88.09,0.0,0.0,0.0,593.34,593.34,0.0,0.0,0.0,316.05,316.05,0.0,0.0,0.0,33.31,33.31,0.0,0.0,100.0,317.53,317.53,0.0,0.0,0.0,140.14,140.14,0.0,0.0,0.0,118.75,118.75,0.0,0.0,0.0,71.13,71.13,0.0,0.0,0.0,115888.0
CHURACHANDPUR,1,78.17,78.17,0.0,0.0,0.0,62.88,62.88,0.0,0.0,0.0,567.37,567.37,0.0,0.0,0.0,285.07,285.07,0.0,0.0,0.0,62.93,62.93,0.0,0.0,0.0,286.05,286.05,0.0,0.0,0.0,107.01,107.01,0.0,0.0,0.0,86.14,86.14,0.0,0.0,0.0,63.83,63.83,0.0,0.0,0.0,130734.0
IMPHAL EAST,1,88.15,88.15,0.0,0.0,0.0,51.9,51.9,0.0,0.0,0.0,620.79,620.79,0.0,0.0,0.0,271.27,271.27,0.0,0.0,0.0,71.18,71.18,0.0,0.0,0.0,275.24,275.24,0.0,0.0,0.0,122.19,122.19,0.0,0.0,0.0,100.57,100.57,0.0,0.0,0.0,8.46,8.46,100.0,100.0,100.0,190669.0
IMPHAL WEST,1,73.23,73.23,0.0,0.0,0.0,37.75,37.75,0.0,0.0,100.0,603.61,603.61,0.0,0.0,0.0,264.17,264.17,0.0,0.0,0.0,70.99,70.99,0.0,0.0,0.0,267.46,267.46,0.0,0.0,0.0,107.63,107.63,0.0,0.0,0.0,85.52,85.52,0.0,0.0,0.0,8.97,8.97,100.0,100.0,100.0,186098.0
JIRIBAM,1,9.63,9.63,100.0,100.0,100.0,39.74,39.74,0.0,0.0,100.0,532.86,532.86,0.0,0.0,0.0,213.14,213.14,0.0,0.0,0.0,67.64,67.64,0.0,0.0,0.0,213.72,213.72,0.0,0.0,0.0,35.58,35.58,0.0,0.0,100.0,13.58,13.58,0.0,100.0,100.0,35.58,35.58,0.0,0.0,100.0,212583.0
KAKCHING,1,87.57,87.57,0.0,0.0,0.0,62.94,62.94,0.0,0.0,0.0,589.98,589.98,0.0,0.0,0.0,292.26,292.26,0.0,0.0,0.0,44.48,44.48,0.0,0.0,100.0,294.14,294.14,0.0,0.0,0.0,119.68,119.68,0.0,0.0,0.0,97.55,97.55,0.0,0.0,0.0,48.11,48.11,0.0,0.0,100.0,341043.0
KAMJANG,1,125.47,125.47,0.0,0.0,0.0,89.33,89.33,0.0,0.0,0.0,654.72,654.72,0.0,0.0,0.0,304.59,304.59,0.0,0.0,0.0,63.34,63.34,0.0,0.0,0.0,309.23,309.23,0.0,0.0,0.0,159.64,159.64,0.0,0.0,0.0,137.86,137.86,0.0,0.0,0.0,44.9,44.9,0.0,0.0,100.0,128385.0
KANGPOKPI,1,98.16,98.16,0.0,0.0,0.0,62.74,62.74,0.0,0.0,0.0,633.75,633.75,0.0,0.0,0.0,274.07,274.07,0.0,0.0,0.0,77.98,77.98,0.0,0.0,0.0,278.64,278.64,0.0,0.0,0.0,132.38,132.38,0.0,0.0,0.0,111.38,111.38,0.0,0.0,0.0,22.44,22.44,0.0,100.0,100.0,195665.0
NONEY,1,40.45,40.45,0.0,0.0,100.0,17.83,17.83,0.0,100.0,100.0,567.09,567.09,0.0,0.0,0.0,243.64,243.64,0.0,0.0,0.0,91.07,91.07,0.0,0.0,0.0,245.52,245.52,0.0,0.0,0.0,74.4,74.4,0.0,0.0,0.0,51.81,51.81,0.0,0.0,0.0,45.33,45.33,0.0,0.0,100.0,153758.0
