village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
BISHNUPUR,BISHNUPUR,,275.0,district_centroid,2,3.58,Belghoria Expressway,576.44,JIRIBAM,74.66,Khongsang,47.96,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,587.33,ICD Amingaon,277.87,Moreh ICP,56.48,Lokpriya Gopinath Bordoloi International Airport (GAU),279.97,MMLP Silchar,107.77,Lakhipur Terminal,85.32,FCI Depot Imphal,37.02
CHANDEL,CHANDEL,,280.0,district_centroid,102C,18.37,Belghoria Expressway,583.0,JIRIBAM,109.84,Khongsang,88.09,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,593.34,ICD Amingaon,316.05,Moreh ICP,33.31,Lokpriya Gopinath Bordoloi International Airport (GAU),317.53,MMLP Silchar,140.14,Lakhipur Terminal,118.75,FCI Depot Imphal,71.13
CHURACHANDPUR,CHURACHANDPUR,,274.0,district_centroid,102B,0.45,Belghoria Expressway,556.73,JIRIBAM,78.17,Khongsang,62.88,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,567.37,ICD Amingaon,285.07,Moreh ICP,62.93,Lokpriya Gopinath Bordoloi International Airport (GAU),286.05,MMLP Silchar,107.01,Lakhipur Terminal,86.14,FCI Depot Imphal,63.83
IMPHAL EAST,IMPHAL EAST,,278.0,district_centroid,202,1.23,Belghoria Expressway,609.55,JIRIBAM,88.15,Khongsang,51.9,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,620.79,ICD Amingaon,271.27,Moreh ICP,71.18,Lokpriya Gopinath Bordoloi International Airport (GAU),275.24,MMLP Silchar,122.19,Lakhipur Terminal,100.57,FCI Depot Imphal,8.46
IMPHAL WEST,IMPHAL WEST,,277.0,district_centroid,37,1.88,Belghoria Expressway,592.4,JIRIBAM,73.23,Khongsang,37.75,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,603.61,ICD Amingaon,264.17,Moreh ICP,70.99,Lokpriya Gopinath Bordoloi International Airport (GAU),267.46,MMLP Silchar,107.63,Lakhipur Terminal,85.52,FCI Depot Imphal,8.97
JIRIBAM,JIRIBAM,,658.0,district_centroid,37,8.97,Belghoria Expressway,521.37,JIRIBAM,9.63,Khongsang,39.74,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,532.86,ICD Amingaon,213.14,Sutarkandi ICP,67.64,Lokpriya Gopinath Bordoloi International Airport (GAU),213.72,MMLP Silchar,35.58,Lakhipur Terminal,13.58,FCI Depot Silchar,35.58
KAKCHING,KAKCHING,,651.0,district_centroid,102C,12.87,Belghoria Expressway,579.29,JIRIBAM,87.57,Khongsang,62.94,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,589.98,ICD Amingaon,292.26,Moreh ICP,44.48,Lokpriya Gopinath Bordoloi International Airport (GAU),294.14,MMLP Silchar,119.68,Lakhipur Terminal,97.55,FCI Depot Imphal,48.11
KAMJANG,KAMJANG,,670.0,district_centroid,102A,3.71,Belghoria Expressway,643.67,JIRIBAM,125.47,Khongsang,89.33,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,654.72,ICD Amingaon,304.59,Moreh ICP,63.34,Lokpriya Gopinath Bordoloi International Airport (GAU),309.23,MMLP Silchar,159.64,Lakhipur Terminal,137.86,FCI Depot Imphal,44.9
KANGPOKPI,KANGPOKPI,,679.0,district_centroid,202,4.42,Belghoria Expressway,622.45,WADRENGDISA,98.16,Khongsang,62.74,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,633.75,ICD Amingaon,274.07,Moreh ICP,77.98,Lokpriya Gopinath Bordoloi International Airport (GAU),278.64,MMLP Silchar,132.38,Lakhipur Terminal,111.38,FCI Depot Imphal,22.44
NONEY,NONEY,,659.0,district_centroid,37,11.4,Belghoria Expressway,555.85,JIRIBAM,40.45,Khongsang,17.83,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,567.09,ICD Amingaon,243.64,Moreh ICP,91.07,Lokpriya Gopinath Bordoloi International Airport (GAU),245.52,MMLP Silchar,74.4,Lakhipur Terminal,51.81,FCI Depot Imphal,45.33
