district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,toll_plaza_median_km,toll_plaza_mean_km,toll_plaza_within_10km_pct,toll_plaza_within_25km_pct,toll_plaza_within_50km_pct,census2011_population
EAST GARO HILLS,10,0.35,2.87,80.0,100.0,100.0,393.19,393.65,0.0,0.0,0.0,41.065,42.52,0.0,10.0,60.0,69.105,68.26,0.0,0.0,0.0,406.445,406.9,0.0,0.0,0.0,119.875,117.32,0.0,0.0,0.0,49.57,53.64,0.0,0.0,60.0,107.905,105.27,0.0,0.0,0.0,68.515,67.63,0.0,0.0,10.0,68.515,67.38,0.0,0.0,10.0,123.05,119.46,0.0,0.0,0.0,90.21000000000001,90.59,0.0,0.0,0.0,177723.0
EAST JAINTIA HILLS,35,10.44,9.58,37.142857142857146,100.0,100.0,490.66,488.34,0.0,0.0,0.0,41.77,40.78,0.0,2.857142857142857,88.57142857142857,48.07,47.68,0.0,0.0,60.0,503.02,500.81,0.0,0.0,0.0,119.98,120.45,0.0,0.0,0.0,38.51,36.69,0.0,34.285714285714285,88.57142857142857,120.2,119.83,0.0,0.0,0.0,64.24,63.72,0.0,0.0,8.571428571428571,44.32,43.1,0.0,2.857142857142857,74.28571428571429,52.49,53.65,0.0,0.0,37.142857142857146,48.28,46.64,0.0,2.857142857142857,68.57142857142857,211614.0
EAST KHASI HILLS,195,13.87,15.18,38.46153846153847,79.48717948717949,100.0,438.49,441.92,0.0,0.0,0.0,74.13,74.12,0.0,0.0,0.0,97.74,97.98,0.0,0.0,0.0,451.24,454.72,0.0,0.0,0.0,100.41,97.64,0.0,0.0,0.0,33.27,32.14,6.666666666666667,30.256410256410255,93.84615384615384,92.88,91.18,0.0,0.0,0.0,114.71,113.27,0.0,0.0,0.0,75.25,74.71,0.0,0.0,2.051282051282051,40.41,36.67,4.615384615384616,19.48717948717949,90.25641025641026,14.57,18.52,29.743589743589745,69.23076923076923,100.0,821348.0
EASTERN WEST KHASI HILLS,2,1.285,1.28,100.0,100.0,100.0,444.44,444.44,0.0,0.0,0.0,55.435,55.44,0.0,0.0,0.0,87.68,87.68,0.0,0.0,0.0,457.47,457.47,0.0,0.0,0.0,70.175,70.18,0.0,0.0,0.0,61.32000000000001,61.32,0.0,0.0,0.0,61.155,61.16,0.0,0.0,0.0,121.37,121.37,0.0,0.0,0.0,68.06,68.06,0.0,0.0,0.0,34.155,34.16,0.0,50.0,100.0,34.475,34.48,0.0,0.0,100.0,85164.0
NORTH GARO HILLS,4,2.82,3.12,100.0,100.0,100.0,417.03,419.35,0.0,0.0,0.0,18.634999999999998,17.69,25.0,75.0,100.0,42.519999999999996,43.1,0.0,0.0,75.0,430.28999999999996,432.6,0.0,0.0,0.0,102.67,101.64,0.0,0.0,0.0,67.17,68.84,0.0,0.0,0.0,91.32,90.4,0.0,0.0,0.0,41.989999999999995,42.54,0.0,0.0,75.0,41.989999999999995,42.54,0.0,0.0,75.0,106.68,105.77,0.0,0.0,0.0,64.695,66.01,0.0,0.0,0.0,135052.0
RI-BHOI,26,13.495000000000001,10.93,34.61538461538461,96.15384615384616,100.0,506.235,500.07,0.0,0.0,0.0,21.0,28.32,0.0,57.692307692307686,96.15384615384616,55.3,60.16,0.0,0.0,11.538461538461538,519.3,513.07,0.0,0.0,0.0,45.035,46.57,0.0,3.8461538461538463,61.53846153846154,62.74,63.26,0.0,0.0,0.0,48.495000000000005,48.51,0.0,3.8461538461538463,53.84615384615385,133.66,132.87,0.0,0.0,0.0,44.13,45.08,0.0,3.8461538461538463,69.23076923076923,31.0,28.24,0.0,34.61538461538461,100.0,21.905,22.64,7.6923076923076925,57.692307692307686,100.0,253670.0
SOUTH GARO HILLS,8,4.574999999999999,6.1,75.0,100.0,100.0,359.125,357.0,0.0,0.0,0.0,83.17,82.46,0.0,0.0,0.0,106.77000000000001,106.4,0.0,0.0,0.0,372.345,370.22,0.0,0.0,0.0,145.325,148.34,0.0,0.0,0.0,51.39,52.23,0.0,0.0,50.0,133.055,136.08,0.0,0.0,0.0,106.08500000000001,105.74,0.0,0.0,0.0,97.18,99.63,0.0,0.0,0.0,131.59,135.81,0.0,0.0,0.0,106.88,106.3,0.0,0.0,0.0,136768.0
SOUTH WEST GARO HILLS,7,14.47,15.83,42.857142857142854,85.71428571428571,100.0,342.24,340.74,0.0,0.0,0.0,62.59,63.34,0.0,0.0,14.285714285714285,104.79,103.17,0.0,0.0,0.0,355.4,353.91,0.0,0.0,0.0,188.02,187.74,0.0,0.0,0.0,20.13,21.38,14.285714285714285,57.14285714285714,100.0,176.29,175.96,0.0,0.0,0.0,104.15,105.46,0.0,0.0,0.0,61.95,62.6,0.0,0.0,14.285714285714285,191.59,190.61,0.0,0.0,0.0,78.88,76.58,0.0,0.0,0.0,161540.0
SOUTH WEST KHASI HILLS,21,30.65,27.67,4.761904761904762,28.57142857142857,100.0,408.85,411.34,0.0,0.0,0.0,84.58,81.35,0.0,0.0,0.0,122.91,120.83,0.0,0.0,0.0,421.81,424.3,0.0,0.0,0.0,105.62,103.6,0.0,0.0,0.0,65.08,64.31,0.0,0.0,0.0,95.64,93.56,0.0,0.0,0.0,132.37,132.2,0.0,0.0,0.0,102.7,100.36,0.0,0.0,0.0,63.07,60.82,0.0,0.0,23.809523809523807,32.05,31.52,0.0,23.809523809523807,100.0,96783.0
WEST GARO HILLS,17,1.51,3.89,88.23529411764706,100.0,100.0,363.27,358.89,0.0,0.0,0.0,53.48,56.6,0.0,17.647058823529413,41.17647058823529,86.75,89.46,0.0,0.0,5.88235294117647,376.43,372.09,0.0,0.0,0.0,171.45,168.34,0.0,0.0,0.0,29.8,26.22,5.88235294117647,35.294117647058826,100.0,160.03,156.85,0.0,0.0,0.0,86.07,88.83,0.0,0.0,5.88235294117647,52.89,55.96,0.0,17.647058823529413,41.17647058823529,171.77,168.5,0.0,0.0,0.0,71.58,73.04,0.0,0.0,29.411764705882355,496469.0
