village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
EAST GARO HILLS,EAST GARO HILLS,,294.0,district_centroid,127B,10.04,Belghoria Expressway,391.97,DUDHNOI,43.05,Jogighopa,67.61,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,405.23,ICD Amingaon,119.17,Mankachar ICP,50.91,Lokpriya Gopinath Bordoloi International Airport (GAU),107.1,MMLP Jogighopa,66.96,Jogighopa Terminal,66.96,FCI Depot Guwahati,122.13
EAST JAINTIA HILLS,EAST JAINTIA HILLS,,666.0,district_centroid,6,9.75,Belghoria Expressway,495.47,HILARA,35.04,Bihara,37.16,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,507.86,ICD Amingaon,128.42,Dawki ICP,45.95,Lokpriya Gopinath Bordoloi International Airport (GAU),128.45,MMLP Silchar,53.81,Badarpur Terminal,38.34,FCI Depot Silchar,53.81
EAST KHASI HILLS,EAST KHASI HILLS,,298.0,district_centroid,206,4.18,Belghoria Expressway,453.49,Karimganj Junction,79.23,Bihara,97.14,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,466.32,ICD Amingaon,86.49,Dawki ICP,29.26,Lokpriya Gopinath Bordoloi International Airport (GAU),80.86,MMLP Silchar,112.05,Karimganj Terminal,76.67,FCI Depot Shillong,20.87
EASTERN WEST KHASI HILLS,EASTERN WEST KHASI HILLS,,765.0,district_centroid,106,7.52,Belghoria Expressway,455.26,MIRZA,49.44,Baihata,78.12,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,468.29,ICD Amingaon,60.35,Dawki ICP,61.81,Lokpriya Gopinath Bordoloi International Airport (GAU),52.14,MMLP Jogighopa,122.14,Pandu Terminal (Guwahati),58.19,FCI Depot Shillong,27.46
NORTH GARO HILLS,NORTH GARO HILLS,,674.0,district_centroid,217,7.79,Belghoria Expressway,415.59,DUDHNOI,17.99,Jogighopa,44.79,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,428.84,ICD Amingaon,102.78,Mankachar ICP,65.87,Lokpriya Gopinath Bordoloi International Airport (GAU),91.34,MMLP Jogighopa,44.19,Jogighopa Terminal,44.19,FCI Depot Guwahati,106.74
RI-BHOI,RI-BHOI,,297.0,district_centroid,6,2.5,Belghoria Expressway,490.62,TETELIA,32.01,Baihata,53.69,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,503.67,ICD Amingaon,37.4,Dawki ICP,75.99,Lokpriya Gopinath Bordoloi International Airport (GAU),36.57,MMLP Jogighopa,131.71,Pandu Terminal (Guwahati),35.48,FCI Depot Guwahati,31.59
SOUTH GARO HILLS,SOUTH GARO HILLS,,295.0,district_centroid,217,7.56,Belghoria Expressway,364.48,DUDHNOI,73.37,Jogighopa,97.24,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,377.73,ICD Amingaon,141.17,Mankachar ICP,48.6,Lokpriya Gopinath Bordoloi International Airport (GAU),128.88,MMLP Jogighopa,96.57,Dhubri Terminal,93.85,FCI Depot Shillong,132.04
SOUTH WEST GARO HILLS,SOUTH WEST GARO HILLS,,660.0,district_centroid,127B,14.24,Belghoria Expressway,342.34,DHUBRI,62.94,Jogighopa,103.84,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,355.53,ICD Amingaon,184.07,Mankachar ICP,16.28,Lokpriya Gopinath Bordoloi International Airport (GAU),172.24,MMLP Jogighopa,103.19,Dhubri Terminal,62.29,FCI Depot Guwahati,187.49
SOUTH WEST KHASI HILLS,SOUTH WEST KHASI HILLS,,668.0,district_centroid,106,23.57,Belghoria Expressway,410.18,SONACHARA,75.57,Baihata,117.94,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,423.18,ICD Amingaon,100.97,Dawki ICP,70.24,Lokpriya Gopinath Bordoloi International Airport (GAU),90.39,MMLP Jogighopa,124.81,Pandu Terminal (Guwahati),98.93,FCI Depot Shillong,63.38
WEST GARO HILLS,WEST GARO HILLS,,293.0,district_centroid,217,3.21,Belghoria Expressway,367.8,DHUBRI,51.21,Jogighopa,78.1,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,381.02,ICD Amingaon,157.3,Mankachar ICP,11.36,Lokpriya Gopinath Bordoloi International Airport (GAU),145.62,MMLP Jogighopa,77.43,Dhubri Terminal,50.61,FCI Depot Guwahati,160.95
