district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
AIZAWL,1,1.51,1.51,100.0,100.0,100.0,470.61,470.61,0.0,0.0,0.0,49.86,49.86,0.0,0.0,100.0,119.37,119.37,0.0,0.0,0.0,480.94,480.94,0.0,0.0,0.0,277.85,277.85,0.0,0.0,0.0,100.32,100.32,0.0,0.0,0.0,274.98,274.98,0.0,0.0,0.0,104.55,104.55,0.0,0.0,0.0,98.89,98.89,0.0,0.0,0.0,104.55,104.55,0.0,0.0,0.0,204186.0
CHAMPHAI,1,1.44,1.44,100.0,100.0,100.0,502.88,502.88,0.0,0.0,0.0,110.97,110.97,0.0,0.0,0.0,148.82,148.82,0.0,0.0,0.0,512.27,512.27,0.0,0.0,0.0,336.31,336.31,0.0,0.0,0.0,54.56,54.56,0.0,0.0,0.0,334.1,334.1,0.0,0.0,0.0,157.46,157.46,0.0,0.0,0.0,145.93,145.93,0.0,0.0,0.0,157.46,157.46,0.0,0.0,0.0,57446.0
HNAHTHIAL,1,8.21,8.21,100.0,100.0,100.0,465.28,465.28,0.0,0.0,0.0,141.77,141.77,0.0,0.0,0.0,208.8,208.8,0.0,0.0,0.0,473.65,473.65,0.0,0.0,0.0,373.53,373.53,0.0,0.0,0.0,17.21,17.21,0.0,100.0,100.0,369.56,369.56,0.0,0.0,0.0,204.33,204.33,0.0,0.0,0.0,197.59,197.59,0.0,0.0,0.0,196.85,196.85,0.0,0.0,0.0,27077.0
KHAWZAWL,1,4.88,4.88,100.0,100.0,100.0,486.79,486.79,0.0,0.0,0.0,101.25,101.25,0.0,0.0,0.0,152.62,152.62,0.0,0.0,0.0,496.21,496.21,0.0,0.0,0.0,330.01,330.01,0.0,0.0,0.0,51.27,51.27,0.0,0.0,0.0,327.26,327.26,0.0,0.0,0.0,153.87,153.87,0.0,0.0,0.0,144.47,144.47,0.0,0.0,0.0,153.87,153.87,0.0,0.0,0.0,36751.0
KOLASIB,1,1.65,1.65,100.0,100.0,100.0,462.76,462.76,0.0,0.0,0.0,17.17,17.17,0.0,100.0,100.0,85.03,85.03,0.0,0.0,0.0,473.71,473.71,0.0,0.0,0.0,240.06,240.06,0.0,0.0,0.0,65.01,65.01,0.0,0.0,0.0,237.09,237.09,0.0,0.0,0.0,71.23,71.23,0.0,0.0,0.0,71.23,71.23,0.0,0.0,0.0,71.23,71.23,0.0,0.0,0.0,76671.0
LAWNGTLAI,1,4.3,4.3,100.0,100.0,100.0,437.83,437.83,0.0,0.0,0.0,188.94,188.94,0.0,0.0,0.0,278.81,278.81,0.0,0.0,0.0,444.64,444.64,0.0,0.0,0.0,427.32,427.32,0.0,0.0,0.0,81.59,81.59,0.0,0.0,0.0,422.0,422.0,0.0,0.0,0.0,268.05,268.05,0.0,0.0,0.0,263.97,263.97,0.0,0.0,0.0,215.32,215.32,0.0,0.0,0.0,107666.0
LUNGLEI,1,9.44,9.44,100.0,100.0,100.0,427.28,427.28,0.0,0.0,0.0,128.9,128.9,0.0,0.0,0.0,218.4,218.4,0.0,0.0,0.0,435.68,435.68,0.0,0.0,0.0,363.16,363.16,0.0,0.0,0.0,55.12,55.12,0.0,0.0,0.0,358.04,358.04,0.0,0.0,0.0,204.77,204.77,0.0,0.0,0.0,202.17,202.17,0.0,0.0,0.0,165.32,165.32,0.0,0.0,0.0,116327.0
MAMIT,1,6.22,6.22,100.0,100.0,100.0,423.79,423.79,0.0,0.0,0.0,48.53,48.53,0.0,0.0,100.0,133.16,133.16,0.0,0.0,0.0,434.12,434.12,0.0,0.0,0.0,274.18,274.18,0.0,0.0,0.0,101.48,101.48,0.0,0.0,0.0,269.32,269.32,0.0,0.0,0.0,121.43,121.43,0.0,0.0,0.0,121.43,121.43,0.0,0.0,0.0,116.68,116.68,0.0,0.0,0.0,76430.0
SAIHA,1,2.98,2.98,100.0,100.0,100.0,467.23,467.23,0.0,0.0,0.0,210.71,210.71,0.0,0.0,0.0,281.25,281.25,0.0,0.0,0.0,473.87,473.87,0.0,0.0,0.0,443.62,443.62,0.0,0.0,0.0,78.55,78.55,0.0,0.0,0.0,438.95,438.95,0.0,0.0,0.0,277.93,277.93,0.0,0.0,0.0,271.51,271.51,0.0,0.0,0.0,241.63,241.63,0.0,0.0,0.0,38340.0
SAITUAL,1,8.0,8.0,100.0,100.0,100.0,480.84,480.84,0.0,0.0,0.0,65.26,65.26,0.0,0.0,0.0,121.71,121.71,0.0,0.0,0.0,490.96,490.96,0.0,0.0,0.0,291.4,291.4,0.0,0.0,0.0,88.89,88.89,0.0,0.0,0.0,288.84,288.84,0.0,0.0,0.0,115.33,115.33,0.0,0.0,0.0,107.19,107.19,0.0,0.0,0.0,115.33,115.33,0.0,0.0,0.0,297007.0
