village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
AIZAWL,AIZAWL,,283.0,district_centroid,Bhairabi,49.86,ICD Amingaon,277.85,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,480.94,Lokpriya Gopinath Bordoloi International Airport (GAU),274.98,Zorinpui ICP,100.32
CHAMPHAI,CHAMPHAI,,284.0,district_centroid,Bhairabi,110.97,ICD Amingaon,336.31,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,512.27,Lokpriya Gopinath Bordoloi International Airport (GAU),334.1,Zorinpui ICP,54.56
HNAHTHIAL,HNAHTHIAL,,713.0,district_centroid,Bhairabi,141.77,ICD Amingaon,373.53,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,473.65,Lokpriya Gopinath Bordoloi International Airport (GAU),369.56,Zorinpui ICP,17.21
KHAWZAWL,KHAWZAWL,,703.0,district_centroid,Bhairabi,101.25,ICD Amingaon,330.01,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,496.21,Lokpriya Gopinath Bordoloi International Airport (GAU),327.26,Zorinpui ICP,51.27
KOLASIB,KOLASIB,,282.0,district_centroid,Bhairabi,17.17,ICD Amingaon,240.06,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,473.71,Lokpriya Gopinath Bordoloi International Airport (GAU),237.09,Sutarkandi ICP,65.01
LAWNGTLAI,LAWNGTLAI,,287.0,district_centroid,Jawaharnagar,188.94,ICD Amingaon,427.32,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,444.64,Lokpriya Gopinath Bordoloi International Airport (GAU),422.0,Zorinpui ICP,81.59
LUNGLEI,LUNGLEI,,286.0,district_centroid,Jawaharnagar,128.9,ICD Amingaon,363.16,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,435.68,Lokpriya Gopinath Bordoloi International Airport (GAU),358.04,Zorinpui ICP,55.12
MAMIT,MAMIT,,281.0,district_centroid,Bhairabi,48.53,ICD Amingaon,274.18,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,434.12,Lokpriya Gopinath Bordoloi International Airport (GAU),269.32,Sabroom ICP,101.48
SAIHA,SAIHA,,288.0,district_centroid,Jawaharnagar,210.71,ICD Amingaon,443.62,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,473.87,Lokpriya Gopinath Bordoloi International Airport (GAU),438.95,Zorinpui ICP,78.55
SAITUAL,SAITUAL,,682.0,district_centroid,Bhairabi,65.26,ICD Amingaon,291.4,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,490.96,Lokpriya Gopinath Bordoloi International Airport (GAU),288.84,Zorinpui ICP,88.89
SERCHHIP,SERCHHIP,,285.0,district_centroid,Bhairabi,101.83,ICD Amingaon,333.63,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,469.58,Lokpriya Gopinath Bordoloi International Airport (GAU),329.86,Zorinpui ICP,44.72
