village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
CHUMOUKEDIMA,CHUMOUKEDIMA,,711.0,district_centroid,RANGAPAHAR,12.85,ICD Amingaon,211.8,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,645.7,Lokpriya Gopinath Bordoloi International Airport (GAU),219.45,Moreh ICP,171.2
DIMAPUR,DIMAPUR,,265.0,district_centroid,DIMAPUR,1.28,ICD Amingaon,204.51,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,650.6,Lokpriya Gopinath Bordoloi International Airport (GAU),212.83,Darranga ICP,175.4
KIPHIRE,KIPHIRE,,269.0,district_centroid,NAOJAN,103.21,ICD Amingaon,312.75,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,739.31,Lokpriya Gopinath Bordoloi International Airport (GAU),321.22,Moreh ICP,178.04
KOHIMA,KOHIMA,,270.0,district_centroid,RANGAPAHAR CRS,41.02,ICD Amingaon,242.86,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,670.05,Lokpriya Gopinath Bordoloi International Airport (GAU),250.59,Moreh ICP,160.28
LONGLENG,LONGLENG,,268.0,district_centroid,NAMTIALI,34.37,ICD Amingaon,309.15,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,778.13,Lokpriya Gopinath Bordoloi International Airport (GAU),319.65,Moreh ICP,257.68
MOKOKCHUNG,MOKOKCHUNG,,262.0,district_centroid,MARIANI JN,27.69,ICD Amingaon,278.85,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,747.16,Lokpriya Gopinath Bordoloi International Airport (GAU),289.17,Darranga ICP,235.7
MON,MON,,261.0,district_centroid,SIMALUGURI JN,36.53,ICD Amingaon,329.44,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,799.05,Lokpriya Gopinath Bordoloi International Airport (GAU),340.05,Moreh ICP,270.55
NIULAND,NIULAND,,709.0,district_centroid,KHOTKHOTI,23.08,ICD Amingaon,228.16,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,670.55,Lokpriya Gopinath Bordoloi International Airport (GAU),236.58,Moreh ICP,181.79
NOKLAK,NOKLAK,,708.0,district_centroid,LAHING,88.7,ICD Amingaon,326.19,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,768.1,Lokpriya Gopinath Bordoloi International Airport (GAU),335.5,Moreh ICP,212.43
PEREN,PEREN,,271.0,district_centroid,DHANSIRI,37.85,ICD Amingaon,203.97,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,613.24,Lokpriya Gopinath Bordoloi International Airport (GAU),209.87,Sutarkandi ICP,140.8
PHEK,PHEK,,266.0,district_centroid,RANGAPAHAR CRS,69.66,ICD Amingaon,271.66,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,690.9,Lokpriya Gopinath Bordoloi International Airport (GAU),279.34,Moreh ICP,151.82
SHAMATOR,SHAMATOR,,712.0,district_centroid,MARIANI JN,79.03,ICD Amingaon,305.56,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,748.12,Lokpriya Gopinath Bordoloi International Airport (GAU),314.76,Moreh ICP,202.96
TSEMINYU,TSEMINYU,,710.0,district_centroid,CHONGAJAN,36.24,ICD Amingaon,245.05,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,687.66,Lokpriya Gopinath Bordoloi International Airport (GAU),253.7,Moreh ICP,183.65
TUENSANG,TUENSANG,,267.0,district_centroid,NAKACHARI,58.42,ICD Amingaon,304.57,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,760.1,Lokpriya Gopinath Bordoloi International Airport (GAU),314.39,Moreh ICP,227.22
WOKHA,WOKHA,,264.0,district_centroid,JAMGURI,28.31,ICD Amingaon,248.48,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,710.36,Lokpriya Gopinath Bordoloi International Airport (GAU),258.25,Darranga ICP,209.22
ZUNHEBOTO,ZUNHEBOTO,,263.0,district_centroid,NAOJAN,66.17,ICD Amingaon,277.96,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,719.98,Lokpriya Gopinath Bordoloi International Airport (GAU),286.91,Moreh ICP,190.69
