state,district,district_code,drive_hours_to_deendayal_(kandla),drive_hours_to_mumbai,drive_hours_to_jawaharlal_nehru_(jnpt/navi_mumbai),drive_hours_to_mormugao,drive_hours_to_new_mangalore,drive_hours_to_cochin,drive_hours_to_v.o._chidambaranar_(tuticorin),drive_hours_to_chennai,drive_hours_to_kamarajar_(ennore),drive_hours_to_visakhapatnam,drive_hours_to_paradip,drive_hours_to_kolkata_(syama_prasad_mookerjee)_incl._haldia_dock_complex
Andaman and Nicobar Islands,NICOBARS,638.0,105.87,107.87,106.25,110.94,111.29,114.21,116.53,105.51,105.63,92.61,87.64,80.7
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,639.0,88.13,90.13,88.51,93.2,93.55,96.47,98.79,87.77,87.89,74.88,69.9,62.96
Andaman and Nicobar Islands,SOUTH ANDAMANS,640.0,95.7,97.71,96.08,100.77,101.12,104.05,106.36,95.35,95.47,82.45,77.48,70.53
Andhra Pradesh,Alluri Sitarama Raju,684.0,34.21,24.52,21.7,21.32,19.13,22.06,24.37,13.36,13.47,3.68,13.69,14.82
Andhra Pradesh,Anakapalli,685.0,33.89,24.21,21.38,21.12,18.94,21.86,24.17,13.16,13.28,1.26,11.9,13.04
Andhra Pradesh,Ananthapuramu,553.0,27.21,16.06,13.1,10.15,7.96,10.89,13.2,6.29,6.4,12.68,23.32,24.46
Andhra Pradesh,Annamayya,693.0,30.39,18.87,15.9,10.99,8.25,10.74,13.05,4.17,4.29,11.99,22.63,23.77
Andhra Pradesh,Bapatla,691.0,30.76,21.08,18.25,19.41,19.49,22.42,24.73,14.53,14.64,7.17,17.81,18.95
Andhra Pradesh,Chittoor,554.0,30.78,19.01,16.04,11.13,7.29,9.78,12.09,3.08,3.2,13.07,23.7,24.84
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,687.0,30.76,21.08,18.25,19.41,17.28,20.2,22.52,11.51,11.62,4.15,14.79,15.93
Andhra Pradesh,East Godavari,545.0,31.81,22.13,19.17,18.61,16.42,19.35,21.66,10.65,10.76,3.18,13.82,14.96
Andhra Pradesh,Eluru,688.0,33.17,23.02,20.05,19.49,17.31,20.23,22.54,11.53,11.65,4.54,15.18,16.32
Andhra Pradesh,Guntur,548.0,30.02,19.71,16.74,16.17,13.99,16.91,19.23,8.22,8.33,5.99,16.63,17.77
Andhra Pradesh,Kakinada,686.0,31.89,22.21,19.38,20.54,18.41,21.33,23.65,12.64,12.75,5.28,15.92,17.06
Andhra Pradesh,Krishna,547.0,28.85,19.16,16.33,17.5,17.58,20.5,22.82,13.56,13.68,6.2,16.84,17.98
Andhra Pradesh,Kurnool,552.0,25.87,14.73,11.76,12.64,10.61,13.53,15.85,8.94,9.05,14.42,25.06,26.2
Andhra Pradesh,NTR,689.0,27.11,17.42,14.59,15.76,15.84,18.76,21.08,12.56,12.68,7.33,17.27,19.11
Andhra Pradesh,Nandyal,694.0,29.1,18.2,15.23,12.17,9.98,12.9,15.22,5.72,5.84,10.03,20.67,21.81
Andhra Pradesh,Palnadu,690.0,31.65,21.33,18.36,16.84,14.65,17.58,19.89,8.88,8.99,7.89,18.53,19.67
Andhra Pradesh,Parvathipuram Manyam,683.0,33.93,24.25,22.13,23.87,21.73,24.65,26.97,15.96,16.07,3.06,12.5,13.64
Andhra Pradesh,Prakasam,549.0,28.24,17.92,14.95,13.82,11.63,14.56,16.87,5.86,5.98,8.58,19.22,20.36
Andhra Pradesh,Sri Potti Sriramulu Nellore,550.0,31.03,20.72,17.75,12.99,10.81,13.73,16.05,4.69,4.81,10.01,20.65,21.79
Andhra Pradesh,Sri Sathya Sai,695.0,28.9,17.75,14.78,10.06,7.53,10.45,12.77,5.65,5.76,13.05,23.69,24.83
Andhra Pradesh,Srikakulam,542.0,34.11,25.9,23.78,23.67,21.48,24.41,26.72,15.71,15.82,2.81,9.06,10.2
Andhra Pradesh,Tirupati,692.0,32.41,20.89,17.92,13.01,9.26,11.75,14.07,2.0,2.12,12.23,22.87,24.01
Andhra Pradesh,Visakhapatnam,544.0,34.27,24.58,21.89,21.63,19.45,22.37,24.69,13.67,13.79,0.77,10.94,12.08
Andhra Pradesh,Vizianagaram,543.0,33.63,23.94,21.82,22.66,20.48,23.4,25.72,14.71,14.82,1.81,11.25,12.39
Andhra Pradesh,West Godavari,546.0,30.02,20.34,17.51,18.67,18.08,21.01,23.32,12.31,12.42,4.95,15.59,16.73
Andhra Pradesh,Y.S.R.,551.0,30.39,19.14,16.17,11.26,9.08,12.0,14.32,4.46,4.58,10.66,21.29,22.43
Arunachal Pradesh,ANJAW,260.0,54.68,56.69,55.06,59.75,60.1,63.03,65.34,54.33,54.45,41.43,36.46,29.51
Arunachal Pradesh,BICHOM,788.0,56.54,58.54,56.92,61.61,61.96,64.88,67.2,56.19,56.3,43.29,38.31,31.37
Arunachal Pradesh,CHANGLANG,253.0,52.59,54.59,52.97,57.66,58.01,60.93,63.25,52.23,52.35,39.33,34.36,27.42
Arunachal Pradesh,DIBANG VALLEY,257.0,55.74,57.75,56.12,60.81,61.16,64.09,66.4,55.39,55.51,42.49,37.52,30.57
Arunachal Pradesh,EAST KAMENG,247.0,55.79,57.8,56.17,60.86,61.21,64.14,66.45,55.44,55.56,42.54,37.57,30.62
Arunachal Pradesh,EAST SIANG,251.0,52.38,54.39,52.77,57.46,57.81,60.73,63.04,52.03,52.15,39.13,34.16,27.22
Arunachal Pradesh,KAMLE,733.0,55.05,57.06,55.43,60.12,60.47,63.4,65.71,54.7,54.81,41.8,36.82,29.88
Arunachal Pradesh,KEYI PANYOR,789.0,54.04,56.05,54.42,59.11,59.46,62.39,64.7,53.69,53.81,40.79,35.82,28.87
Arunachal Pradesh,KRA DAADI,721.0,55.41,57.41,55.79,60.48,60.83,63.75,66.07,55.05,55.17,42.15,37.18,30.24
Arunachal Pradesh,KURUNG KUMEY,256.0,56.34,58.34,56.72,61.41,61.76,64.68,67.0,55.98,56.1,43.08,38.11,31.17
Arunachal Pradesh,LEPA RADA,729.0,54.48,56.49,54.86,59.55,59.9,62.83,65.14,54.13,54.24,41.23,36.25,29.31
Arunachal Pradesh,LOHIT,259.0,53.67,55.68,54.05,58.74,59.09,62.02,64.33,53.32,53.43,40.42,35.44,28.5
Arunachal Pradesh,LONGDING,680.0,51.0,53.0,51.38,56.07,56.42,59.34,61.66,50.65,50.76,37.75,32.77,25.83
Arunachal Pradesh,LOWER DIBANG VALLEY,258.0,52.9,54.9,53.28,57.97,58.32,61.24,63.56,52.54,52.66,39.64,34.67,27.73
Arunachal Pradesh,LOWER SIANG,723.0,55.14,57.14,55.52,60.21,60.56,63.48,65.79,54.78,54.9,41.88,36.91,29.97
Arunachal Pradesh,LOWER SUBANSIRI,255.0,54.23,56.24,54.61,59.3,59.65,62.58,64.89,53.88,53.99,40.98,36.0,29.06
Arunachal Pradesh,NAMSAI,724.0,52.52,54.53,52.9,57.59,57.94,60.87,63.18,52.17,52.29,39.27,34.3,27.35
