state,district,district_code,pop_2011,is_island,highway_access_dist_km,highway_access_time_min,nearest_rail_station_name,rail_station_straight_km,rail_station_road_distance_km,rail_station_drive_time_hours,rail_station_drive_time_min,nearest_freight_terminal_name,freight_terminal_straight_km,freight_terminal_road_distance_km,freight_terminal_drive_time_hours,freight_terminal_drive_time_min,nearest_port_name,port_straight_km,port_road_distance_km,port_drive_time_hours,port_drive_time_min,nearest_icd_name,icd_straight_km,icd_road_distance_km,icd_drive_time_hours,icd_drive_time_min,nearest_mmlp_name,mmlp_straight_km,mmlp_road_distance_km,mmlp_drive_time_hours,mmlp_drive_time_min,nearest_air_cargo_name,air_cargo_straight_km,air_cargo_road_distance_km,air_cargo_drive_time_hours,air_cargo_drive_time_min,nearest_icp_name,icp_straight_km,icp_road_distance_km,icp_drive_time_hours,icp_drive_time_min,nearest_toll_plaza_name,toll_plaza_straight_km,toll_plaza_road_distance_km,toll_plaza_drive_time_hours,toll_plaza_drive_time_min,nearest_expressway_name,expressway_straight_km,expressway_road_distance_km,expressway_drive_time_hours,expressway_drive_time_min
Andaman and Nicobar Islands,NICOBARS,638.0,35779,True,1044.6,1790.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,639.0,105930,True,424.7,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,SOUTH ANDAMANS,640.0,238872,True,689.6,1182.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,Alluri Sitarama Raju,684.0,3661007,False,8.2,14.0,Arakku,82.6,121.3,0.27,16.0,Amagura,129.3,424.1,0.35,21.0,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,806.6,1028.6,0.48,29.0,ICD Hyderabad (Sanathnagar),395.8,711.6,0.44,26.0,MMLP Vijayawada,223.9,430.3,0.37,22.0,Biju Patnaik International Airport (BBI),452.3,600.7,0.47,28.0,Petrapole ICP,882.4,1103.9,0.55,33.0,Alluri Sitarama Raju Toll Plaza,25.0,42.0,0.25,15.0,Chitoor-Thatchur Expressway,574.1,839.7,0.43,26.0
Andhra Pradesh,Anakapalli,685.0,1552458,False,13.2,22.6,BAYYAVARAM,17.1,20.9,0.39,23.0,Amagura,165.3,340.1,0.47,28.0,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,779.9,899.0,0.59,36.0,ICD Bhubaneswar,425.9,479.2,0.57,34.0,MMLP Vijayawada,256.8,403.3,0.5,30.0,Biju Patnaik International Airport (BBI),422.4,471.1,0.58,35.0,Petrapole ICP,856.4,974.4,0.66,39.0,Anakapalli Toll Plaza,32.5,40.9,0.39,23.0,Chitoor-Thatchur Expressway,585.3,820.9,0.57,34.0
Andhra Pradesh,Ananthapuramu,553.0,2233808,False,0.6,1.0,HAGARI,61.7,66.6,0.03,2.0,Hirenanduru,283.4,372.9,0.15,9.0,New Mangalore Port,343.1,559.0,0.16,10.0,ICD Tiruppur,399.9,535.6,0.15,9.0,MMLP Anantapur,18.8,19.7,0.07,4.0,Kempegowda International Airport (BLR),171.0,199.2,0.17,10.0,Petrapole ICP,1492.4,1786.1,0.49,30.0,Marur,32.8,39.3,0.03,2.0,Bangalore - Nelamangala Expressway,184.2,233.1,0.07,4.0
Andhra Pradesh,Annamayya,693.0,1458898,False,0.9,1.6,Tummanamgutta,35.1,52.4,0.04,2.0,Uttangal Mangalam,274.1,451.8,0.15,9.0,Karaikal Port,353.7,521.3,0.16,10.0,ICD Tiruppur,339.1,525.1,0.15,9.0,MMLP Bengaluru (Muddalinganahalli),160.6,262.8,0.11,7.0,Tiruchirappalli International Airport (TRZ),346.5,519.9,0.17,10.0,Petrapole ICP,1458.8,1737.3,0.49,29.0,Annamayya Toll Plaza,28.7,32.9,0.04,2.0,Chitoor-Thatchur Expressway,122.9,204.4,0.08,5.0
Andhra Pradesh,Bapatla,691.0,1792828,False,7.0,12.0,STUARTPURAM,7.4,10.3,0.22,13.0,Jaggayyapet,109.3,271.0,0.34,20.0,Krishnapatnam Port,186.4,982.0,0.5,30.0,ICD Hyderabad (Sanathnagar),261.5,472.1,0.35,21.0,MMLP Vijayawada,68.6,190.7,0.28,17.0,Rajiv Gandhi International Airport (HYD),250.6,482.4,0.44,27.0,Petrapole ICP,1169.2,1393.6,0.58,35.0,Bapatla Toll Plaza,10.2,30.5,0.21,13.0,Chitoor-Thatchur Expressway,300.7,922.3,0.42,25.0
Andhra Pradesh,Chittoor,554.0,1900506,False,1.0,1.7,CHITTOOR,10.8,16.2,0.04,2.0,Uttangal Mangalam,190.2,329.4,0.12,7.0,Karaikal Port,268.8,398.9,0.14,8.0,ICD Tiruppur,294.4,457.9,0.14,8.0,MMLP Bengaluru (Muddalinganahalli),174.2,195.7,0.09,6.0,Tiruchirappalli International Airport (TRZ),272.2,397.5,0.14,9.0,Petrapole ICP,1487.7,1812.0,0.51,31.0,Chittoor Toll Plaza,20.5,29.2,0.04,2.0,Chitoor-Thatchur Expressway,66.4,128.1,0.06,3.0
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,687.0,1172319,False,2.0,3.4,Coac,39.5,49.2,0.08,5.0,Jaggayyapet,209.9,275.7,0.2,12.0,Krishnapatnam Port,333.5,775.7,0.31,19.0,ICD Hyderabad (Sanathnagar),389.1,476.8,0.2,12.0,MMLP Vijayawada,151.2,195.4,0.13,8.0,Rajiv Gandhi International Airport (HYD),388.9,487.1,0.3,18.0,Petrapole ICP,988.0,1187.3,0.39,23.0,Dr. B.R. Ambedkar Konaseema Toll Plaza,8.5,10.7,0.06,4.0,Chitoor-Thatchur Expressway,451.1,716.0,0.23,14.0
Andhra Pradesh,East Godavari,545.0,1694071,False,2.7,4.7,PULLA,46.1,81.8,0.1,6.0,Amagura,230.2,484.7,0.21,13.0,Krishnapatnam Port,344.9,715.2,0.32,19.0,ICD Hyderabad (Sanathnagar),344.4,549.2,0.24,15.0,MMLP Vijayawada,124.8,267.8,0.17,10.0,Biju Patnaik International Airport (BBI),553.9,615.7,0.32,19.0,Petrapole ICP,986.9,1119.0,0.4,24.0,East Godavari Toll Plaza,3.1,4.4,0.08,5.0,Chitoor-Thatchur Expressway,463.7,655.5,0.23,14.0
