district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,toll_plaza_median_km,toll_plaza_mean_km,toll_plaza_within_10km_pct,toll_plaza_within_25km_pct,toll_plaza_within_50km_pct,census2011_population
ANGUL,2013,5.36,6.71,75.1117734724292,99.75161450571287,100.0,382.26,386.97,0.0,0.0,0.0,15.71,18.3,32.687531048186784,70.54148037754595,99.95032290114257,40.55,42.31,7.6999503229011435,27.86885245901639,62.642821659215095,192.13,198.62,0.0,0.0,0.0,126.3,125.81,0.0,0.0,0.0,454.68,458.61,0.0,0.0,0.0,126.59,125.98,0.0,0.0,0.0,372.32,370.56,0.0,0.0,0.0,37.67,42.36,8.296075509190263,27.024341778440142,63.288623944361646,98.44,97.63,0.0,0.0,0.0,47.08,47.11,0.8941877794336811,7.848981619473423,58.42026825633383,1278369.0
BALANGIR,1884,10.43,13.48,48.61995753715499,82.59023354564756,100.0,529.23,529.38,0.0,0.0,0.0,11.46,13.59,43.94904458598726,86.7303609341826,100.0,147.925,144.36,0.0,0.0,0.0,316.46000000000004,314.52,0.0,0.0,0.0,179.175,178.07,0.0,0.0,0.0,634.3,633.75,0.0,0.0,0.0,270.775,269.76,0.0,0.0,0.0,316.95500000000004,316.68,0.0,0.0,0.0,212.55,212.15,0.0,0.0,0.0,124.785,124.25,0.0,0.0,0.0,82.225,82.67,0.0,0.0,5.095541401273886,1656214.0
BALASORE,2937,6.73,7.96,67.2454885938032,99.96595165134491,100.0,182.27,181.4,0.0,0.0,0.0,7.95,9.12,60.84439904664624,99.93190330268982,100.0,101.37,99.93,0.0,0.0,7.626830098740212,84.81,85.29,0.0,0.0,3.1324480762683007,152.19,150.22,0.0,0.0,0.0,257.86,257.25,0.0,0.0,0.0,157.17,156.64,0.0,0.0,0.0,186.2,185.37,0.0,0.0,0.0,65.2,62.06,0.1361933946203609,5.89036431733061,35.81886278515492,60.28,61.29,0.0,0.0,26.69390534559074,32.32,32.0,8.409942117807287,35.75076608784474,84.3037112700034,2288802.0
BARGARH,1273,15.43,16.18,32.992930086410055,79.96857816182246,100.0,473.94,470.11,0.0,0.0,0.0,23.43,24.05,16.653574234092694,54.59544383346425,97.25058915946583,85.2,86.99,0.0,0.07855459544383347,10.526315789473683,352.15,349.52,0.0,0.0,0.0,180.39,175.28,0.0,0.0,0.0,588.38,594.99,0.0,0.0,0.0,273.52,275.7,0.0,0.0,0.0,379.49,380.71,0.0,0.0,0.0,192.83,196.56,0.0,0.0,0.0,66.46,72.66,0.0,4.791830322073841,28.908091123330713,31.79,31.28,3.613511390416339,31.893165750196385,92.61586802827966,1489765.0
BHADRAK,1342,10.455,10.98,47.69001490312966,98.36065573770492,100.0,246.905,246.37,0.0,0.0,0.0,15.675,20.16,26.527570789865873,67.88375558867362,97.54098360655738,47.08,47.3,0.0,9.836065573770492,53.87481371087929,42.635,40.0,6.0357675111773474,27.347242921013414,66.16989567809239,110.74000000000001,110.55,0.0,0.0,0.0,323.19,322.77,0.0,0.0,0.0,114.35499999999999,114.12,0.0,0.0,0.0,251.005,250.44,0.0,0.0,0.0,17.395,18.41,17.51117734724292,76.00596125186289,100.0,89.775,90.33,0.0,0.0,0.0,28.369999999999997,30.93,11.997019374068554,43.44262295081967,83.97913561847989,1509391.0
BOUDH,1212,8.625,9.68,55.775577557755774,95.37953795379538,100.0,472.23,474.04,0.0,0.0,0.0,36.504999999999995,36.93,0.0,6.8481848184818475,93.15181518151815,109.24000000000001,106.5,0.0,0.0,0.0,270.75,267.82,0.0,0.0,0.0,184.935,181.76,0.0,0.0,0.0,542.785,545.2,0.0,0.0,0.0,183.64499999999998,180.5,0.0,0.0,0.0,342.73,340.61,0.0,0.0,0.0,116.9,117.65,0.0,0.0,0.0,86.805,90.96,0.0,0.0,0.0,71.12,66.14,0.0,3.9603960396039604,20.049504950495052,437710.0
CUTTACK,2029,9.66,10.42,51.20749137506161,98.22572695909315,100.0,341.04,345.91,0.0,0.0,0.0,13.23,17.27,39.67471660916708,71.95662888122227,100.0,32.87,30.78,8.477082306554953,34.20404139970429,95.12074913750615,80.72,96.25,0.0,0.0,1.6264169541646132,38.16,41.7,0.19714144898965008,14.342040413997042,78.56086742237555,417.53,422.03,0.0,0.0,0.0,40.21,43.34,0.0,12.12419911286348,74.66732380482996,345.11,342.44,0.0,0.0,0.0,49.25,46.54,0.0,9.807787087235091,51.10892065056678,29.61,33.94,4.7313947757516015,38.9847215377033,83.39083292262198,20.09,20.45,18.827008378511582,67.91522917693446,100.0,2562386.0
DEOGARH,791,3.62,4.46,90.0126422250316,100.0,100.0,381.53,379.84,0.0,0.0,0.0,42.82,42.51,0.0,0.7585335018963337,79.64601769911505,74.44,71.91,0.0,0.0,5.183312262958281,225.6,227.2,0.0,0.0,0.0,168.15,168.01,0.0,0.0,0.0,449.71,447.65,0.0,0.0,0.0,168.81,168.84,0.0,0.0,0.0,384.83,383.13,0.0,0.0,0.0,72.02,72.01,0.0,0.0,8.470290771175728,82.46,81.44,0.0,0.0,2.5284450063211126,36.01,32.92,10.240202275600506,31.605562579013906,86.85208596713021,344217.0
DHENKANAL,1294,4.51,5.87,81.14374034003092,100.0,100.0,341.405,340.55,0.0,0.0,0.0,15.120000000000001,15.01,34.38948995363214,84.23493044822257,100.0,26.295,26.37,2.3956723338485317,42.117465224111285,100.0,129.51999999999998,131.46,0.0,0.0,0.0,67.22,68.57,0.0,0.0,8.578052550231838,416.195,415.13,0.0,0.0,0.0,68.905,70.12,0.0,0.0,6.723338485316847,345.255,344.24,0.0,0.0,0.0,37.535,35.23,2.5502318392581143,21.251931993817617,93.81761978361669,51.29,54.32,0.0,0.23183925811437403,47.75888717156105,23.185000000000002,23.21,14.528593508500773,55.95054095826894,99.9227202472952,1198423.0
GAJAPATI,1647,6.93,7.83,67.45598057073467,98.36065573770492,100.0,565.43,564.89,0.0,0.0,0.0,30.43,30.88,14.146933819064966,40.43715846994536,82.81724347298118,198.92,199.05,0.0,0.0,0.0,180.96,184.26,0.0,0.0,0.0,212.5,212.94,0.0,0.0,0.0,641.76,640.96,0.0,0.0,0.0,176.37,175.09,0.0,0.0,0.0,184.02,187.41,0.0,0.0,0.0,228.91,225.82,0.0,0.0,0.0,179.87,178.51,0.0,0.0,0.0,42.28,44.06,0.24286581663630846,15.300546448087433,65.20947176684882,597457.0
