village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
FOREST,KORAPUT,398,51,village,Padua,3.42,ICD Raipur,326.15,Visakhapatnam Port,97.61,Visakhapatnam International Airport (VTZ),94.87,Petrapole ICP,806.78
FOREST,KORAPUT,398,51,village,Shimiliaguda,13.18,ICD Raipur,339.48,Visakhapatnam Port,82.54,Visakhapatnam International Airport (VTZ),79.1,Petrapole ICP,783.06
FOREST,KORAPUT,398,51,village,DAMANJODI,19.26,ICD Raipur,316.37,Visakhapatnam Port,107.31,Visakhapatnam International Airport (VTZ),103.76,Petrapole ICP,766.7
FOREST,KORAPUT,398,51,village,JEYPORE,18.82,ICD Raipur,286.57,Visakhapatnam Port,138.6,Visakhapatnam International Airport (VTZ),135.85,Petrapole ICP,803.25
FOREST,KORAPUT,398,51,village,JEYPORE,21.21,ICD Raipur,285.52,Visakhapatnam Port,140.87,Visakhapatnam International Airport (VTZ),138.19,Petrapole ICP,806.79
FOREST,KORAPUT,398,51,village,JEYPORE,18.05,ICD Raipur,285.75,Visakhapatnam Port,139.31,Visakhapatnam International Airport (VTZ),136.54,Petrapole ICP,802.72
FOREST,KORAPUT,398,51,village,Suku,3.91,ICD Raipur,294.12,Visakhapatnam Port,127.23,Visakhapatnam International Airport (VTZ),124.09,Petrapole ICP,783.45
FOREST,KORAPUT,398,51,village,KAKIRIGUMMA,6.65,ICD Raipur,284.98,Visakhapatnam Port,140.13,Visakhapatnam International Airport (VTZ),136.57,Petrapole ICP,750.85
FOREST,KORAPUT,398,51,village,Padua,5.83,ICD Raipur,333.78,Visakhapatnam Port,91.88,Visakhapatnam International Airport (VTZ),89.36,Petrapole ICP,814.38
FOREST,KORAPUT,398,51,village,Bheja,1.95,ICD Raipur,320.73,Visakhapatnam Port,103.12,Visakhapatnam International Airport (VTZ),100.38,Petrapole ICP,805.92
FOREST,KORAPUT,398,51,village,Bheja,12.84,ICD Raipur,318.04,Visakhapatnam Port,108.99,Visakhapatnam International Airport (VTZ),106.49,Petrapole ICP,814.8
FOREST,KORAPUT,398,51,village,DHANAPUR ORISSA,22.56,ICD Raipur,275.58,Visakhapatnam Port,152.6,Visakhapatnam International Airport (VTZ),149.98,Petrapole ICP,809.82
FOREST,KORAPUT,398,51,village,BAIGUDA,4.56,ICD Raipur,301.74,Visakhapatnam Port,123.1,Visakhapatnam International Airport (VTZ),119.53,Petrapole ICP,757.26
FOREST,KORAPUT,398,51,village,Padua,16.37,ICD Raipur,340.8,Visakhapatnam Port,88.72,Visakhapatnam International Airport (VTZ),86.55,Petrapole ICP,824.46
FOREST,KORAPUT,398,51,village,Padua,5.04,ICD Raipur,327.56,Visakhapatnam Port,95.51,Visakhapatnam International Airport (VTZ),92.7,Petrapole ICP,804.39
FOREST,KORAPUT,398,51,village,Arakku,11.29,ICD Raipur,333.57,Visakhapatnam Port,87.69,Visakhapatnam International Airport (VTZ),84.46,Petrapole ICP,790.16
FOREST,KORAPUT,398,51,village,Shimiliaguda,21.92,ICD Raipur,332.4,Visakhapatnam Port,90.46,Visakhapatnam International Airport (VTZ),86.94,Petrapole ICP,776.01
FOREST,KORAPUT,398,51,village,Karakavalasa,24.37,ICD Raipur,333.02,Visakhapatnam Port,90.84,Visakhapatnam International Airport (VTZ),87.26,Petrapole ICP,772.24
FOREST,KORAPUT,398,51,village,Bheja,4.68,ICD Raipur,324.12,Visakhapatnam Port,100.34,Visakhapatnam International Airport (VTZ),97.67,Petrapole ICP,808.77
FOREST,KORAPUT,398,51,village,Padua,13.93,ICD Raipur,337.13,Visakhapatnam Port,91.97,Visakhapatnam International Airport (VTZ),89.73,Petrapole ICP,823.0
FOREST,KORAPUT,398,51,village,Darliput,3.04,ICD Raipur,337.14,Visakhapatnam Port,86.58,Visakhapatnam International Airport (VTZ),83.89,Petrapole ICP,809.19
FOREST,KORAPUT,398,51,village,Padua,4.07,ICD Raipur,333.14,Visakhapatnam Port,91.2,Visakhapatnam International Airport (VTZ),88.55,Petrapole ICP,810.36
FOREST,KORAPUT,398,51,village,Padua,7.35,ICD Raipur,329.14,Visakhapatnam Port,97.61,Visakhapatnam International Airport (VTZ),95.15,Petrapole ICP,816.28
FOREST,KORAPUT,398,51,village,Darliput,4.48,ICD Raipur,331.71,Visakhapatnam Port,90.78,Visakhapatnam International Airport (VTZ),87.91,Petrapole ICP,802.71
FOREST,KORAPUT,398,51,village,Bheja,10.22,ICD Raipur,316.85,Visakhapatnam Port,109.0,Visakhapatnam International Airport (VTZ),106.4,Petrapole ICP,811.43
FOREST,KORAPUT,398,51,village,Bheja,2.69,ICD Raipur,318.64,Visakhapatnam Port,104.88,Visakhapatnam International Airport (VTZ),102.09,Petrapole ICP,804.15
FOREST,KORAPUT,398,51,village,Machhakunda,14.37,ICD Raipur,312.75,Visakhapatnam Port,114.09,Visakhapatnam International Airport (VTZ),111.55,Petrapole ICP,813.3
FOREST,KORAPUT,398,51,village,Bheja,5.89,ICD Raipur,319.66,Visakhapatnam Port,102.6,Visakhapatnam International Airport (VTZ),99.66,Petrapole ICP,798.45
FOREST,KORAPUT,398,51,village,Machhakunda,15.38,ICD Raipur,311.19,Visakhapatnam Port,115.97,Visakhapatnam International Airport (VTZ),113.44,Petrapole ICP,813.82
FOREST,KORAPUT,398,51,village,Bheja,4.09,ICD Raipur,317.51,Visakhapatnam Port,105.44,Visakhapatnam International Airport (VTZ),102.58,Petrapole ICP,801.44
FOREST,KORAPUT,398,51,village,Machhakunda,13.95,ICD Raipur,310.63,Visakhapatnam Port,115.99,Visakhapatnam International Airport (VTZ),113.42,Petrapole ICP,812.29
FOREST,KORAPUT,398,51,village,Bheja,14.01,ICD Raipur,321.15,Visakhapatnam Port,100.22,Visakhapatnam International Airport (VTZ),97.1,Petrapole ICP,791.05
FOREST,KORAPUT,398,51,village,Machhakunda,8.91,ICD Raipur,313.33,Visakhapatnam Port,111.67,Visakhapatnam International Airport (VTZ),109.0,Petrapole ICP,808.18
FOREST,KORAPUT,398,51,village,Machhakunda,7.07,ICD Raipur,315.62,Visakhapatnam Port,106.4,Visakhapatnam International Airport (VTZ),103.41,Petrapole ICP,795.84
FOREST,KORAPUT,398,51,village,Bheja,5.22,ICD Raipur,323.1,Visakhapatnam Port,99.35,Visakhapatnam International Airport (VTZ),96.45,Petrapole ICP,800.37
FOREST,KORAPUT,398,51,village,Bheja,11.41,ICD Raipur,316.84,Visakhapatnam Port,109.45,Visakhapatnam International Airport (VTZ),106.88,Petrapole ICP,812.62
RESERVOIR,KORAPUT,398,47,village,Padua,13.09,ICD Raipur,338.96,Visakhapatnam Port,89.08,Visakhapatnam International Airport (VTZ),86.79,Petrapole ICP,821.1
RESERVOIR,KORAPUT,398,47,village,Padua,2.51,ICD Raipur,329.28,Visakhapatnam Port,95.81,Visakhapatnam International Airport (VTZ),93.22,Petrapole ICP,811.83
AMPABALLI,KORAPUT,398,430091,village,Shimiliaguda,10.5,ICD Raipur,339.52,Visakhapatnam Port,81.99,Visakhapatnam International Airport (VTZ),78.64,Petrapole ICP,787.1
TUMBIGUDA,KORAPUT,398,430098,village,Karakavalasa,14.34,ICD Raipur,341.36,Visakhapatnam Port,81.35,Visakhapatnam International Airport (VTZ),77.83,Petrapole ICP,780.15
DORASUBALAR,KORAPUT,398,429686,village,Padua,2.38,ICD Raipur,326.75,Visakhapatnam Port,97.56,Visakhapatnam International Airport (VTZ),94.88,Petrapole ICP,808.82
KONA,KORAPUT,398,429947,village,Darliput,6.32,ICD Raipur,330.45,Visakhapatnam Port,91.78,Visakhapatnam International Airport (VTZ),88.86,Petrapole ICP,801.01
PANABADI,KORAPUT,398,430096,village,Shimiliaguda,14.59,ICD Raipur,339.21,Visakhapatnam Port,83.07,Visakhapatnam International Airport (VTZ),79.6,Petrapole ICP,781.43
MALISUBULAR,KORAPUT,398,429685,village,Padua,3.19,ICD Raipur,326.27,Visakhapatnam Port,98.36,Visakhapatnam International Airport (VTZ),95.71,Petrapole ICP,809.78
ATANDA,KORAPUT,398,429673,village,Padua,7.05,ICD Raipur,324.25,Visakhapatnam Port,101.42,Visakhapatnam International Airport (VTZ),98.85,Petrapole ICP,812.44
SORADA,KORAPUT,398,430086,village,Shimiliaguda,13.05,ICD Raipur,336.25,Visakhapatnam Port,85.17,Visakhapatnam International Airport (VTZ),81.85,Petrapole ICP,787.1
BANGARUGUDI,KORAPUT,398,430097,village,Karakavalasa,16.75,ICD Raipur,339.76,Visakhapatnam Port,83.3,Visakhapatnam International Airport (VTZ),79.76,Petrapole ICP,777.97
MALIBHIMDOLA,KORAPUT,398,429692,village,Padua,4.53,ICD Raipur,326.67,Visakhapatnam Port,96.6,Visakhapatnam International Airport (VTZ),93.81,Petrapole ICP,805.0
CHILOM,KORAPUT,398,429671,village,Bheja,4.08,ICD Raipur,324.65,Visakhapatnam Port,99.43,Visakhapatnam International Airport (VTZ),96.72,Petrapole ICP,807.59
LULUBURU,KORAPUT,398,429690,village,Padua,3.95,ICD Raipur,325.64,Visakhapatnam Port,98.05,Visakhapatnam International Airport (VTZ),95.31,Petrapole ICP,806.43
KURLI,KORAPUT,398,430092,village,Shimiliaguda,13.98,ICD Raipur,336.04,Visakhapatnam Port,85.54,Visakhapatnam International Airport (VTZ),82.18,Petrapole ICP,785.24
PARAJABHIMDOL,KORAPUT,398,429662,village,Bheja,4.62,ICD Raipur,325.46,Visakhapatnam Port,97.65,Visakhapatnam International Airport (VTZ),94.84,Petrapole ICP,804.04
SABUN,KORAPUT,398,429648,village,Bheja,12.08,ICD Raipur,320.26,Visakhapatnam Port,106.77,Visakhapatnam International Airport (VTZ),104.28,Petrapole ICP,815.22
REDING,KORAPUT,398,429649,village,Bheja,8.56,ICD Raipur,322.95,Visakhapatnam Port,102.94,Visakhapatnam International Airport (VTZ),100.38,Petrapole ICP,812.77
KHINIBAR,KORAPUT,398,429946,village,Darliput,8.22,ICD Raipur,328.17,Visakhapatnam Port,93.95,Visakhapatnam International Airport (VTZ),91.02,Petrapole ICP,799.82
BANUR,KORAPUT,398,429672,village,Bheja,6.15,ICD Raipur,322.62,Visakhapatnam Port,102.47,Visakhapatnam International Airport (VTZ),99.84,Petrapole ICP,810.42
BALDA,KORAPUT,398,429670,village,Bheja,3.55,ICD Raipur,324.55,Visakhapatnam Port,99.27,Visakhapatnam International Airport (VTZ),96.53,Petrapole ICP,806.63
