village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km,nearest_toll_plaza,dist_toll_plaza_km
PUDUCHERRY,PUDUCHERRY,635,804036,village,32,2.39,Chitoor-Thatchur Expressway,152.36,Puducherry,0.88,Uttangal Mangalam,62.95,Karaikal Port,112.18,ICD Melpakkam,134.43,Petrapole ICP,1541.08,Chennai International Airport (MAA),123.08,MMLP Chennai (Mappedu),131.98,Aluva Terminal,432.5,FCI Depot Chennai,135.88,VILUPPURAM Toll Plaza,7.13
POORNANKUPPAM,PUDUCHERRY,635,644920,village,32,2.03,Chitoor-Thatchur Expressway,160.96,Puducherry,7.9,Uttangal Mangalam,55.64,Karaikal Port,103.72,ICD Melpakkam,141.84,Petrapole ICP,1549.23,Chennai International Airport (MAA),131.85,MMLP Chennai (Mappedu),140.63,Aluva Terminal,426.72,FCI Depot Chennai,144.61,PUDUCHERRY Toll Plaza,6.68
THAVALAKUPPAM,PUDUCHERRY,635,644919,village,32,0.43,Chitoor-Thatchur Expressway,159.86,Puducherry,7.29,Uttangal Mangalam,55.4,Karaikal Port,104.9,ICD Melpakkam,140.38,Petrapole ICP,1549.07,Chennai International Airport (MAA),131.16,MMLP Chennai (Mappedu),139.6,Aluva Terminal,426.08,FCI Depot Chennai,144.0,PUDUCHERRY Toll Plaza,6.46
PERUNGALUR,PUDUCHERRY,635,644957,village,32,0.21,Chitoor-Thatchur Expressway,157.93,Villianur,4.63,Uttangal Mangalam,53.06,Karaikal Port,106.39,ICD Melpakkam,138.01,Petrapole ICP,1550.66,Chennai International Airport (MAA),131.43,MMLP Chennai (Mappedu),138.85,Aluva Terminal,422.73,FCI Depot Chennai,144.5,PUDUCHERRY Toll Plaza,6.06
ARIYUR,PUDUCHERRY,635,644951,village,332,0.01,716B,152.64,Chinna Babu Samudram,2.3,Uttangal Mangalam,51.62,Karaikal Port,110.3,ICD Melpakkam,133.37,Petrapole ICP,1551.58,Chennai International Airport (MAA),130.59,MMLP Chennai (Mappedu),136.48,Aluva Terminal,418.93,FCI Depot Chennai,143.96,PUDUCHERRY Toll Plaza,11.13
URUVAIYARU,PUDUCHERRY,635,644955,village,32,1.17,Chitoor-Thatchur Expressway,155.63,Villianur,2.72,Uttangal Mangalam,53.89,Karaikal Port,108.55,ICD Melpakkam,135.74,Petrapole ICP,1549.58,Chennai International Airport (MAA),129.83,MMLP Chennai (Mappedu),136.92,Aluva Terminal,422.79,FCI Depot Chennai,142.98,PUDUCHERRY Toll Plaza,8.21
MANAKUPPAM,PUDUCHERRY,635,644958,village,32,3.92,716B,156.38,Chinna Babu Samudram,5.87,Uttangal Mangalam,47.86,Karaikal Port,106.08,ICD Melpakkam,137.47,Petrapole ICP,1555.41,Chennai International Airport (MAA),134.81,MMLP Chennai (Mappedu),140.85,Aluva Terminal,416.41,FCI Depot Chennai,148.13,PUDUCHERRY Toll Plaza,8.32
KIZHUR,PUDUCHERRY,635,644952,village,332,2.73,716B,153.8,Chinna Babu Samudram,3.49,Uttangal Mangalam,48.81,Karaikal Port,108.5,ICD Melpakkam,135.0,Petrapole ICP,1554.39,Chennai International Airport (MAA),133.25,MMLP Chennai (Mappedu),138.86,Aluva Terminal,416.28,FCI Depot Chennai,146.66,PUDUCHERRY Toll Plaza,10.77
Korkadu,PUDUCHERRY,635,644965,village,32,0.98,Chitoor-Thatchur Expressway,157.33,Villianur,4.89,Uttangal Mangalam,51.94,Karaikal Port,106.54,ICD Melpakkam,137.58,Petrapole ICP,1551.63,Chennai International Airport (MAA),132.0,MMLP Chennai (Mappedu),139.06,Aluva Terminal,421.28,FCI Depot Chennai,145.13,PUDUCHERRY Toll Plaza,6.3
Parikkalpattu,PUDUCHERRY,635,644981,village,32,1.19,716B,167.21,TIRUPADRIPULYUR,3.88,Uttangal Mangalam,45.52,Karaikal Port,96.12,ICD Melpakkam,147.85,Petrapole ICP,1559.58,Chennai International Airport (MAA),141.53,MMLP Chennai (Mappedu),149.28,Aluva Terminal,417.32,FCI Depot Chennai,154.46,PUDUCHERRY Toll Plaza,4.45
