district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
AMRITSAR,752,9.93,13.11,50.13297872340425,82.4468085106383,100.0,25.785,24.52,12.76595744680851,47.73936170212766,100.0,1051.475,1050.39,0.0,0.0,0.0,132.885,128.45,0.0,0.0,0.0,36.68,36.06,0.6648936170212766,22.340425531914892,86.17021276595744,21.645000000000003,23.74,7.3138297872340425,65.42553191489363,97.20744680851064,112.32,111.43,0.0,0.0,0.0,1050.455,1045.64,0.0,0.0,0.0,90.45,89.27,0.0,0.0,0.0,2449828.0
BARNALA,141,11.21,11.67,43.97163120567376,100.0,100.0,49.84,48.96,0.0,0.0,53.191489361702125,952.6,952.97,0.0,0.0,0.0,65.56,64.67,0.0,0.0,14.184397163120568,114.03,114.6,0.0,0.0,0.0,156.36,157.82,0.0,0.0,0.0,41.02,39.87,0.0,8.51063829787234,82.26950354609929,911.92,911.51,0.0,0.0,0.0,37.79,36.24,0.0,8.51063829787234,100.0,560976.0
BATHINDA,289,5.79,7.69,75.08650519031141,97.57785467128028,100.0,70.17,69.54,0.0,0.0,2.768166089965398,908.66,909.37,0.0,0.0,0.0,111.44,110.62,0.0,0.0,0.0,111.06,111.12,0.0,0.0,0.0,170.71,170.06,0.0,0.0,0.0,77.49,78.23,0.0,0.0,2.422145328719723,933.02,932.82,0.0,0.0,0.0,24.15,24.41,7.612456747404845,52.24913494809689,99.65397923875432,1363419.0
FARIDKOT,168,6.835,7.19,76.78571428571429,100.0,100.0,63.205,63.68,0.0,0.0,11.30952380952381,938.265,938.2,0.0,0.0,0.0,109.57499999999999,108.84,0.0,0.0,0.0,51.9,54.22,0.0,0.0,47.61904761904761,115.59,118.32,0.0,0.0,0.0,112.92,113.0,0.0,0.0,0.0,984.04,983.72,0.0,0.0,0.0,27.619999999999997,27.29,0.0,38.095238095238095,100.0,607898.0
FATEHGARH SAHIB,453,6.75,7.37,73.73068432671081,100.0,100.0,43.63,44.6,0.0,0.0,67.54966887417218,1024.15,1023.14,0.0,0.0,0.0,47.26,48.27,0.0,0.0,64.67991169977924,175.56,175.43,0.0,0.0,0.0,189.13,189.5,0.0,0.0,0.0,69.52,68.39,0.0,0.0,5.960264900662252,862.58,862.34,0.0,0.0,0.0,35.22,34.81,0.0,13.245033112582782,97.57174392935983,608938.0
FAZILKA,352,5.415,6.01,88.63636363636364,100.0,100.0,19.56,23.27,17.897727272727273,68.4659090909091,90.3409090909091,889.2650000000001,888.01,0.0,0.0,0.0,169.495,170.68,0.0,0.0,0.0,88.19,89.7,0.0,0.0,0.0,155.355,157.09,0.0,0.0,0.0,161.45499999999998,162.39,0.0,0.0,0.0,1019.475,1016.47,0.0,0.0,0.0,66.35,66.89,0.0,0.0,15.056818181818182,1098493.0
FIROZPUR,652,5.025,5.62,90.03067484662577,100.0,100.0,69.05,64.57,0.0,0.9202453987730062,19.78527607361963,965.23,964.73,0.0,0.0,0.0,107.11,109.25,0.0,0.0,0.0,31.939999999999998,31.95,1.5337423312883436,30.214723926380366,93.40490797546013,86.415,88.1,0.0,0.0,0.0,135.925,134.41,0.0,0.0,0.0,1008.8050000000001,1006.48,0.0,0.0,0.0,22.975,22.64,13.34355828220859,57.05521472392638,100.0,1116158.0
GURDASPUR,1210,10.120000000000001,10.91,49.33884297520661,96.8595041322314,100.0,19.8,19.16,14.214876033057852,74.46280991735537,100.0,1086.125,1087.89,0.0,0.0,0.0,128.8,126.03,0.0,0.0,0.0,33.394999999999996,31.66,9.50413223140496,32.231404958677686,90.9090909090909,55.835,55.08,0.0,1.0743801652892562,38.34710743801653,95.165,97.18,0.0,0.0,0.0,1033.72,1032.81,0.0,0.0,0.0,94.29,94.05,0.0,0.0,0.0,1957725.0
HOSHIARPUR,1411,7.24,8.19,66.97377746279236,99.92912827781714,100.0,34.12,33.71,0.3543586109142452,13.749114103472715,98.44082211197733,1082.08,1084.05,0.0,0.0,0.0,84.0,83.51,0.0,0.0,10.985116938341601,81.12,86.89,0.0,0.0,0.0,94.74,99.2,0.0,0.0,0.0,129.46,128.82,0.0,0.0,0.0,980.24,974.9,0.0,0.0,0.0,83.95,81.86,0.0,0.0,11.693834160170093,1564614.0
JALANDHAR,983,4.25,5.03,91.25127161749745,100.0,100.0,53.74,52.52,0.0,1.2207527975584944,40.38657171922686,1030.6,1031.77,0.0,0.0,0.0,51.93,49.28,0.0,11.088504577822992,45.574771108850456,84.63,85.37,0.0,0.0,0.9155645981688708,87.85,90.69,0.0,0.0,0.0,111.63,113.35,0.0,0.0,0.0,966.51,963.32,0.0,0.0,0.0,42.38,44.68,0.0,10.986775178026448,63.88606307222787,2162051.0
