district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
AJMER,775,15.83,20.69,33.935483870967744,68.51612903225806,91.35483870967742,160.6,164.11,0.0,0.0,0.0,544.63,548.82,0.0,0.0,0.0,116.8,116.6,0.0,0.0,0.0,527.52,528.16,0.0,0.0,0.0,116.96,115.86,0.0,0.0,0.0,394.71,390.36,0.0,0.0,0.0,806.89,805.52,0.0,0.0,0.0,111.39,112.45,0.0,0.0,0.0,2111138.0
ALWAR,1133,8.58,11.22,56.57546337157988,88.4377758164166,100.0,104.57,106.5,0.0,0.0,0.0,745.54,742.84,0.0,0.0,0.0,74.39,74.83,0.0,0.0,6.44307149161518,437.78,438.96,0.0,0.0,0.0,104.99,101.41,0.0,0.0,0.088261253309797,324.81,323.32,0.0,0.0,0.0,654.08,654.58,0.0,0.0,0.0,106.74,100.99,0.0,0.0,0.9708737864077669,2073427.0
BALOTRA,1136,20.04,22.29,28.169014084507044,58.890845070422536,96.21478873239437,221.125,219.02,0.0,0.0,0.0,363.22,361.66,0.0,0.0,0.0,314.755,309.68,0.0,0.0,0.0,618.315,619.31,0.0,0.0,0.0,315.64,310.21,0.0,0.0,0.0,507.575,504.8,0.0,0.0,0.0,1079.69,1074.31,0.0,0.0,0.0,107.515,103.13,0.0,0.0,4.401408450704225,1748290.0
BANSWARA,1547,49.63,47.14,0.19392372333548805,6.658047834518423,50.87265675500969,184.87,187.68,0.0,0.0,0.0,264.19,265.83,0.0,0.0,0.0,157.68,157.66,0.0,0.0,0.0,834.85,833.46,0.0,0.0,0.0,158.46,159.29,0.0,0.0,0.0,172.82,171.96,0.0,0.0,0.0,881.16,880.67,0.0,0.0,0.0,148.6,146.2,0.0,0.0,0.0,1803030.0
BARAN,1225,16.29,18.45,32.0,71.42857142857143,98.93877551020408,112.75,105.64,0.0,0.0,9.387755102040817,546.31,552.69,0.0,0.0,0.0,196.87,192.32,0.0,0.0,0.0,579.46,572.72,0.0,0.0,0.0,217.67,214.23,0.0,0.0,0.0,259.93,260.47,0.0,0.0,0.0,622.47,616.93,0.0,0.0,0.0,98.82,95.66,0.0,0.0,5.387755102040816,1264478.0
BARMER,2099,33.59,36.22,12.10100047641734,37.779895188184845,70.93854216293472,266.95,269.16,0.0,0.0,0.0,293.48,296.95,0.0,0.0,0.0,285.39,288.73,0.0,0.0,0.0,690.65,684.54,0.0,0.0,0.0,302.34,305.41,0.0,0.0,0.0,502.45,504.97,0.0,0.0,0.0,1151.92,1156.49,0.0,0.0,0.0,189.73,191.76,0.0,0.0,0.0,1748290.0
BEAWAR,761,12.79,14.21,38.89618922470434,84.88830486202366,100.0,151.47,149.27,0.0,0.0,0.0,503.61,502.01,0.0,0.0,0.0,175.95,177.09,0.0,0.0,0.0,552.14,552.45,0.0,0.0,0.0,174.93,176.01,0.0,0.0,0.0,394.05,396.52,0.0,0.0,0.0,862.81,863.57,0.0,0.0,0.0,123.25,121.81,0.0,0.0,0.0,897461.0
BHARATPUR,825,5.28,6.51,80.0,100.0,100.0,118.6,118.59,0.0,0.0,0.0,753.37,753.87,0.0,0.0,0.0,117.74,116.02,0.0,0.0,0.0,403.34,401.57,0.0,0.0,0.0,148.25,147.3,0.0,0.0,0.0,374.39,374.5,0.0,0.0,0.0,584.12,584.97,0.0,0.0,0.0,122.88,122.14,0.0,0.0,0.0,1458562.0
BHILWARA,1909,18.93,19.35,24.096385542168676,68.67469879518072,99.9476165531692,227.37,223.52,0.0,0.0,0.0,465.63,465.68,0.0,0.0,0.0,183.8,183.53,0.0,0.0,0.0,617.33,616.97,0.0,0.0,0.0,185.85,185.23,0.0,0.0,0.0,319.75,319.57,0.0,0.0,0.0,812.68,812.57,0.0,0.0,0.0,117.79,111.22,0.0,0.0,1.5191199580932426,2358644.0
BIKANER,955,16.9,26.07,30.78534031413613,64.08376963350786,81.78010471204189,108.01,110.88,0.0,0.8376963350785341,10.052356020942408,632.2,631.48,0.0,0.0,0.0,290.85,295.36,0.0,0.0,0.0,354.92,352.63,0.0,0.0,0.0,288.47,291.32,0.0,0.0,0.0,345.4,341.56,0.0,0.0,0.0,997.14,999.36,0.0,0.0,0.0,200.43,200.53,0.0,0.0,0.0,2381561.0
