village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km,nearest_toll_plaza,dist_toll_plaza_km
Chak Ramdas,KOTPUTLI-BEHROR,131,071778,village,11,0.94,Trans Haryana Expressway,14.74,Kathuwas,1.23,Farukh Nagar,59.1,Dahej Port,794.96,ICD Bawal,25.35,Attari ICP,363.43,Indira Gandhi International Airport (DEL),86.23,MMLP Sangrur,233.27,Varanasi Multi-Modal Terminal,717.24,FCI Depot Delhi (NCR),98.46,REWARI Toll Plaza,2.17
Balahir,KOTPUTLI-BEHROR,131,071787,village,11,3.76,Trans Haryana Expressway,26.67,Pali,3.98,Farukh Nagar,50.14,Dahej Port,800.73,ICD Bawal,14.15,Attari ICP,369.07,Indira Gandhi International Airport (DEL),76.39,MMLP Sangrur,236.08,Varanasi Multi-Modal Terminal,706.29,FCI Depot Delhi (NCR),88.59,REWARI Toll Plaza,9.77
Vijaynagar,KOTPUTLI-BEHROR,131,071797,village,11,3.01,Trans Haryana Expressway,13.36,Kathuwas,4.59,Farukh Nagar,63.68,Dahej Port,789.78,ICD Bawal,26.59,Attari ICP,366.76,Indira Gandhi International Airport (DEL),90.56,MMLP Sangrur,237.54,Varanasi Multi-Modal Terminal,717.23,FCI Depot Delhi (NCR),102.79,REWARI Toll Plaza,6.35
NAGAL,KOTPUTLI-BEHROR,131,071801,village,48,7.87,Trans Haryana Expressway,19.88,Kathuwas,9.44,Farukh Nagar,63.45,Dahej Port,787.67,ICD Bawal,21.52,Attari ICP,373.92,Indira Gandhi International Airport (DEL),89.46,MMLP Sangrur,243.85,Varanasi Multi-Modal Terminal,710.27,FCI Depot Delhi (NCR),101.62,KOTPUTLI-BEHROR Toll Plaza,7.99
Jamalpur,KOTPUTLI-BEHROR,131,071860,village,48,7.3,Trans Haryana Expressway,16.98,Ateli,12.9,Farukh Nagar,74.38,Dahej Port,777.38,ICD Bawal,31.42,Attari ICP,376.66,Indira Gandhi International Airport (DEL),100.43,MMLP Sangrur,249.25,Varanasi Multi-Modal Terminal,715.23,FCI Depot Delhi (NCR),112.58,KOTPUTLI-BEHROR Toll Plaza,11.67
Khatiwas,KOTPUTLI-BEHROR,131,071840,village,48,7.79,Trans Haryana Expressway,16.45,Ateli,12.02,Farukh Nagar,73.49,Dahej Port,778.36,ICD Bawal,30.84,Attari ICP,375.89,Indira Gandhi International Airport (DEL),99.61,MMLP Sangrur,248.33,Varanasi Multi-Modal Terminal,715.35,FCI Depot Delhi (NCR),111.77,KOTPUTLI-BEHROR Toll Plaza,12.39
BIGHANA,KOTPUTLI-BEHROR,131,071857,village,48,3.27,Trans Haryana Expressway,21.0,Ateli,16.4,Farukh Nagar,74.33,Dahej Port,776.46,ICD Bawal,29.74,Attari ICP,380.4,Indira Gandhi International Airport (DEL),99.89,MMLP Sangrur,252.45,Varanasi Multi-Modal Terminal,711.44,FCI Depot Delhi (NCR),111.98,KOTPUTLI-BEHROR Toll Plaza,7.88
MUJRIKHOLA,KHAIRTHAL-TIJARA,104,072033,village,48,8.12,Trans Haryana Expressway,32.65,AJARAKA,16.22,Farukh Nagar,74.09,Dahej Port,775.22,ICD Bawal,26.41,Attari ICP,390.82,Indira Gandhi International Airport (DEL),97.88,MMLP Sangrur,261.14,Varanasi Multi-Modal Terminal,699.93,FCI Depot Delhi (NCR),109.68,KOTPUTLI-BEHROR Toll Plaza,6.59
Kalooka,KHAIRTHAL-TIJARA,104,072030,village,48,12.32,Trans Haryana Expressway,36.98,KHANPUR AHIR,14.55,Farukh Nagar,74.77,Dahej Port,774.52,ICD Bawal,26.74,Attari ICP,394.79,Indira Gandhi International Airport (DEL),97.79,MMLP Sangrur,264.57,Varanasi Multi-Modal Terminal,695.8,FCI Depot Delhi (NCR),109.45,KOTPUTLI-BEHROR Toll Plaza,10.21
BHIWARA,KHAIRTHAL-TIJARA,104,072029,village,48,11.5,Trans Haryana Expressway,36.36,KHANPUR AHIR,13.94,Farukh Nagar,73.59,Dahej Port,775.69,ICD Bawal,25.57,Attari ICP,393.84,Indira Gandhi International Airport (DEL),96.7,MMLP Sangrur,263.47,Varanasi Multi-Modal Terminal,695.99,FCI Depot Delhi (NCR),108.37,KOTPUTLI-BEHROR Toll Plaza,10.27
Shreekrishan Nagar,KHAIRTHAL-TIJARA,104,072044,village,48,18.21,Trans Haryana Expressway,43.16,HARSAULI,11.67,Farukh Nagar,75.75,Dahej Port,773.97,ICD Bawal,27.99,Attari ICP,400.31,Indira Gandhi International Airport (DEL),97.58,MMLP Sangrur,269.28,Varanasi Multi-Modal Terminal,689.76,FCI Depot Delhi (NCR),108.99,KOTPUTLI-BEHROR Toll Plaza,16.16
