village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km,nearest_toll_plaza,dist_toll_plaza_km
Topung,Gyalshing,242,260992,village,510,16.76,19,510.27,Darjeeling,36.93,Budhma,200.54,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,522.37,ICD Siliguri,74.74,Jogbani ICP,135.31,Jay Prakash Narayan International Airport (PAT),353.72,MMLP Jogighopa,268.43,Hatsingimari Ro-Ro Terminal,228.46,FCI Depot Gangtok,13.99,DARJILING Toll Plaza,40.32
Timbrong,Gyalshing,242,260991,village,510,14.5,19,509.28,Darjeeling,35.34,Budhma,201.12,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,521.38,ICD Siliguri,73.11,Jogbani ICP,135.91,Jay Prakash Narayan International Airport (PAT),354.99,MMLP Jogighopa,266.16,Hatsingimari Ro-Ro Terminal,226.27,FCI Depot Gangtok,11.84,DARJILING Toll Plaza,38.8
Melli Aching,Gyalshing,242,260989,village,510,11.86,19,509.41,Darjeeling,34.64,Budhma,203.32,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,521.49,ICD Siliguri,72.2,Jogbani ICP,138.14,Jay Prakash Narayan International Airport (PAT),357.83,MMLP Jogighopa,263.39,Hatsingimari Ro-Ro Terminal,223.93,FCI Depot Gangtok,8.66,DARJILING Toll Plaza,38.19
Melli,Gyalshing,242,260988,village,510,12.62,19,510.52,Darjeeling,35.75,Budhma,204.12,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,522.61,ICD Siliguri,73.29,Jogbani ICP,138.93,Jay Prakash Narayan International Airport (PAT),358.33,MMLP Jogighopa,263.98,Hatsingimari Ro-Ro Terminal,224.72,FCI Depot Gangtok,8.94,DARJILING Toll Plaza,39.3
Thingling II,Gyalshing,242,260987,village,510,12.94,19,511.74,Darjeeling,36.8,Budhma,205.51,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,523.82,ICD Siliguri,74.24,Jogbani ICP,140.32,Lokpriya Gopinath Bordoloi International Airport (GAU),359.43,MMLP Jogighopa,263.93,Hatsingimari Ro-Ro Terminal,224.99,FCI Depot Gangtok,8.65,DARJILING Toll Plaza,40.37
Khechodpalri,Gyalshing,242,260985,village,510,15.18,19,511.38,Darjeeling,37.2,Budhma,203.07,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,523.47,ICD Siliguri,74.91,Jogbani ICP,137.85,Jay Prakash Narayan International Airport (PAT),356.52,MMLP Jogighopa,266.68,Hatsingimari Ro-Ro Terminal,227.24,FCI Depot Gangtok,11.68,DARJILING Toll Plaza,40.69
Tsozo,Gyalshing,242,260984,village,510,16.66,19,514.04,Darjeeling,39.68,Budhma,205.33,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,526.13,ICD Siliguri,77.32,Jogbani ICP,140.11,Jay Prakash Narayan International Airport (PAT),358.19,MMLP Jogighopa,267.64,Hatsingimari Ro-Ro Terminal,228.74,FCI Depot Gangtok,12.33,DARJILING Toll Plaza,43.2
Thingling I,Gyalshing,242,260986,village,510,14.45,19,512.26,Darjeeling,37.64,Budhma,204.85,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,524.35,ICD Siliguri,75.22,Jogbani ICP,139.64,Jay Prakash Narayan International Airport (PAT),358.44,MMLP Jogighopa,265.61,Hatsingimari Ro-Ro Terminal,226.55,FCI Depot Gangtok,10.35,DARJILING Toll Plaza,41.18
Melli Singlitam,Gyalshing,242,260990,village,510,13.31,19,509.17,Darjeeling,34.87,Budhma,201.89,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,521.26,ICD Siliguri,72.58,Jogbani ICP,136.7,Jay Prakash Narayan International Airport (PAT),356.07,MMLP Jogighopa,264.95,Hatsingimari Ro-Ro Terminal,225.21,FCI Depot Gangtok,10.53,DARJILING Toll Plaza,38.37
Gangyap,Gyalshing,242,261011,village,510,10.3,19,513.13,Darjeeling,37.5,Budhma,211.95,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,525.18,ICD Siliguri,73.61,Jogbani ICP,146.85,Lokpriya Gopinath Bordoloi International Airport (GAU),352.43,MMLP Jogighopa,257.42,Hatsingimari Ro-Ro Terminal,219.83,FCI Depot Gangtok,4.77,DARJILING Toll Plaza,41.17
