village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
KUNRATTUR (M),KANCHIPURAM,604,803341,village,48,6.76,Chitoor-Thatchur Expressway,42.58,PALLAVARAM,5.98,Mappedu,11.81,Chennai Port,24.55,ICD Chennai (Tondiarpet),25.61,Petrapole ICP,1429.9,Chennai International Airport (MAA),7.49,MMLP Chennai (Mappedu),25.52,Vijayawada Terminals (Durga Ghat / Bhavani Island),390.86,FCI Depot Chennai,20.99
Sathambadi R.F,ARIYALUR,616,636448,village,36,11.36,716B,235.16,SUNDARAPERUMAL KOVIL,11.44,Uttangal Mangalam,57.03,Karaikal Port,63.61,ICD Salem,141.2,Petrapole ICP,1656.84,Tiruchirappalli International Airport (TRZ),69.4,MMLP Chennai (Mappedu),240.81,Aluva Terminal,338.31,FCI Depot Tiruchirappalli,68.7
Sannasinallur,ARIYALUR,616,636305,village,38,17.7,716B,198.75,ICHCHANGADU,5.24,Uttangal Mangalam,33.02,Karaikal Port,88.34,ICD Salem,116.64,Petrapole ICP,1634.49,Tiruchirappalli International Airport (TRZ),83.74,MMLP Chennai (Mappedu),210.73,Aluva Terminal,340.35,FCI Depot Tiruchirappalli,81.88
Udayarpalayam R.F,ARIYALUR,616,636438,village,81,1.46,716B,220.58,SENDURAI,14.61,Uttangal Mangalam,43.35,Karaikal Port,68.53,ICD Salem,134.24,Petrapole ICP,1645.24,Tiruchirappalli International Airport (TRZ),76.59,MMLP Chennai (Mappedu),227.0,Aluva Terminal,342.54,FCI Depot Tiruchirappalli,75.42
Thirumanur,ARIYALUR,616,636512,village,136,0.28,716B,246.21,PASUPATIKOVIL,11.29,Uttangal Mangalam,75.01,Karaikal Port,81.17,ICD Salem,131.91,Petrapole ICP,1677.39,Tiruchirappalli International Airport (TRZ),47.31,MMLP Coimbatore,236.19,Aluva Terminal,316.8,FCI Depot Tiruchirappalli,46.77
Silumbur (North),ARIYALUR,616,636339,village,532,14.79,716B,199.17,ICHCHANGADU,7.99,Uttangal Mangalam,23.13,Karaikal Port,78.0,ICD Salem,129.2,Petrapole ICP,1626.32,Tiruchirappalli International Airport (TRZ),92.68,MMLP Chennai (Mappedu),205.67,Aluva Terminal,352.61,FCI Depot Tiruchirappalli,91.06
Kodangudi (North),ARIYALUR,616,636407,village,81,7.67,716B,227.34,TIRUVIDAIMARUTHUR,17.14,Uttangal Mangalam,46.18,Karaikal Port,56.18,ICD Salem,146.59,Petrapole ICP,1643.45,Tiruchirappalli International Airport (TRZ),82.88,MMLP Chennai (Mappedu),229.37,Aluva Terminal,351.09,FCI Depot Tiruchirappalli,82.06
SRIRAMAN,ARIYALUR,616,636335,village,532,12.29,716B,197.11,VRIDDHACHALM TN,14.34,Uttangal Mangalam,15.93,Karaikal Port,73.28,ICD Salem,137.54,Petrapole ICP,1618.19,Tiruchirappalli International Airport (TRZ),101.6,MMLP Chennai (Mappedu),199.72,Aluva Terminal,362.5,FCI Depot Tiruchirappalli,100.09
GOVINDAPURAM,ARIYALUR,616,636456,village,136,3.92,716B,217.75,OTTAKOVIL,4.35,Uttangal Mangalam,52.84,Karaikal Port,88.37,ICD Salem,114.82,Petrapole ICP,1655.56,Tiruchirappalli International Airport (TRZ),62.87,MMLP Chennai (Mappedu),232.05,Aluva Terminal,324.12,FCI Depot Tiruchirappalli,61.16
KALLANKURICHI,ARIYALUR,616,636457,village,136,3.65,716B,221.23,ARIYALUR,5.27,Uttangal Mangalam,53.28,Karaikal Port,84.1,ICD Salem,119.38,Petrapole ICP,1656.42,Tiruchirappalli International Airport (TRZ),62.6,MMLP Chennai (Mappedu),234.04,Aluva Terminal,325.97,FCI Depot Tiruchirappalli,61.07
UNJINI,ARIYALUR,616,636326,village,81,10.43,716B,213.97,SENDURAI,4.98,Uttangal Mangalam,41.44,Karaikal Port,77.84,ICD Salem,124.99,Petrapole ICP,1644.61,Tiruchirappalli International Airport (TRZ),74.82,MMLP Chennai (Mappedu),223.57,Aluva Terminal,337.76,FCI Depot Tiruchirappalli,73.33
Siluvaicheri R.F,ARIYALUR,616,636427,village,81,16.18,716B,201.53,ICHCHANGADU,14.66,Uttangal Mangalam,21.43,Karaikal Port,71.96,ICD Salem,135.95,Petrapole ICP,1623.78,Tiruchirappalli International Airport (TRZ),96.22,MMLP Chennai (Mappedu),205.18,Aluva Terminal,358.04,FCI Depot Tiruchirappalli,94.75
THIRUKALAPPUR,ARIYALUR,616,636347,village,36,6.7,716B,207.05,ICHCHANGADU,24.4,Uttangal Mangalam,24.42,Karaikal Port,62.44,ICD Salem,145.81,Petrapole ICP,1621.88,Tiruchirappalli International Airport (TRZ),100.47,MMLP Chennai (Mappedu),206.78,Aluva Terminal,364.91,FCI Depot Tiruchirappalli,99.23
Vetriyur,ARIYALUR,616,636496,village,136,0.32,716B,241.77,KALLAGAM,10.49,Uttangal Mangalam,72.02,Karaikal Port,83.23,ICD Salem,127.72,Petrapole ICP,1674.87,Tiruchirappalli International Airport (TRZ),47.62,MMLP Coimbatore,234.16,Aluva Terminal,316.31,FCI Depot Tiruchirappalli,46.79
