district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,census2011_population
ADILABAD,505,21.24,21.26,20.792079207920793,62.97029702970297,99.4059405940594,176.55,176.65,0.0,0.0,0.0,525.63,523.58,0.0,0.0,0.0,175.65,176.65,0.0,0.0,0.0,989.1,989.8,0.0,0.0,0.0,699201.0
BHADRADRI KOTHAGUDEM,382,16.29,20.19,18.848167539267017,76.17801047120419,93.45549738219894,254.275,247.87,0.0,0.0,0.0,251.12,254.94,0.0,0.0,0.0,242.7,239.94,0.0,0.0,0.0,999.925,1007.51,0.0,0.0,0.0,1294266.0
HANUMAKONDA,144,12.095,12.42,37.5,99.30555555555556,100.0,136.505,133.61,0.0,0.0,0.0,384.225,385.33,0.0,0.0,0.0,154.07999999999998,150.83,0.0,0.0,0.0,1087.675,1089.85,0.0,0.0,0.0,492563.0
HYDERABAD,17,1.59,2.04,100.0,100.0,100.0,7.11,6.98,70.58823529411765,100.0,100.0,387.01,386.85,0.0,0.0,0.0,19.07,19.03,0.0,94.11764705882352,100.0,1203.5,1203.94,0.0,0.0,0.0,3269292.0
JAGTIAL,295,49.64,48.16,0.0,6.101694915254238,50.847457627118644,159.01,158.03,0.0,0.0,0.0,466.4,467.73,0.0,0.0,0.0,182.9,182.02,0.0,0.0,0.0,1043.7,1043.72,0.0,0.0,0.0,926412.0
JANGOAN,176,12.6,13.37,38.06818181818182,88.63636363636364,100.0,92.15,90.88,0.0,0.0,0.0,395.6,394.34,0.0,0.0,0.0,106.85,105.78,0.0,0.0,0.0,1134.05,1133.53,0.0,0.0,0.0,600032.0
JAYASHANKAR BHUPALPALLI,223,44.69,44.46,0.0,19.282511210762333,60.53811659192825,193.46,187.73,0.0,0.0,0.0,361.66,359.74,0.0,0.0,0.0,212.36,206.43,0.0,0.0,0.0,1030.33,1035.22,0.0,0.0,0.0,911861.0
JOGULAMBA GADWAL,199,12.05,13.51,41.70854271356784,93.46733668341709,100.0,168.93,168.7,0.0,0.0,0.0,320.39,318.9,0.0,0.0,0.0,145.59,145.67,0.0,0.0,0.0,1361.78,1363.73,0.0,0.0,0.0,587446.0
KAMAREDDY,465,26.75,25.44,17.634408602150536,44.516129032258064,100.0,109.06,110.21,0.0,0.0,0.0,493.38,492.27,0.0,0.0,0.0,129.47,130.32,0.0,0.0,0.0,1132.75,1132.91,0.0,0.0,0.0,1233156.0
KARIMNAGAR,210,24.369999999999997,23.84,17.61904761904762,51.90476190476191,100.0,132.155,131.16,0.0,0.0,0.0,426.0,423.97,0.0,0.0,0.0,153.73,152.92,0.0,0.0,0.0,1072.7649999999999,1073.28,0.0,0.0,0.0,700317.0
KHAMMAM,368,13.625,16.88,40.21739130434783,74.45652173913044,99.72826086956522,197.225,197.13,0.0,0.0,0.0,305.54499999999996,302.76,0.0,0.0,0.0,199.04500000000002,199.2,0.0,0.0,0.0,1090.435,1086.72,0.0,0.0,0.0,771379.0
KUMURAM BHEEM,432,21.075000000000003,23.5,20.60185185185185,58.333333333333336,97.45370370370371,193.16,194.29,0.0,0.0,0.0,440.055,436.89,0.0,0.0,0.0,192.35500000000002,193.98,0.0,0.0,0.0,969.945,969.17,0.0,0.0,0.0,789014.0
MAHABUBABAD,291,19.07,20.16,27.835051546391753,60.13745704467354,99.3127147766323,162.61,159.54,0.0,0.0,0.0,337.08,339.31,0.0,0.0,0.0,171.36,168.75,0.0,0.0,0.0,1084.73,1084.29,0.0,0.0,0.0,1230836.0
MAHABUBNAGAR,298,8.805,10.54,57.04697986577181,93.95973154362416,100.0,92.925,93.02,0.0,0.0,0.0,357.295,358.62,0.0,0.0,0.0,74.025,71.97,0.0,0.0,15.100671140939598,1287.01,1289.24,0.0,0.0,0.0,504949.0
MANCHERIAL,376,23.055,23.84,19.148936170212767,53.98936170212766,97.87234042553192,203.63,202.56,0.0,0.0,0.0,406.655,410.41,0.0,0.0,0.0,217.975,218.88,0.0,0.0,0.0,1000.695,1000.14,0.0,0.0,0.0,915556.0
MEDAK,370,17.39,19.96,32.972972972972975,64.86486486486487,100.0,62.125,61.21,0.0,0.0,28.10810810810811,451.565,451.08,0.0,0.0,0.0,83.81,82.15,0.0,0.0,0.2702702702702703,1162.285,1160.1,0.0,0.0,0.0,887730.0
MEDCHAL_MALKAJGIRI,89,6.42,8.38,69.66292134831461,100.0,100.0,22.15,21.55,6.741573033707865,71.91011235955057,100.0,400.11,398.44,0.0,0.0,0.0,42.86,41.73,0.0,1.1235955056179776,86.51685393258427,1181.32,1182.35,0.0,0.0,0.0,654829.0
MULUGU,343,54.69,55.82,0.0,0.2915451895043732,34.98542274052478,227.81,221.82,0.0,0.0,0.0,301.54,302.94,0.0,0.0,0.0,243.36,236.63,0.0,0.0,0.0,1001.42,1008.75,0.0,0.0,0.0,1417147.0
NAGARKURNOOL,348,44.465,44.26,0.8620689655172413,11.206896551724139,62.06896551724138,110.155,111.11,0.0,0.0,0.0,298.83500000000004,300.55,0.0,0.0,0.0,86.64,87.79,0.0,0.0,1.1494252873563218,1288.9,1289.21,0.0,0.0,0.0,1418001.0
NALGONDA,553,20.8,25.2,23.869801084990957,58.40867992766727,88.78842676311031,100.11,100.19,0.0,0.0,0.0,307.53,309.14,0.0,0.0,0.0,91.6,91.72,0.0,0.0,1.8083182640144666,1194.37,1197.87,0.0,0.0,0.0,1831916.0
NARAYANPET,246,25.825,24.54,7.723577235772358,47.5609756097561,100.0,127.005,127.78,0.0,0.0,0.0,381.12,379.58,0.0,0.0,0.0,108.7,109.94,0.0,0.0,0.0,1316.2199999999998,1316.07,0.0,0.0,0.0,538952.0
NIRMAL,424,31.125,34.5,7.547169811320755,35.613207547169814,76.17924528301887,182.10500000000002,183.12,0.0,0.0,0.0,520.415,519.16,0.0,0.0,0.0,204.725,205.28,0.0,0.0,0.0,1047.72,1048.06,0.0,0.0,0.0,654829.0
NIZAMABAD,437,13.16,16.64,38.672768878718536,75.28604118993135,100.0,144.52,143.65,0.0,0.0,0.0,518.13,518.05,0.0,0.0,0.0,166.21,165.96,0.0,0.0,0.0,1088.52,1088.81,0.0,0.0,0.0,1375277.0
PEDDAPALLI,204,12.379999999999999,13.75,41.66666666666667,88.72549019607843,100.0,164.87,164.32,0.0,0.0,0.0,404.885,404.87,0.0,0.0,0.0,186.92000000000002,185.87,0.0,0.0,0.0,1041.0700000000002,1041.83,0.0,0.0,0.0,717880.0
RAJANNA SIRCILLA,165,45.99,42.67,0.0,6.0606060606060606,69.6969696969697,110.43,109.84,0.0,0.0,0.0,468.72,468.09,0.0,0.0,0.0,134.51,133.83,0.0,0.0,0.0,1090.57,1090.81,0.0,0.0,0.0,617097.0
RANGA REDDY,466,15.21,17.96,32.40343347639485,75.32188841201717,97.63948497854076,43.585,44.24,0.0,7.939914163090128,65.23605150214593,369.405,368.35,0.0,0.0,0.0,30.705,29.85,5.793991416309012,32.83261802575107,95.70815450643777,1233.91,1234.37,0.0,0.0,0.0,2419911.0
SANGAREDDY,583,19.94,21.13,18.353344768439108,62.778730703259,100.0,79.69,74.24,0.0,4.631217838765009,24.528301886792452,455.79,455.5,0.0,0.0,0.0,88.49,86.23,0.0,0.0,12.178387650085764,1191.77,1191.56,0.0,0.0,0.0,1415084.0
SIDDIPET,373,29.12,29.29,4.021447721179625,36.46112600536193,96.7828418230563,72.95,70.95,0.0,0.0,19.839142091152816,429.55,431.04,0.0,0.0,0.0,95.2,93.64,0.0,0.0,0.0,1129.01,1130.42,0.0,0.0,0.0,822585.0
SURYAPET,270,31.85,30.13,2.9629629629629632,28.14814814814815,100.0,138.515,139.6,0.0,0.0,0.0,315.45,316.81,0.0,0.0,0.0,139.055,139.89,0.0,0.0,0.0,1138.19,1138.92,0.0,0.0,0.0,909159.0
VIKARABAD,497,9.68,11.69,50.905432595573444,91.75050301810866,100.0,78.58,80.26,0.0,0.0,2.414486921529175,415.94,414.65,0.0,0.0,0.0,72.24,73.39,0.0,0.0,8.853118712273641,1252.34,1250.8,0.0,0.0,0.0,2400971.0
WANAPARTHY,224,17.104999999999997,17.37,24.553571428571427,79.01785714285714,100.0,135.41,134.42,0.0,0.0,0.0,319.375,318.66,0.0,0.0,0.0,112.28,110.89,0.0,0.0,0.0,1332.63,1330.39,0.0,0.0,0.0,505876.0
WARANGAL,172,12.75,13.41,39.53488372093023,90.69767441860465,100.0,145.95,144.04,0.0,0.0,0.0,359.995,361.4,0.0,0.0,0.0,159.12,157.23,0.0,0.0,0.0,1087.01,1088.48,0.0,0.0,0.0,500901.0
YADADRI BHUVANAGIRI,310,11.61,12.93,42.25806451612903,90.96774193548387,100.0,55.175,56.49,0.0,0.0,38.387096774193544,371.985,373.56,0.0,0.0,0.0,64.995,66.12,0.0,0.0,20.967741935483872,1172.65,1173.65,0.0,0.0,0.0,915556.0
__STATE__,10455,,22.126878425442033,23.806791009086563,58.842659014825436,91.64036346245815,,115.77522001572231,0.1721664275466284,1.3868962219033953,8.244858919177426,,388.50766613986997,0.0,0.0,0.0,,121.14305797532496,0.2582496413199426,1.6260162601626018,7.4605451936872305,,1145.6818584805412,0.0,0.0,0.0,34929981.0
