village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
Tamsi-B,ADILABAD,532,568972,village,44,7.75,Solapur–Chennai Economic Corridor,385.53,UMRAM,3.91,Jankampet,114.75,Visakhapatnam Port,543.88,ICD Nagpur (MIHAN),165.67,Sunauli ICP,982.37,Dr. Babasaheb Ambedkar International Airport (NAG),164.77,MMLP Nagpur (Sindi),109.84,Vedadri Terminal,363.95,FCI Depot Nagpur,171.78
Kuchalapoor,ADILABAD,532,569123,village,161A,15.24,Solapur–Chennai Economic Corridor,382.78,KOSAI,5.7,Jankampet,111.7,Visakhapatnam Port,551.87,ICD Nagpur (MIHAN),169.64,Rupaidiha ICP,985.85,Dr. Babasaheb Ambedkar International Airport (NAG),168.74,MMLP Nagpur (Sindi),113.94,Vedadri Terminal,368.47,FCI Depot Nagpur,175.81
Kandli,ADILABAD,532,569666,village,7,6.61,Solapur–Chennai Economic Corridor,357.31,BODHADI BUJRUG,21.05,Jankampet,87.03,Visakhapatnam Port,537.07,ICD Nagpur (MIHAN),193.39,Sunauli ICP,1008.84,Dr. Babasaheb Ambedkar International Airport (NAG),192.49,MMLP Nagpur (Sindi),137.59,Vedadri Terminal,342.68,FCI Depot Nagpur,199.43
Danthanpalle,ADILABAD,532,569590,village,61,35.56,Solapur–Chennai Economic Corridor,361.73,ADILABAD,49.58,Ramagundam,87.24,Visakhapatnam Port,489.91,ICD Nagpur (MIHAN),194.84,Sunauli ICP,998.35,Dr. Babasaheb Ambedkar International Airport (NAG),193.96,MMLP Nagpur (Sindi),141.86,Vedadri Terminal,307.28,FCI Depot Nagpur,200.26
Gundi,ADILABAD,532,569625,village,44,4.18,Solapur–Chennai Economic Corridor,352.86,TALMADUGU,31.29,Jankampet,84.56,Visakhapatnam Port,525.74,ICD Nagpur (MIHAN),197.62,Sunauli ICP,1011.01,Dr. Babasaheb Ambedkar International Airport (NAG),196.72,MMLP Nagpur (Sindi),142.07,Vedadri Terminal,331.05,FCI Depot Nagpur,203.54
Kupti (Khurd),ADILABAD,532,569712,village,44,0.43,Solapur–Chennai Economic Corridor,350.97,BODHADI BUJRUG,29.17,Jankampet,81.91,Visakhapatnam Port,529.51,ICD Nagpur (MIHAN),199.47,Sunauli ICP,1013.57,Dr. Babasaheb Ambedkar International Airport (NAG),198.57,MMLP Nagpur (Sindi),143.81,Vedadri Terminal,333.01,FCI Depot Nagpur,205.44
Kumari,ADILABAD,532,569713,village,44,2.57,Solapur–Chennai Economic Corridor,350.37,BODHADI BUJRUG,26.45,Jankampet,80.78,Visakhapatnam Port,532.46,ICD Nagpur (MIHAN),200.12,Sunauli ICP,1014.73,Dr. Babasaheb Ambedkar International Airport (NAG),199.22,MMLP Nagpur (Sindi),144.39,Vedadri Terminal,335.06,FCI Depot Nagpur,206.12
Jhari,ADILABAD,532,569137,village,44,13.02,Solapur–Chennai Economic Corridor,374.03,KOSAI,4.94,Jankampet,103.08,Visakhapatnam Port,546.05,ICD Nagpur (MIHAN),177.51,Sunauli ICP,994.37,Dr. Babasaheb Ambedkar International Airport (NAG),176.61,MMLP Nagpur (Sindi),121.7,Vedadri Terminal,359.12,FCI Depot Nagpur,183.64
Devapur,ADILABAD,532,569140,village,44,4.11,Solapur–Chennai Economic Corridor,377.22,UMRAM,5.89,Jankampet,106.89,Visakhapatnam Port,537.87,ICD Nagpur (MIHAN),173.47,Sunauli ICP,989.27,Dr. Babasaheb Ambedkar International Airport (NAG),172.57,MMLP Nagpur (Sindi),117.67,Vedadri Terminal,354.62,FCI Depot Nagpur,179.52
Arli (Khurd),ADILABAD,532,569139,village,44,6.79,Solapur–Chennai Economic Corridor,377.54,TALMADUGU,3.96,Jankampet,106.96,Visakhapatnam Port,540.59,ICD Nagpur (MIHAN),173.37,Sunauli ICP,989.57,Dr. Babasaheb Ambedkar International Airport (NAG),172.47,MMLP Nagpur (Sindi),117.54,Vedadri Terminal,356.89,FCI Depot Nagpur,179.45
