village,district,district_code,village_code,unit,nearest_nh,dist_nh_km,nearest_expressway,dist_expressway_km,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
Uttar Chelagang,Gomati,654,272180,village,208,1.49,Belghoria Expressway,343.23,Teliamura,47.16,Bihara,192.39,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,353.25,ICD Amingaon,298.17,Sabroom ICP,34.81,Lokpriya Gopinath Bordoloi International Airport (GAU),290.39,MMLP Silchar,185.42,Karimganj Terminal,168.84,FCI Depot Agartala,60.4
Tairbhuma,Gomati,654,272176,village,208,5.89,Belghoria Expressway,338.28,Teliamura,46.46,Bihara,195.03,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,348.33,ICD Amingaon,298.19,Sabroom ICP,35.21,Lokpriya Gopinath Bordoloi International Airport (GAU),290.25,MMLP Silchar,188.4,Karimganj Terminal,170.85,FCI Depot Agartala,56.97
Dalak,Gomati,654,272172,village,208,1.67,Belghoria Expressway,344.42,Teliamura,40.28,Bihara,186.72,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,354.62,ICD Amingaon,291.23,Sabroom ICP,41.74,Lokpriya Gopinath Bordoloi International Airport (GAU),283.44,MMLP Silchar,180.09,Karimganj Terminal,162.64,FCI Depot Agartala,55.27
Paschim Daluma,Gomati,654,272178,village,208,1.21,Belghoria Expressway,342.6,Teliamura,43.84,Bihara,190.44,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,352.7,ICD Amingaon,295.04,Sabroom ICP,37.96,Lokpriya Gopinath Bordoloi International Airport (GAU),287.22,MMLP Silchar,183.71,Karimganj Terminal,166.51,FCI Depot Agartala,57.19
Purba Daluma,Gomati,654,272179,village,208,1.88,Belghoria Expressway,346.34,Teliamura,44.19,Bihara,188.12,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,356.44,ICD Amingaon,294.6,Sabroom ICP,38.45,Lokpriya Gopinath Bordoloi International Airport (GAU),286.9,MMLP Silchar,181.14,Karimganj Terminal,164.63,FCI Depot Agartala,59.6
Rangkang,Gomati,654,272173,village,208,1.9,Belghoria Expressway,339.94,Teliamura,41.1,Bihara,190.26,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,350.12,ICD Amingaon,292.77,Sabroom ICP,40.53,Lokpriya Gopinath Bordoloi International Airport (GAU),284.83,MMLP Silchar,183.85,Karimganj Terminal,165.76,FCI Depot Agartala,53.22
Paharpur,Gomati,654,272171,village,208,2.77,Belghoria Expressway,346.3,Teliamura,41.34,Bihara,186.13,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,356.46,ICD Amingaon,291.84,Sabroom ICP,41.17,Lokpriya Gopinath Bordoloi International Airport (GAU),284.11,MMLP Silchar,179.33,Karimganj Terminal,162.37,FCI Depot Agartala,57.24
Rajkang,Gomati,654,272174,village,208,1.8,Belghoria Expressway,338.42,Teliamura,39.21,Bihara,189.91,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,348.66,ICD Amingaon,291.07,Sabroom ICP,42.53,Lokpriya Gopinath Bordoloi International Airport (GAU),283.07,MMLP Silchar,183.72,Karimganj Terminal,165.05,FCI Depot Agartala,50.57
Amarpur,Gomati,654,922861,village,208,0.2,Belghoria Expressway,340.16,Teliamura,37.34,Bihara,187.56,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,350.44,ICD Amingaon,289.07,Srimantapur ICP,42.96,Lokpriya Gopinath Bordoloi International Airport (GAU),281.12,MMLP Silchar,181.38,Karimganj Terminal,162.72,FCI Depot Agartala,50.11
Paschim Malbassa,Gomati,654,272169,village,208,2.47,Belghoria Expressway,343.96,Teliamura,38.34,Bihara,185.71,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,354.2,ICD Amingaon,289.45,Sabroom ICP,43.55,Lokpriya Gopinath Bordoloi International Airport (GAU),281.63,MMLP Silchar,179.23,Karimganj Terminal,161.39,FCI Depot Agartala,53.39
Birganj,Gomati,654,272168,village,208,2.13,Belghoria Expressway,342.52,Teliamura,36.54,Bihara,185.47,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,352.81,ICD Amingaon,287.97,Srimantapur ICP,43.29,Lokpriya Gopinath Bordoloi International Airport (GAU),280.08,MMLP Silchar,179.2,Karimganj Terminal,160.82,FCI Depot Agartala,50.99
Purba Malbassa,Gomati,654,272170,village,208,5.5,Belghoria Expressway,347.21,Teliamura,37.62,Bihara,182.88,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,357.46,ICD Amingaon,287.99,Sabroom ICP,45.01,Lokpriya Gopinath Bordoloi International Airport (GAU),280.27,MMLP Silchar,176.27,Karimganj Terminal,158.85,FCI Depot Agartala,54.78
Rangamati,Gomati,654,272166,village,208,0.04,Belghoria Expressway,340.27,Teliamura,35.05,Bihara,185.96,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,350.6,ICD Amingaon,286.82,Srimantapur ICP,40.8,Lokpriya Gopinath Bordoloi International Airport (GAU),278.85,MMLP Silchar,179.93,Karimganj Terminal,160.9,FCI Depot Agartala,48.21
Debbari,Gomati,654,272165,village,208,1.54,Belghoria Expressway,338.15,Teliamura,35.05,Bihara,187.28,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,348.49,ICD Amingaon,287.0,Srimantapur ICP,39.74,Lokpriya Gopinath Bordoloi International Airport (GAU),278.95,MMLP Silchar,181.39,Karimganj Terminal,161.98,FCI Depot Agartala,46.7
Bampur,Gomati,654,272164,village,208,1.24,Belghoria Expressway,340.69,Teliamura,32.65,Bihara,184.12,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,351.07,ICD Amingaon,284.44,Srimantapur ICP,38.71,Lokpriya Gopinath Bordoloi International Airport (GAU),276.46,MMLP Silchar,178.22,Karimganj Terminal,158.87,FCI Depot Agartala,46.49
Gungia,Gomati,654,272167,village,208,5.33,Belghoria Expressway,345.68,Teliamura,34.1,Bihara,181.64,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,356.01,ICD Amingaon,284.99,Srimantapur ICP,42.49,Lokpriya Gopinath Bordoloi International Airport (GAU),277.18,MMLP Silchar,175.34,Karimganj Terminal,157.09,FCI Depot Agartala,51.07
Kamalaipara,Gomati,654,272201,village,208,1.33,Belghoria Expressway,338.36,Teliamura,31.63,Bihara,184.91,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,348.79,ICD Amingaon,283.6,Srimantapur ICP,36.45,Lokpriya Gopinath Bordoloi International Airport (GAU),275.53,MMLP Silchar,179.24,Karimganj Terminal,159.27,FCI Depot Agartala,43.86
Paschim Sarbong,Gomati,654,272163,village,208,3.01,Belghoria Expressway,343.22,Teliamura,30.66,Bihara,181.14,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,353.64,ICD Amingaon,282.17,Srimantapur ICP,38.15,Lokpriya Gopinath Bordoloi International Airport (GAU),274.26,MMLP Silchar,175.23,Karimganj Terminal,155.97,FCI Depot Agartala,46.69
Purba Sarbong,Gomati,654,272162,village,208,4.76,Belghoria Expressway,345.68,Teliamura,29.83,Bihara,178.85,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,356.11,ICD Amingaon,280.87,Srimantapur ICP,38.66,Lokpriya Gopinath Bordoloi International Airport (GAU),273.03,MMLP Silchar,172.85,Karimganj Terminal,153.86,FCI Depot Agartala,47.77
Sonachhara,Gomati,654,272199,village,208,0.31,Belghoria Expressway,340.41,Teliamura,29.96,Bihara,182.55,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,350.87,ICD Amingaon,281.84,Srimantapur ICP,35.97,Lokpriya Gopinath Bordoloi International Airport (GAU),273.82,MMLP Silchar,176.87,Karimganj Terminal,156.99,FCI Depot Agartala,44.03
Dakshin Chhangang,Gomati,654,272200,village,208,1.88,Belghoria Expressway,339.37,Teliamura,27.98,Bihara,181.96,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,349.88,ICD Amingaon,279.96,Srimantapur ICP,33.44,Lokpriya Gopinath Bordoloi International Airport (GAU),271.89,MMLP Silchar,176.49,Karimganj Terminal,156.06,FCI Depot Agartala,41.55
Chenchua,Gomati,654,272197,village,208,0.65,Belghoria Expressway,342.47,Teliamura,25.77,Bihara,178.57,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,353.01,ICD Amingaon,277.55,Srimantapur ICP,33.23,Lokpriya Gopinath Bordoloi International Airport (GAU),269.56,MMLP Silchar,173.05,Karimganj Terminal,152.8,FCI Depot Agartala,42.3
