district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,toll_plaza_median_km,toll_plaza_mean_km,toll_plaza_within_10km_pct,toll_plaza_within_25km_pct,toll_plaza_within_50km_pct,census2011_population
AMBEDKAR NAGAR,1703,4.77,5.22,89.13681738109219,100.0,100.0,120.72,119.84,0.0,0.0,0.0,14.25,17.17,30.47563123899002,72.87140340575455,100.0,54.1,53.95,0.0,0.0,37.75689958896066,701.51,701.44,0.0,0.0,0.0,175.43,176.18,0.0,0.0,0.0,134.55,136.43,0.0,0.0,0.0,109.83,109.38,0.0,0.0,0.0,125.46,125.59,0.0,0.0,0.0,125.46,125.59,0.0,0.0,0.0,78.86,77.95,0.0,0.0,2.9359953024075165,19.66,19.46,9.16030534351145,76.74691720493247,100.0,2363239.0
Agra,951,7.43,9.0,59.62145110410094,99.15878023133544,100.0,176.34,183.91,0.0,0.0,0.0,9.43,10.89,52.6813880126183,95.3732912723449,100.0,80.99,84.32,0.0,0.0,2.5236593059936907,805.77,802.76,0.0,0.0,0.0,92.16,95.26,0.0,0.0,0.0,332.53,334.95,0.0,0.0,0.0,185.52,189.59,0.0,0.0,0.0,405.35,410.51,0.0,0.0,0.0,518.26,513.31,0.0,0.0,0.0,92.44,95.45,0.0,0.0,0.0,11.63,12.77,40.16824395373291,92.84963196635121,100.0,4381442.0
Aligarh,1169,6.72,8.11,66.55260906757913,100.0,100.0,113.27,110.08,0.0,0.0,0.0,11.96,12.74,41.06073567151412,96.74935842600513,100.0,58.01,56.03,0.0,0.8554319931565441,30.453378956372966,870.79,872.09,0.0,0.0,0.0,87.91,84.12,0.0,0.0,6.41573994867408,308.75,305.88,0.0,0.0,0.0,121.69,118.99,0.0,0.0,0.0,334.77,332.13,0.0,0.0,0.0,554.45,555.69,0.0,0.0,0.0,96.29,95.64,0.0,0.0,0.0,14.05,14.05,25.748502994011975,97.0059880239521,100.0,3586451.0
Amethi,992,2.855,3.58,96.57258064516128,100.0,100.0,77.28,77.47,0.0,0.0,0.6048387096774194,5.93,6.29,84.97983870967742,100.0,100.0,66.61500000000001,65.97,0.0,0.0,21.572580645161292,774.785,775.54,0.0,0.0,0.0,95.13499999999999,94.56,0.0,0.0,0.0,210.57,211.18,0.0,0.0,0.0,94.33500000000001,92.49,0.0,0.0,0.0,165.055,165.6,0.0,0.0,0.0,165.055,165.6,0.0,0.0,0.0,95.225,94.44,0.0,0.0,0.0,14.47,14.53,20.866935483870968,96.9758064516129,100.0,1348775.0
Amroha,1079,11.13,11.98,45.78313253012048,93.51251158480073,100.0,101.84,102.27,0.0,0.0,0.0,7.82,9.63,62.3725671918443,96.9416126042632,100.0,74.28,72.91,0.0,0.0,2.4096385542168677,966.64,964.37,0.0,0.0,0.0,44.87,43.36,0.0,11.584800741427248,66.72845227062095,280.04,280.15,0.0,0.0,0.0,122.82,124.75,0.0,0.0,0.0,285.34,284.92,0.0,0.0,0.0,590.79,590.55,0.0,0.0,0.0,56.77,57.86,0.0,0.0,27.15477293790547,15.82,16.71,18.999073215940683,85.07877664504171,100.0,1746092.0
Auraiya,849,6.8,7.54,67.49116607773851,100.0,100.0,211.19,211.99,0.0,0.0,0.0,13.24,13.45,36.39575971731448,95.28857479387514,100.0,129.16,127.83,0.0,0.0,0.0,874.95,875.79,0.0,0.0,0.0,88.46,88.34,0.0,0.0,0.0,254.25,252.31,0.0,0.0,0.0,140.84,140.23,0.0,0.0,0.0,374.34,374.25,0.0,0.0,0.0,374.34,374.25,0.0,0.0,0.0,88.91,88.79,0.0,0.0,0.0,25.55,24.68,9.305064782096583,48.409893992932865,99.76442873969376,1363331.0
Ayodhya,1185,4.35,4.89,90.71729957805907,100.0,100.0,117.53,117.05,0.0,0.0,0.0,6.36,7.43,74.0928270042194,100.0,100.0,59.68,58.53,0.0,0.0,24.81012658227848,765.73,768.05,0.0,0.0,0.0,110.12,107.64,0.0,0.0,0.0,166.52,165.6,0.0,0.0,0.0,114.33,110.33,0.0,0.0,0.0,170.32,172.43,0.0,0.0,0.0,170.32,172.43,0.0,0.0,0.0,103.46,100.05,0.0,0.0,0.0,16.96,16.48,14.430379746835442,96.54008438818565,100.0,2375527.0
Azamgarh,4010,5.9350000000000005,6.89,69.8004987531172,100.0,100.0,116.21000000000001,116.27,0.0,0.0,0.0,12.094999999999999,13.07,39.72568578553616,90.47381546134663,100.0,79.315,79.89,0.0,0.0,1.2219451371571073,645.41,646.57,0.0,0.0,0.0,202.695,201.55,0.0,0.0,0.0,156.44,157.31,0.0,0.0,0.0,71.5,71.32,0.0,0.0,15.261845386533665,83.955,82.69,0.0,0.0,6.907730673316709,83.955,82.69,0.0,0.0,6.907730673316709,68.595,67.74,0.0,0.0,9.152119700748129,22.075,21.48,12.793017456359102,64.08977556109726,100.0,4541835.0
Baghpat,333,3.86,4.48,91.29129129129129,100.0,100.0,7.38,7.55,65.16516516516516,100.0,100.0,6.66,7.32,68.76876876876878,100.0,100.0,28.56,28.53,4.504504504504505,35.73573573573574,98.1981981981982,926.66,927.02,0.0,0.0,0.0,32.59,33.04,3.903903903903904,30.630630630630627,87.68768768768768,343.07,342.64,0.0,0.0,0.0,57.39,57.57,0.0,0.0,30.03003003003003,192.1,191.73,0.0,0.0,0.0,683.23,683.93,0.0,0.0,0.0,33.78,33.89,0.0,5.405405405405405,100.0,10.79,10.72,42.34234234234234,100.0,100.0,1292233.0
Bahraich,1386,5.53,7.01,73.66522366522366,100.0,100.0,209.195,215.77,0.0,0.0,0.0,8.45,10.46,57.287157287157285,96.82539682539682,100.0,80.64,82.64,0.0,0.0,8.080808080808081,862.015,865.41,0.0,0.0,0.0,101.32499999999999,102.46,0.0,0.0,0.0,97.86,92.78,0.36075036075036077,2.1645021645021645,9.956709956709958,112.28999999999999,113.47,0.0,0.0,0.0,278.125,283.38,0.0,0.0,0.0,278.125,283.38,0.0,0.0,0.0,101.82,102.95,0.0,0.0,0.0,27.905,29.14,9.37950937950938,40.115440115440116,91.991341991342,3587503.0
