village,district,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Daulatpur Tigri(M.S.T),Moradabad,114735,village,KANTH,9.28,ICD Moradabad,27.32,Dahej Port,1008.18,Indira Gandhi International Airport (DEL),165.41,Rupaidiha ICP,252.31
Hasanghari,Moradabad,114817,village,MATLABPUR,6.6,ICD Moradabad,20.96,Dahej Port,1002.98,Indira Gandhi International Airport (DEL),163.15,Rupaidiha ICP,250.53
Fareedpur Bhaidi,Moradabad,114819,village,MATLABPUR,3.74,ICD Moradabad,19.0,Dahej Port,999.76,Indira Gandhi International Airport (DEL),160.62,Rupaidiha ICP,251.54
Jahangirpur Chak Feri,Moradabad,114818,village,MATLABPUR,5.33,ICD Moradabad,20.27,Dahej Port,1001.67,Indira Gandhi International Airport (DEL),162.02,Rupaidiha ICP,251.1
Kamalpuri Mafi,Moradabad,114812,village,KANTH,7.17,ICD Moradabad,25.22,Dahej Port,1005.12,Indira Gandhi International Airport (DEL),162.96,Rupaidiha ICP,253.15
Mustafapur Majra Khandsal,Moradabad,114820,village,AGHWANPUR,4.19,ICD Moradabad,16.18,Dahej Port,998.63,Indira Gandhi International Airport (DEL),161.16,Rupaidiha ICP,249.62
Munafpur,Moradabad,114543,village,MEWA NAWADA,6.27,ICD Moradabad,35.2,Dahej Port,1010.98,Indira Gandhi International Airport (DEL),163.89,Rupaidiha ICP,258.67
Lodhipur Basu Ahatmali,Moradabad,115253,village,MACHARYA,3.8,ICD Moradabad,10.65,Dahej Port,989.16,Indira Gandhi International Airport (DEL),169.16,Rupaidiha ICP,231.9
Dhatura Megha Nagla Ahatmali,Moradabad,115296,village,RAMPUR,4.0,ICD Moradabad,21.94,Dahej Port,998.18,Indira Gandhi International Airport (DEL),182.62,Rupaidiha ICP,218.64
Mati Urf Maini,Moradabad,115201,village,DALPATPUR,6.47,ICD Moradabad,14.35,Dahej Port,1002.25,Indira Gandhi International Airport (DEL),177.86,Rupaidiha ICP,227.32
Navwa Nagla,Moradabad,115298,village,RAMPUR,5.88,ICD Moradabad,21.65,Dahej Port,995.94,Indira Gandhi International Airport (DEL),181.23,Rupaidiha ICP,219.44
Kanakpur I,Moradabad,115425,village,MACHARYA,2.95,ICD Moradabad,9.51,Dahej Port,984.32,Indira Gandhi International Airport (DEL),163.2,Rupaidiha ICP,237.41
Tarapur Kundarki,Moradabad,115329,village,MACHARYA,6.69,ICD Moradabad,9.24,Dahej Port,982.07,Indira Gandhi International Airport (DEL),158.86,Rupaidiha ICP,241.96
Dhaukalpur Jadid,Moradabad,114639,village,MEWA NAWADA,7.44,ICD Moradabad,31.77,Dahej Port,1009.99,Indira Gandhi International Airport (DEL),164.79,Rupaidiha ICP,255.66
Bhikanpur Fatehullah,Moradabad,115428,village,FARHEDI,3.36,ICD Moradabad,10.88,Dahej Port,984.19,Indira Gandhi International Airport (DEL),164.24,Rupaidiha ICP,236.03
Sakatpura Mustahkam,Moradabad,115016,village,ROSHANPUR,1.94,ICD Moradabad,27.14,Dahej Port,1017.24,Indira Gandhi International Airport (DEL),181.11,Rupaidiha ICP,234.98
Asalatnagar Kalispur,Moradabad,115544,village,KUAKHERA HALT,4.54,ICD Moradabad,34.35,Dahej Port,962.01,Indira Gandhi International Airport (DEL),156.42,Rupaidiha ICP,240.06
Sihari Nanda,Moradabad,115574,village,RAJA KA SAHASPUR,8.42,ICD Moradabad,24.66,Dahej Port,979.53,Indira Gandhi International Airport (DEL),170.28,Rupaidiha ICP,227.36
Mehloli,Moradabad,115476,village,KUNDARKHI,5.02,ICD Moradabad,18.87,Dahej Port,981.72,Indira Gandhi International Airport (DEL),167.95,Rupaidiha ICP,230.63
Ahmednagar Jaitwara,Moradabad,115455,village,FARHEDI,4.36,ICD Moradabad,15.21,Dahej Port,984.63,Indira Gandhi International Airport (DEL),168.17,Rupaidiha ICP,231.32
Barwara Mazra(CT),Moradabad,115311,village,KATHGHAR EAST,1.92,ICD Moradabad,5.29,Dahej Port,994.53,Indira Gandhi International Airport (DEL),168.79,Rupaidiha ICP,235.22
Faridpur Singhara,Moradabad,115405,village,FARHEDI,1.95,ICD Moradabad,15.49,Dahej Port,979.64,Indira Gandhi International Airport (DEL),162.4,Rupaidiha ICP,236.62
Kohanku,Moradabad,115301,village,MUNDHA PANDE,6.3,ICD Moradabad,20.08,Dahej Port,993.83,Indira Gandhi International Airport (DEL),178.89,Rupaidiha ICP,221.51
Lal Tikaar Mahesh Nagli Ahatma,Moradabad,115265,village,MUNDHA PANDE,9.5,ICD Moradabad,18.37,Dahej Port,989.05,Indira Gandhi International Airport (DEL),174.36,Rupaidiha ICP,225.3
Bhnadri,Moradabad,115314,village,HAKIMPUR,9.23,ICD Moradabad,11.33,Dahej Port,980.53,Indira Gandhi International Airport (DEL),152.61,Rupaidiha ICP,249.38
Rustampur Parmal,Moradabad,115313,village,HAKIMPUR,8.92,ICD Moradabad,11.91,Dahej Port,980.27,Indira Gandhi International Airport (DEL),151.91,Rupaidiha ICP,250.19
Mali Pur,Moradabad,115318,village,MORADABAD,6.92,ICD Moradabad,7.8,Dahej Port,983.17,Indira Gandhi International Airport (DEL),156.72,Rupaidiha ICP,245.29
Sikri,Moradabad,115423,village,MACHARYA,3.79,ICD Moradabad,10.14,Dahej Port,983.48,Indira Gandhi International Airport (DEL),162.62,Rupaidiha ICP,237.79
Khaseypur,Moradabad,115537,village,KUAKHERA HALT,1.25,ICD Moradabad,32.59,Dahej Port,965.06,Indira Gandhi International Airport (DEL),159.32,Rupaidiha ICP,237.24
Roop Pur,Moradabad,115453,village,FARHEDI,0.59,ICD Moradabad,14.08,Dahej Port,982.09,Indira Gandhi International Airport (DEL),164.39,Rupaidiha ICP,235.04
Bhikanpur Kulwara,Moradabad,115435,village,FARHEDI,1.25,ICD Moradabad,13.76,Dahej Port,981.0,Indira Gandhi International Airport (DEL),162.62,Rupaidiha ICP,236.82
Bagi Govardhanpur,Moradabad,115364,village,Hazrat Nagar Halt,8.18,ICD Moradabad,17.26,Dahej Port,973.66,Indira Gandhi International Airport (DEL),151.99,Rupaidiha ICP,247.23
Rajura Kannardev,Moradabad,115303,village,MUNDHA PANDE,4.78,ICD Moradabad,18.34,Dahej Port,994.19,Indira Gandhi International Airport (DEL),177.92,Rupaidiha ICP,222.91
Bazidpur Tigri,Moradabad,115081,village,SEHAL,0.99,ICD Moradabad,9.06,Dahej Port,999.82,Indira Gandhi International Airport (DEL),169.91,Rupaidiha ICP,237.15
Kankar Khera,Moradabad,115101,village,SEHAL,6.14,ICD Moradabad,12.91,Dahej Port,1003.09,Indira Gandhi International Airport (DEL),175.6,Rupaidiha ICP,231.16
Naserpur Bhikka,Moradabad,115636,village,JARGAON,8.59,ICD Moradabad,33.35,Dahej Port,971.64,Indira Gandhi International Airport (DEL),169.03,Rupaidiha ICP,227.57
Mansoorpur,Moradabad,115446,village,FARHEDI,3.3,ICD Moradabad,11.78,Dahej Port,984.82,Indira Gandhi International Airport (DEL),165.73,Rupaidiha ICP,234.41
Manpur Patti Ahatmali,Moradabad,115300,village,MUNDHA PANDE,6.79,ICD Moradabad,21.17,Dahej Port,994.37,Indira Gandhi International Airport (DEL),179.97,Rupaidiha ICP,220.37
