district,villages,nh_median_km,nh_mean_km,nh_within_10km_pct,nh_within_25km_pct,nh_within_50km_pct,expressway_median_km,expressway_mean_km,expressway_within_10km_pct,expressway_within_25km_pct,expressway_within_50km_pct,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
ALMORA,2312,4.965,5.54,82.56920415224913,100.0,100.0,153.78,157.42,0.0,0.0,0.0,43.510000000000005,43.47,0.0,2.249134948096886,71.79930795847751,116.07499999999999,116.05,0.0,0.0,0.0,1107.59,1105.98,0.0,0.0,0.0,118.72999999999999,117.56,0.0,0.0,0.0,221.70499999999998,218.59,0.0,0.0,0.0,259.23,260.99,0.0,0.0,0.0,348.895,352.62,0.0,0.0,0.0,586.96,583.37,0.0,0.0,0.0,152.15499999999997,155.68,0.0,0.0,0.0,647541.0
BAGESHWAR,958,2.58,3.18,96.97286012526096,99.89561586638831,100.0,182.695,180.36,0.0,0.0,0.0,70.86500000000001,72.32,0.0,0.0,0.0,144.39,145.86,0.0,0.0,0.0,1137.97,1139.1,0.0,0.0,0.0,150.74,151.55,0.0,0.0,0.0,208.62,211.39,0.0,0.0,0.0,297.82,297.79,0.0,0.0,0.0,382.72,380.4,0.0,0.0,0.0,580.29,582.74,0.0,0.0,0.0,179.66,177.2,0.0,0.0,0.0,261150.0
CHAMOLI,1237,2.58,4.4,89.57154405820533,98.94907033144705,100.0,130.26,132.45,0.0,0.0,0.0,87.92,91.25,0.0,0.0,0.0,166.1,168.58,0.0,0.0,0.0,1141.15,1144.69,0.0,0.0,0.0,158.5,162.32,0.0,0.0,0.0,272.13,269.33,0.0,0.0,0.0,280.39,283.47,0.0,0.0,0.0,332.1,334.61,0.0,0.0,0.0,641.16,639.06,0.0,0.0,0.0,126.2,127.97,0.0,0.0,0.0,404819.0
CHAMPAWAT,735,5.82,6.88,70.61224489795919,100.0,100.0,222.7,222.91,0.0,0.0,0.0,33.84,31.39,5.442176870748299,21.904761904761905,100.0,118.16,117.51,0.0,0.0,0.0,1097.29,1096.37,0.0,0.0,0.0,137.01,136.58,0.0,0.0,0.0,153.25,152.81,0.0,0.0,0.0,289.55,288.11,0.0,0.0,0.0,414.59,414.36,0.0,0.0,0.0,522.45,521.29,0.0,0.0,0.0,220.85,220.37,0.0,0.0,0.0,275635.0
DEHRADUN,714,3.0,3.74,98.73949579831933,100.0,100.0,33.19499999999999,35.38,2.661064425770308,32.212885154061624,80.812324929972,29.59,29.59,16.946778711484594,40.056022408963585,85.85434173669468,165.76999999999998,165.33,0.0,0.0,0.0,1096.7849999999999,1097.21,0.0,0.0,0.0,116.01,120.4,0.0,0.0,0.0,314.95,318.31,0.0,0.0,0.0,230.175,230.32,0.0,0.0,0.0,202.28,203.8,0.0,0.0,0.0,751.9300000000001,746.52,0.0,0.0,0.0,30.71,32.0,7.282913165266107,36.41456582633053,85.99439775910365,1729450.0
GARHWAL,3430,4.575,5.49,82.62390670553937,100.0,100.0,83.935,85.67,0.0,0.0,3.2944606413994166,36.235,36.29,1.9825072886297375,22.82798833819242,83.14868804664724,140.465,139.64,0.0,0.0,0.0,1087.8449999999998,1088.34,0.0,0.0,0.0,123.16499999999999,122.69,0.0,0.0,0.0,290.925,288.91,0.0,0.0,0.0,224.065,223.28,0.0,0.0,0.0,282.09000000000003,282.61,0.0,0.0,0.0,649.56,647.24,0.0,0.0,0.0,82.11500000000001,84.22,0.0,0.0,3.002915451895044,685772.0
HARIDWAR,619,3.3,3.85,95.96122778675283,100.0,100.0,28.78,28.95,8.239095315024231,39.74151857835218,95.47657512116317,6.38,7.47,71.5670436187399,100.0,100.0,116.72,117.04,0.0,0.0,0.0,1031.89,1032.61,0.0,0.0,0.0,128.08,128.3,0.0,0.0,0.0,338.46,337.85,0.0,0.0,0.0,160.87,161.87,0.0,0.0,0.0,206.07,206.56,0.0,0.0,0.0,690.91,690.99,0.0,0.0,0.0,56.52,55.36,0.0,0.16155088852988692,29.88691437802908,1844441.0
NAINITAL,1070,7.305,8.43,62.89719626168224,100.0,100.0,173.73000000000002,172.56,0.0,0.0,0.0,16.425,16.17,33.73831775700935,77.00934579439253,100.0,80.13499999999999,81.34,0.0,0.0,0.0,1074.74,1076.16,0.0,0.0,0.0,88.81,88.31,0.0,0.0,0.0,198.255,199.9,0.0,0.0,0.0,244.02,242.81,0.0,0.0,0.0,361.065,357.9,0.0,0.0,0.0,558.53,556.6,0.0,0.0,0.0,169.585,167.48,0.0,0.0,0.0,950212.0
PITHORAGARH,1651,3.69,4.53,93.03452453058753,99.45487583282859,100.0,215.79,216.61,0.0,0.0,0.0,70.65,75.36,0.0,0.0,1.8170805572380373,152.19,155.86,0.0,0.0,0.0,1121.34,1120.12,0.0,0.0,0.0,165.54,168.62,0.0,0.0,0.0,182.63,182.08,0.0,0.0,0.0,317.76,320.28,0.0,0.0,0.0,414.99,415.7,0.0,0.0,0.0,555.36,555.09,0.0,0.0,0.0,212.37,213.54,0.0,0.0,0.0,498558.0
RUDRAPRAYAG,679,2.59,3.39,94.99263622974962,100.0,100.0,101.32,100.37,0.0,0.0,0.0,76.79,76.79,0.0,0.0,0.0,183.5,183.52,0.0,0.0,0.0,1137.91,1139.46,0.0,0.0,0.0,169.74,170.63,0.0,0.0,0.0,303.65,303.76,0.0,0.0,0.0,270.21,271.48,0.0,0.0,0.0,303.32,302.22,0.0,0.0,0.0,671.86,671.65,0.0,0.0,0.0,96.11,94.98,0.0,0.0,0.0,257203.0
TEHRI GARHWAL,1956,4.145,5.72,80.93047034764827,100.0,100.0,52.355,52.55,0.0,1.687116564417178,46.31901840490797,34.255,35.93,1.8404907975460123,19.529652351738243,82.97546012269939,180.865,182.54,0.0,0.0,0.0,1108.92,1109.88,0.0,0.0,0.0,159.425,158.67,0.0,0.0,0.0,334.95500000000004,334.44,0.0,0.0,0.0,238.62,239.33,0.0,0.0,0.0,252.75,251.47,0.0,0.0,0.0,699.3299999999999,701.58,0.0,0.0,0.0,47.16,46.96,0.0,7.770961145194274,56.492842535787325,638232.0
UDHAM SINGH NAGAR,674,2.9850000000000003,3.83,93.47181008902076,100.0,100.0,179.675,184.58,0.0,0.0,0.0,6.905,8.76,65.28189910979229,100.0,100.0,59.765,60.95,0.0,0.0,25.370919881305635,1044.505,1048.3,0.0,0.0,0.0,57.83,70.5,0.0,0.0,23.293768545994066,198.685,192.54,0.0,0.0,0.0,217.66500000000002,223.21,0.0,0.0,0.0,353.55499999999995,359.91,0.0,0.0,0.0,542.385,538.57,0.0,0.0,0.0,149.6,158.35,0.0,0.0,0.0,1555000.0
