village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_freight_terminal,dist_freight_terminal_km,nearest_port,dist_port_km,nearest_icd,dist_icd_km,nearest_icp,dist_icp_km,nearest_air_cargo,dist_air_cargo_km,nearest_mmlp,dist_mmlp_km,nearest_iw_terminal,dist_iw_terminal_km,nearest_fci_depot,dist_fci_depot_km
HARMAL,CHAMOLI,57,041809,village,KATHGODAM,89.93,Dhamora,162.48,Dahej Port,1155.85,ICD Moradabad,165.33,Rupaidiha ICP,229.1,Indira Gandhi International Airport (DEL),305.55,MMLP Sangrur,375.59,Varanasi Multi-Modal Terminal,601.64,FCI Depot Dehradun,169.54
NAIL LAGA FARAKANDE,CHAMOLI,57,041911,village,RAMNAGAR,74.84,Dhamora,148.99,Dahej Port,1125.39,ICD Moradabad,141.96,Rupaidiha ICP,261.3,Indira Gandhi International Airport (DEL),265.42,MMLP Sangrur,326.81,Varanasi Multi-Modal Terminal,628.65,FCI Depot Dehradun,121.63
ATTHU,CHAMOLI,57,041753,village,RAMNAGAR,84.84,Dhamora,154.94,Dahej Port,1142.42,ICD Moradabad,153.71,Rupaidiha ICP,242.67,Indira Gandhi International Airport (DEL),287.66,MMLP Sangrur,354.15,Varanasi Multi-Modal Terminal,613.29,FCI Depot Dehradun,148.39
KUNELI LAGA MARORA,CHAMOLI,57,041896,village,RAMNAGAR,75.53,Dhamora,149.65,Dahej Port,1126.17,ICD Moradabad,142.7,Rupaidiha ICP,261.37,Indira Gandhi International Airport (DEL),266.19,MMLP Sangrur,327.27,Varanasi Multi-Modal Terminal,628.85,FCI Depot Dehradun,121.98
KALSIRI,CHAMOLI,57,041746,village,RAMNAGAR,86.15,Dhamora,155.88,Dahej Port,1143.94,ICD Moradabad,155.02,Rupaidiha ICP,241.63,Indira Gandhi International Airport (DEL),289.51,MMLP Sangrur,356.12,Varanasi Multi-Modal Terminal,612.49,FCI Depot Dehradun,150.28
RAMPUR LAGA HARMAL,CHAMOLI,57,041812,village,KATHGODAM,89.43,Dhamora,162.01,Dahej Port,1155.44,ICD Moradabad,164.91,Rupaidiha ICP,228.7,Indira Gandhi International Airport (DEL),305.26,MMLP Sangrur,375.6,Varanasi Multi-Modal Terminal,601.22,FCI Depot Dehradun,169.61
POKHRI LAGA ODAR,CHAMOLI,57,041797,village,KATHGODAM,86.55,Dhamora,155.77,Dahej Port,1144.87,ICD Moradabad,155.55,Rupaidiha ICP,239.04,Indira Gandhi International Airport (DEL),291.24,MMLP Sangrur,358.96,Varanasi Multi-Modal Terminal,610.1,FCI Depot Dehradun,153.21
MAJERASAR,CHAMOLI,57,041905,village,RAMNAGAR,74.09,Dhamora,148.41,Dahej Port,1123.62,ICD Moradabad,140.84,Rupaidiha ICP,262.9,Indira Gandhi International Airport (DEL),263.25,MMLP Sangrur,324.32,Varanasi Multi-Modal Terminal,629.88,FCI Depot Dehradun,119.25
MATHAKOT,CHAMOLI,57,041916,village,RAMNAGAR,71.75,Dhamora,146.01,Dahej Port,1122.06,ICD Moradabad,138.71,Rupaidiha ICP,260.66,Indira Gandhi International Airport (DEL),262.27,MMLP Sangrur,325.2,Varanasi Multi-Modal Terminal,627.44,FCI Depot Dehradun,120.55
MODA CHAK PADMALLA,CHAMOLI,57,041790,village,RAMNAGAR,84.68,Dhamora,154.0,Dahej Port,1142.71,ICD Moradabad,153.51,Rupaidiha ICP,239.39,Indira Gandhi International Airport (DEL),288.94,MMLP Sangrur,357.09,Varanasi Multi-Modal Terminal,610.16,FCI Depot Dehradun,151.53
