district,villages,rail_station_median_km,rail_station_mean_km,rail_station_within_10km_pct,rail_station_within_25km_pct,rail_station_within_50km_pct,freight_terminal_median_km,freight_terminal_mean_km,freight_terminal_within_10km_pct,freight_terminal_within_25km_pct,freight_terminal_within_50km_pct,port_median_km,port_mean_km,port_within_10km_pct,port_within_25km_pct,port_within_50km_pct,icd_median_km,icd_mean_km,icd_within_10km_pct,icd_within_25km_pct,icd_within_50km_pct,icp_median_km,icp_mean_km,icp_within_10km_pct,icp_within_25km_pct,icp_within_50km_pct,air_cargo_median_km,air_cargo_mean_km,air_cargo_within_10km_pct,air_cargo_within_25km_pct,air_cargo_within_50km_pct,mmlp_median_km,mmlp_mean_km,mmlp_within_10km_pct,mmlp_within_25km_pct,mmlp_within_50km_pct,iw_terminal_median_km,iw_terminal_mean_km,iw_terminal_within_10km_pct,iw_terminal_within_25km_pct,iw_terminal_within_50km_pct,fci_depot_median_km,fci_depot_mean_km,fci_depot_within_10km_pct,fci_depot_within_25km_pct,fci_depot_within_50km_pct,census2011_population
Alipurduar,435,6.17,7.21,74.94252873563218,99.54022988505747,100.0,117.55,116.82,0.0,0.0,0.0,453.71,455.21,0.0,0.0,0.0,101.33,102.75,0.0,0.0,0.0,66.92,68.21,0.0,0.0,18.39080459770115,216.67,215.49,0.0,0.0,0.0,117.57,116.9,0.0,0.0,0.0,79.71,80.44,0.0,0.0,0.9195402298850575,103.85,105.22,0.0,0.0,0.0,2194584.0
Bankura,3835,16.35,18.01,29.543676662320728,71.55149934810952,100.0,54.12,53.89,1.2777053455019556,10.430247718383312,42.29465449804432,142.51,139.33,0.0,0.0,0.0,101.13,102.27,0.0,0.0,0.49543676662320735,182.21,175.28,0.0,0.0,0.0,149.52,145.08,0.0,0.0,0.0,144.72,141.2,0.0,0.0,0.0,153.28,150.26,0.0,0.0,0.0,82.73,84.26,0.0,0.0,3.1551499348109515,3732273.0
Birbhum,2463,7.23,8.35,66.26065773447016,99.6751928542428,100.0,61.08,62.16,0.0,3.329273244011368,33.536337799431585,166.7,166.51,0.0,0.0,0.0,188.83,191.19,0.0,0.0,0.0,153.87,152.53,0.0,0.0,0.0,162.69,161.85,0.0,0.0,0.0,166.09,165.76,0.0,0.0,0.0,106.03,99.51,0.0,0.0,6.699147381242387,157.4,161.0,0.0,0.0,0.0,3627068.0
Dakshin Dinajpur,1620,9.325,9.76,54.19753086419753,99.93827160493827,100.0,17.955,18.27,17.22222222222222,78.88888888888889,100.0,306.45000000000005,307.51,0.0,0.0,0.0,149.38,149.49,0.0,0.0,0.0,35.019999999999996,34.45,0.0,20.98765432098765,94.5679012345679,291.03499999999997,292.2,0.0,0.0,0.0,217.32,217.6,0.0,0.0,0.0,90.195,89.89,0.0,0.0,0.0,150.195,150.53,0.0,0.0,0.0,1795926.0
Darjiling,660,3.955,4.93,90.75757575757576,99.39393939393939,100.0,161.93,163.22,0.0,0.0,0.0,457.85,461.24,0.0,0.0,0.0,21.240000000000002,22.78,15.606060606060607,63.030303030303024,98.18181818181819,110.975,110.57,0.0,0.0,0.0,328.735,329.09,0.0,0.0,0.0,232.60500000000002,233.4,0.0,0.0,0.0,173.02499999999998,175.56,0.0,0.0,0.0,19.740000000000002,19.79,20.151515151515152,67.57575757575758,100.0,1222193.0
HOWRAH,789,8.72,9.17,57.28770595690747,100.0,100.0,28.63,27.71,5.576679340937896,40.050697084917616,100.0,33.5,31.42,2.5348542458808616,24.20785804816223,100.0,188.75,189.17,0.0,0.0,0.0,101.92,100.64,0.0,0.0,0.0,46.84,44.25,0.0,8.871989860583017,64.25855513307985,37.08,34.68,1.2674271229404308,19.26489226869455,98.47908745247148,52.95,50.56,0.0,4.182509505703422,43.09252217997465,37.08,34.68,1.2674271229404308,19.26489226869455,98.47908745247148,4998672.0
HUGLI,1944,5.755,9.9,67.33539094650206,87.75720164609054,100.0,21.055,22.98,20.833333333333336,58.281893004115226,97.63374485596708,49.375,49.4,0.0,5.092592592592593,51.85185185185185,193.745,190.43,0.0,0.0,0.0,77.57499999999999,80.45,0.0,0.0,9.979423868312757,47.42,48.92,0.0,5.246913580246913,56.17283950617284,49.455,49.33,0.0,5.195473251028806,51.80041152263375,91.515,92.03,0.0,0.0,0.0,49.455,47.64,0.0,5.195473251028806,51.80041152263375,5703540.0
Jalpaiguri,476,5.5,6.37,81.5126050420168,100.0,100.0,157.005,157.44,0.0,0.0,0.0,450.88,452.19,0.0,0.0,0.0,43.71,42.47,0.42016806722689076,13.445378151260504,67.01680672268907,111.05000000000001,111.74,0.0,0.0,0.0,278.41499999999996,278.56,0.0,0.0,0.0,179.2,179.37,0.0,0.0,0.0,129.72,131.6,0.0,0.0,0.0,45.99,44.72,0.42016806722689076,10.084033613445378,59.03361344537815,2194584.0
Jhargram,2994,14.38,14.09,32.832331329325314,92.4181696726787,100.0,120.065,121.29,0.0,0.0,0.0,137.035,138.95,0.0,0.0,0.0,91.12,92.04,0.0,0.0,1.8704074816299265,204.79,204.4,0.0,0.0,0.0,152.24,153.23,0.0,0.0,0.0,142.375,143.63,0.0,0.0,0.0,117.885,117.75,0.0,0.0,0.0,37.12,38.39,0.23380093520374082,9.151636606546425,85.80494321977288,4140171.0
KOCH BIHAR,1187,10.32,11.58,48.77843302443134,94.10278011794439,100.0,114.53,114.35,0.0,0.0,0.0,417.5,417.83,0.0,0.0,0.0,105.5,101.01,0.0,0.0,0.0,50.8,54.27,0.0,4.633529907329402,48.188711036225776,219.23,223.43,0.0,0.0,0.0,119.81,123.96,0.0,0.0,0.0,62.82,67.87,0.0,0.0,27.54844144903117,108.0,103.47,0.0,0.0,0.0,2896916.0
