village,district,district_code,village_code,unit,nearest_rail_station,dist_rail_station_km,nearest_icd,dist_icd_km,nearest_port,dist_port_km,nearest_air_cargo,dist_air_cargo_km,nearest_icp,dist_icp_km
Jhikarhati,Murshidabad,333,315835,village,MALLARPUR,16.94,ICD Tatanagar (Jamshedpur),215.65,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,166.92,Netaji Subhas Chandra Bose International Airport (CCU),159.7,Petrapole ICP,142.47
Sitalgram,Murshidabad,333,315837,village,TARAPITH ROAD,19.08,ICD Tatanagar (Jamshedpur),217.68,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,166.28,Netaji Subhas Chandra Bose International Airport (CCU),158.84,Petrapole ICP,140.77
Daspara,Murshidabad,333,315839,village,MALLARPUR,18.87,ICD Tatanagar (Jamshedpur),216.53,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,165.66,Netaji Subhas Chandra Bose International Airport (CCU),158.31,Petrapole ICP,140.67
Siddheswari,Murshidabad,333,315840,village,MALLARPUR,20.84,ICD Tatanagar (Jamshedpur),217.04,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,163.99,Netaji Subhas Chandra Bose International Airport (CCU),156.54,Petrapole ICP,138.61
Kalyanpur,Murshidabad,333,315842,village,MALLARPUR,19.32,ICD Tatanagar (Jamshedpur),215.38,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,164.08,Netaji Subhas Chandra Bose International Airport (CCU),156.8,Petrapole ICP,139.55
Kapsa,Murshidabad,333,315844,village,MALLARPUR,18.28,ICD Tatanagar (Jamshedpur),213.88,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,163.89,Netaji Subhas Chandra Bose International Airport (CCU),156.75,Petrapole ICP,140.11
Kundal,Murshidabad,333,315846,village,MALLARPUR,16.77,ICD Tatanagar (Jamshedpur),212.96,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,164.71,Netaji Subhas Chandra Bose International Airport (CCU),157.69,Petrapole ICP,141.44
Padmalabhbati,Murshidabad,333,315845,village,MALLARPUR,17.36,ICD Tatanagar (Jamshedpur),212.73,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,163.94,Netaji Subhas Chandra Bose International Airport (CCU),156.91,Petrapole ICP,140.73
Bahara,Murshidabad,333,315841,village,MALLARPUR,20.67,ICD Tatanagar (Jamshedpur),215.91,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,163.13,Netaji Subhas Chandra Bose International Airport (CCU),155.76,Petrapole ICP,138.26
Bhabani Nagar,Murshidabad,333,315864,village,MALLARPUR,22.34,ICD Tatanagar (Jamshedpur),217.69,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,162.98,Netaji Subhas Chandra Bose International Airport (CCU),155.43,Petrapole ICP,137.2
Lakshmi Narayanpur,Murshidabad,333,315865,village,KANTHALIYA ROAD,23.24,ICD Tatanagar (Jamshedpur),218.18,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,162.05,Netaji Subhas Chandra Bose International Airport (CCU),154.42,Petrapole ICP,135.95
Badda,Murshidabad,333,315847,village,MALLARPUR,16.9,ICD Tatanagar (Jamshedpur),211.26,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,163.36,Netaji Subhas Chandra Bose International Airport (CCU),156.46,Petrapole ICP,140.85
Bichhur,Murshidabad,333,315848,village,MALLARPUR,18.57,ICD Tatanagar (Jamshedpur),212.34,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,162.44,Netaji Subhas Chandra Bose International Airport (CCU),155.41,Petrapole ICP,139.34
Mallikpur,Murshidabad,333,315849,village,MALLARPUR,19.35,ICD Tatanagar (Jamshedpur),213.42,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,162.45,Netaji Subhas Chandra Bose International Airport (CCU),155.31,Petrapole ICP,138.8
Andi,Murshidabad,333,315850,village,MALLARPUR,20.89,ICD Tatanagar (Jamshedpur),215.05,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,162.16,Netaji Subhas Chandra Bose International Airport (CCU),154.84,Petrapole ICP,137.66
Kharjuna,Murshidabad,333,315863,village,MALLARPUR,22.63,ICD Tatanagar (Jamshedpur),216.12,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,161.25,Netaji Subhas Chandra Bose International Airport (CCU),153.8,Petrapole ICP,136.14
Haribati,Murshidabad,333,315866,village,KANTHALIYA ROAD,23.26,ICD Tatanagar (Jamshedpur),217.37,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,160.77,Netaji Subhas Chandra Bose International Airport (CCU),153.18,Petrapole ICP,134.99
Kapsakismat,Murshidabad,333,315853,village,MALLARPUR,17.92,ICD Tatanagar (Jamshedpur),210.55,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,161.91,Netaji Subhas Chandra Bose International Airport (CCU),155.04,Petrapole ICP,139.68
Debagram,Murshidabad,333,315852,village,MALLARPUR,19.66,ICD Tatanagar (Jamshedpur),211.72,Kolkata Port (Syama Prasad Mookerjee Port) incl. Haldia Dock Complex,160.95,Netaji Subhas Chandra Bose International Airport (CCU),153.92,Petrapole ICP,138.06
