census_district_code,state,district,Population,Male,Female,Literate,Workers,Cultivator_Workers,Agricultural_Workers,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
1,Jammu And Kashmir,Kupwara,870354,474190,396164,439654,229064,34680,56759,74948,39709,21751,600759,178435,89679
2,Jammu And Kashmir,Badgam,753745,398041,355704,335649,214866,55299,36630,66459,41367,27950,503223,160933,88978
3,Jammu And Kashmir,Leh(Ladakh),133487,78971,54516,93770,75079,20869,1645,16265,8923,6197,70703,41515,21019
4,Jammu And Kashmir,Kargil,140802,77785,63017,86236,51873,8266,3763,16938,9826,3077,87532,35561,17488
5,Jammu And Kashmir,Punch,476835,251899,224936,261724,161393,54264,31583,46062,29517,13962,304979,109818,61334
6,Jammu And Kashmir,Rajouri,642415,345351,297064,364109,290912,136527,24016,65921,35804,18576,404903,153165,83319
7,Jammu And Kashmir,Kathua,616435,326109,290326,389204,200431,69533,21566,91522,47694,24330,357864,160123,97684
8,Jammu And Kashmir,Baramula,1008039,534733,473306,545149,304200,57495,62246,107837,57932,48285,636524,239659,130513
9,Jammu And Kashmir,Bandipore,392232,207680,184552,185979,149317,28232,32882,35630,18644,12721,252378,90465,48802
10,Jammu And Kashmir,Srinagar,1236829,651124,585705,748584,407188,12228,10408,176409,132727,121856,693238,351561,190330
11,Jammu And Kashmir,Ganderbal,297446,158720,138726,143276,100890,15337,19312,28247,15005,9633,194165,66945,35911
12,Jammu And Kashmir,Pulwama,560440,293064,267376,293958,188420,49746,34080,67368,40931,31286,342601,137032,80111
13,Jammu And Kashmir,Shupiyan,266215,136480,129735,136500,87721,47424,10835,28617,16501,10782,170086,60752,35158
14,Jammu And Kashmir,Anantnag,1078692,559767,518925,545532,389684,140957,76364,97121,52407,41570,704145,239988,133519
15,Jammu And Kashmir,Kulgam,424483,217620,206863,209085,159990,69173,29928,45383,24214,18240,266858,99870,57253
16,Jammu And Kashmir,Doda,409936,213641,196295,219083,151912,69947,12199,48359,31416,12647,263576,93189,52744
17,Jammu And Kashmir,Ramban,283713,149132,134581,124065,87212,41394,8810,22591,13331,4923,188526,61604,33220
18,Jammu And Kashmir,Kishtwar,230696,120165,110531,107506,82974,39271,16296,19550,14521,5438,145931,53415,31084
19,Jammu And Kashmir,Udhampur,554985,296784,258201,322354,243672,113020,11396,55024,29657,17345,339145,140785,74757
