metric,fy,entity_type,entity_code,commodity_group,value,unit,source_url,license
cargo_throughput,2023-24,port,INPRT,all,145.38,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2022-23,port,INPRT,all,135.36,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2021-22,port,INPRT,all,116.13,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2020-21,port,INPRT,all,114.55,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2019-20,port,INPRT,all,112.69,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2023-24,port,INIXY,all,132.5,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2022-23,port,INIXY,all,137.56,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2021-22,port,INIXY,all,127.1,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2020-21,port,INIXY,all,117.56,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2019-20,port,INIXY,all,122.61,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2023-24,port,INNSA,all,86.0,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2022-23,port,INNSA,all,83.0,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2021-22,port,INNSA,all,76.0,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2020-21,port,INNSA,all,64.81,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2019-20,port,INNSA,all,68.45,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2023-24,port,INVTZ,all,81.0,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2022-23,port,INVTZ,all,73.75,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2021-22,port,INVTZ,all,69.03,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2020-21,port,INVTZ,all,69.84,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2019-20,port,INVTZ,all,72.72,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2023-24,port,INCCU,all,66.0,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2022-23,port,INCCU,all,65.66,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2021-22,port,INCCU,all,58.18,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2020-21,port,INCCU,all,61.37,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2019-20,port,INCCU,all,63.98,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2023-24,port,INBOM,all,65.0,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2022-23,port,INBOM,all,63.61,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2021-22,port,INBOM,all,59.89,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2020-21,port,INBOM,all,53.32,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2019-20,port,INBOM,all,60.7,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2023-24,port,INMAA,all,54.5,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2022-23,port,INMAA,all,48.95,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2021-22,port,INMAA,all,48.56,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2020-21,port,INMAA,all,43.55,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2019-20,port,INMAA,all,46.76,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2023-24,port,INENR,all,48.0,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2022-23,port,INENR,all,43.51,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2021-22,port,INENR,all,38.74,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2020-21,port,INENR,all,25.82,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2019-20,port,INENR,all,31.75,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2023-24,port,INNML,all,46.0,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2022-23,port,INNML,all,41.42,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2021-22,port,INNML,all,39.3,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2020-21,port,INNML,all,36.5,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2019-20,port,INNML,all,39.15,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2023-24,port,INTUT,all,41.5,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2022-23,port,INTUT,all,38.04,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2021-22,port,INTUT,all,34.12,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2020-21,port,INTUT,all,31.79,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2019-20,port,INTUT,all,36.08,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2023-24,port,INCOK,all,36.5,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2022-23,port,INCOK,all,35.25,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2021-22,port,INCOK,all,34.55,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2020-21,port,INCOK,all,31.5,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2019-20,port,INCOK,all,34.04,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2023-24,port,INMRM,all,20.5,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2022-23,port,INMRM,all,17.33,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2021-22,port,INMRM,all,18.46,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2020-21,port,INMRM,all,21.99,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2019-20,port,INMRM,all,16.02,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2023-24,national,ALL_MAJOR_PORTS,all,819.0,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
cargo_throughput,2022-23,national,ALL_MAJOR_PORTS,all,795.0,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2017001,GODL-India
