metric,fy,entity_type,entity_code,commodity_group,value,unit,source_url,license
revenue_freight_loading,2023-24,national,ALL_INDIA,all,1591.0,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,national,ALL_INDIA,coal,781.2,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,national,ALL_INDIA,iron_ore,180.5,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,national,ALL_INDIA,cement_and_clinker,153.2,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,national,ALL_INDIA,foodgrains,82.4,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,national,ALL_INDIA,fertilizers,60.1,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,national,ALL_INDIA,pol,50.8,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,national,ALL_INDIA,containers,85.3,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,national,ALL_INDIA,other,197.5,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2022-23,national,ALL_INDIA,all,1512.1,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2022-23,national,ALL_INDIA,coal,732.1,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2022-23,national,ALL_INDIA,iron_ore,168.4,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2022-23,national,ALL_INDIA,cement_and_clinker,142.8,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2022-23,national,ALL_INDIA,foodgrains,85.1,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2022-23,national,ALL_INDIA,fertilizers,56.4,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2022-23,national,ALL_INDIA,pol,48.9,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2022-23,national,ALL_INDIA,containers,79.5,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2022-23,national,ALL_INDIA,other,198.9,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2021-22,national,ALL_INDIA,all,1418.1,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2021-22,national,ALL_INDIA,coal,653.2,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2021-22,national,ALL_INDIA,iron_ore,168.1,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2021-22,national,ALL_INDIA,cement_and_clinker,137.4,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2021-22,national,ALL_INDIA,foodgrains,95.3,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2021-22,national,ALL_INDIA,fertilizers,50.7,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2021-22,national,ALL_INDIA,pol,43.8,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2021-22,national,ALL_INDIA,containers,74.3,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2021-22,national,ALL_INDIA,other,195.3,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2020-21,national,ALL_INDIA,all,1233.2,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2020-21,national,ALL_INDIA,coal,542.4,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2020-21,national,ALL_INDIA,iron_ore,152.8,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2020-21,national,ALL_INDIA,cement_and_clinker,121.2,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2020-21,national,ALL_INDIA,foodgrains,96.6,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2020-21,national,ALL_INDIA,fertilizers,51.5,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2020-21,national,ALL_INDIA,pol,41.2,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2020-21,national,ALL_INDIA,containers,61.1,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2020-21,national,ALL_INDIA,other,166.4,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2019-20,national,ALL_INDIA,all,1208.4,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2019-20,national,ALL_INDIA,coal,587.3,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2019-20,national,ALL_INDIA,iron_ore,153.4,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2019-20,national,ALL_INDIA,cement_and_clinker,110.2,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2019-20,national,ALL_INDIA,foodgrains,65.4,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2019-20,national,ALL_INDIA,fertilizers,51.2,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2019-20,national,ALL_INDIA,pol,44.5,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2019-20,national,ALL_INDIA,containers,61.0,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2019-20,national,ALL_INDIA,other,135.4,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,zone,ECoR,all,256.2,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,zone,SECR,all,235.4,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,zone,SER,all,202.1,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,zone,ECR,all,189.5,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,zone,WCR,all,156.4,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,zone,WR,all,108.2,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,zone,SCR,all,135.8,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,zone,NR,all,78.4,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,zone,NCR,all,38.6,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,zone,CR,all,82.5,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,zone,SR,all,42.1,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,zone,SWR,all,48.3,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,zone,NWR,all,29.5,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,zone,NFR,all,14.8,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,zone,NER,all,3.6,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
revenue_freight_loading,2023-24,zone,ER,all,75.6,MT,https://pib.gov.in/PressReleasePage.aspx?PRID=2016942,GODL-India
